VAGAS OCIOSAS POR CURSO,,,,,,,,,
"Vagas ociosas = (ingressantes no ano) x (duração padrão) x (1 + fator de retenção) - (alunos ativos)
* valores fornecidos pela Sesu",,,,,,,,,
Código,Curso,Campus,Alunos ativos,Vagas 1º semestre,Vagas 2º semestre,Área*,Duração padrão*,Fator de retenção*,Vagas ociosas
13316110,GEOGRAFIA (LIC) - D,Campina Grande,131,45,0,Ciências Humanas,4,"0,1000",67
13316210,GEOGRAFIA (LIC) - N,Campina Grande,165,45,0,Ciências Humanas,4,"0,1000",33
21316110,GEOGRAFIA (LICENCIATURA) - M,Cajazeiras,119,0,45,Ciências Humanas,4,"0,1000",79
21316210,GEOGRAFIA (LICENCIATURA) - N,Cajazeiras,152,40,0,Ciências Humanas,4,"0,1000",24
13309110,HISTÓRIA (LIC) - M,Campina Grande,166,40,0,Ciências Humanas,4,"0,1000",10
21309110,HISTÓRIA (LIC) - M,Cajazeiras,179,50,0,Ciências Humanas,4,"0,1000",41
13309210,HISTÓRIA (LIC) - N,Campina Grande,116,0,40,Ciências Humanas,4,"0,1000",60
21309210,HISTÓRIA (LIC) - N,Cajazeiras,174,0,50,Ciências Humanas,4,"0,1000",46
71315110,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,Sumé,137,50,0,Ciências Humanas,4,"0,1000",83
13310214,LETRAS - ESPANHOL (LICENCIATURA) N,Campina Grande,53,0,20,Linguística e Letras,4,"0,1150",36
13323110,LETRAS - LIBRAS (LIC) - D,Campina Grande,81,0,0,Linguística e Letras,4,"0,1150",0
13310115,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,Campina Grande,61,20,0,Linguística e Letras,4,"0,1150",28
13310116,LETRAS - LÍNGUA INGLESA (LIC) - D,Campina Grande,78,25,0,Linguística e Letras,4,"0,1150",34
21310116,LETRAS - LÍNGUA INGLESA (LIC) - D,Cajazeiras,95,25,0,Linguística e Letras,4,"0,1150",16
21310110,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,Cajazeiras,89,25,0,Linguística e Letras,4,"0,1150",22
13310210,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,Campina Grande,84,0,30,Linguística e Letras,4,"0,1150",50
21310210,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,Cajazeiras,140,0,40,Linguística e Letras,4,"0,1150",38
13310110,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,Campina Grande,125,35,0,Linguística e Letras,4,"0,1150",31
11107150,MATEMÁTICA (BAC) - D,Campina Grande,23,10,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",22
11107110,MATEMÁTICA (LIC) - D,Campina Grande,60,20,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",31
21107110,MATEMÁTICA (LIC) - D,Cajazeiras,128,40,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",53
51107110,MATEMÁTICA (LIC) - D,Cuité,89,30,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",47
19107110,MATEMÁTICA (LIC) - D (PARFOR),Campina Grande,17,0,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",0
11107210,MATEMÁTICA (LIC) - N,Campina Grande,102,30,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",34
51107210,MATEMÁTICA (LIC) - N,Cuité,99,30,0,Ciências Exatas – Matemática e Estatística,4,"0,1325",37
12205100,MEDICINA,Campina Grande,497,45,45,Medicina,6,"0,0650",78
21205100,MEDICINA,Cajazeiras,171,30,0,Medicina,6,"0,0650",21
41410100,MEDICINA VETERINÁRIA - D,Patos,481,50,50,"Veterinária, Odontologia, Zootecnia",5,"0,0650",52
15108100,METEOROLOGIA - D,Campina Grande,84,45,0,Ciências Exatas e da Terra,4,"0,1325",120
13311150,MÚSICA (BAC) - D,Campina Grande,34,0,10,Música,4,"0,1150",11
13311110,MÚSICA (LIC) - D,Campina Grande,80,0,30,Música,4,"0,1150",54
51206100,NUTRIÇÃO - D,Cuité,338,45,45,"Nutrição, Farmácia",5,"0,0660",142
41207100,ODONTOLOGIA - D,Patos,387,45,45,"Veterinária, Odontologia, Zootecnia",5,"0,0650",92
13312110,PEDAGOGIA (LIC) - M,Campina Grande,119,35,0,Ciências Humanas,4,"0,1000",35
13312210,PEDAGOGIA (LIC) - N,Campina Grande,94,0,25,Ciências Humanas,4,"0,1000",16
21312110,PEDAGOGIA (LICENCIATURA) - M,Cajazeiras,181,45,0,Ciências Humanas,4,"0,1000",17
21312210,PEDAGOGIA (LICENCIATURA) - N,Cajazeiras,178,0,45,Ciências Humanas,4,"0,1000",20
12208100,PSICOLOGIA - D,Campina Grande,287,45,45,Psicologia,5,"0,1000",208
Código,Curso,Campus,Alunos ativos,Vagas 1º semestre,Vagas 2º semestre,Área*,Duração padrão*,Fator de retenção*,Vagas ociosas
12208200,PSICOLOGIA - N,Campina Grande,63,45,45,Psicologia,5,"0,1000",432
51109110,QUÍMICA (LIC) - D,Cuité,95,30,0,Ciências Exatas e da Terra,4,"0,1325",41
21109210,QUÍMICA (LIC) - N,Cajazeiras,146,40,0,Ciências Exatas e da Terra,4,"0,1325",35
51109210,QUÍMICA (LIC) - N,Cuité,117,30,0,Ciências Exatas e da Terra,4,"0,1325",19
31340100,SERVIÇO SOCIAL - M,Sousa,150,50,0,Ciências Sociais Aplicadas,4,"0,1200",74
71420100,TECNOLOGIA EM AGROECOLOGIA - D,Sumé,126,50,0,Tecnólogos,3,"0,0820",36
71318200,TECNOLOGIA EM GESTÃO PÚBLICA - N,Sumé,135,50,0,Tecnólogos,3,"0,0820",27
