Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2018.1,,,2018.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,59,1008,6%,84,1052,8%
13301200 - ADMINISTRAÇÃO - N,23,430,5%,40,496,8%
31301200 - ADMINISTRAÇÃO - N,74,913,8%,29,816,4%
91402100 - AGRONOMIA - D,215,1325,16%,147,1322,11%
15101100 - ARQUITETURA E URBANISMO - D,20,727,3%,56,850,7%
13317100 - ARTE E MÍDIA - D,29,465,6%,26,509,5%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,294,2985,10%,360,3183,11%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,51,659,8%,29,557,5%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,65,573,11%,39,440,9%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,103,566,18%,75,458,16%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,54,510,11%,80,605,13%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,60,569,11%,54,471,11%
31360200 - CIÊNCIAS CONTÁBEIS - N,69,992,7%,82,848,10%
13304100 - CIÊNCIAS ECONÔMICAS - M,55,446,12%,27,371,7%
13304200 - CIÊNCIAS ECONÔMICAS - N,15,237,6%,49,370,13%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,23,221,10%,2,153,1%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,2,258,1%,15,375,4%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,52,472,11%,20,446,4%
13306100 - COMUNICAÇÃO SOCIAL - D,12,388,3%,15,489,3%
13306200 - COMUNICAÇÃO SOCIAL - N,9,286,3%,11,417,3%
11104120 - DESIGN - D,69,752,9%,29,709,4%
31350100 - DIREITO - M,12,1858,1%,6,1824,0%
31350200 - DIREITO - N,16,1799,1%,21,1499,1%
31350300 - DIREITO - V,13,1839,1%,11,1746,1%
,2018.1,,,2018.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
12204100 - ENFERMAGEM - D,17,792,2%,24,878,3%
21204100 - ENFERMAGEM - D,39,1055,4%,25,1093,2%
51204100 - ENFERMAGEM - D,34,1578,2%,42,1599,3%
