Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2006.1,,,2006.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,58,526,11%,39,562,7%
13301200 - ADMINISTRAÇÃO - N,12,264,5%,21,355,6%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,17,776,2%,16,686,2%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,6,331,2%,5,245,2%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,29,0%,0,15,0%
13317100 - ARTE E MÍDIA - D,16,483,3%,38,551,7%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,113,1407,8%,130,1440,9%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,9,218,4%,13,219,6%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,7,156,4%,10,166,6%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,1,12,8%,3,15,20%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,0,0%,1,1,100%
21103100 - CIÊNCIAS - M,29,163,18%,19,116,16%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,5,155,3%,10,142,7%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,4,121,3%,8,150,5%
21103200 - CIÊNCIAS - N,17,162,10%,29,182,16%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,5,124,4%,7,130,5%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,2,58,3%,1,75,1%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,0,0,0%,64,228,28%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,0,0,0%,12,175,7%
31360200 - CIÊNCIAS CONTÁBEIS - N,5,332,2%,99,1539,6%
13304100 - CIÊNCIAS ECONÔMICAS - M,54,619,9%,30,531,6%
13304200 - CIÊNCIAS ECONÔMICAS - N,55,557,10%,52,552,9%
13305100 - CIÊNCIAS SOCIAIS - D,10,147,7%,12,113,11%
13305200 - CIÊNCIAS SOCIAIS - N,10,77,13%,12,96,12%
,2006.1,,,2006.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,0,86,0%,3,83,4%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,21,0%,0,35,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,9,208,4%,2,200,1%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,13,205,6%,8,283,3%
11104100 - DESENHO INDUSTRIAL - D,63,736,9%,31,625,5%
11104120 - DESIGN - D,20,185,11%,10,196,5%
31350100 - DIREITO - M,3,1428,0%,2,1345,0%
31350200 - DIREITO - N,10,1519,1%,1,1460,0%
31350300 - DIREITO - V,1,833,0%,2,865,0%
21204100 - ENFERMAGEM - D,3,500,1%,4,734,1%
15121100 - ENGENHARIA AGRÍCOLA - D,112,466,24%,71,414,17%
15122100 - ENGENHARIA CIVIL - D,291,1649,18%,254,1726,15%
11126100 - ENGENHARIA DE MATERIAIS - D,147,853,17%,150,806,19%
15127100 - ENGENHARIA DE MINAS - D,82,421,19%,64,349,18%
11133100 - ENGENHARIA DE PRODUÇÃO - D,26,251,10%,27,225,12%
14123100 - ENGENHARIA ELÉTRICA,299,989,30%,234,881,27%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,14,238,6%,9,204,4%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,71,881,8%,64,934,7%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,11,348,3%,5,349,1%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,25,580,4%,40,599,7%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),1,14,7%,0,16,0%
41403100 - ENGENHARIA FLORESTAL - D,32,418,8%,61,472,13%
11124100 - ENGENHARIA MECÂNICA - D,265,1260,21%,250,1277,20%
11128100 - ENGENHARIA QUÍMICA - D,55,742,7%,67,665,10%
11105150 - FÍSICA (BAC) - D,34,153,22%,30,128,23%
51105110 - FÍSICA (LIC) - D,0,0,0%,29,114,25%
21316110 - GEOGRAFIA (LICENCIATURA) - M,7,603,1%,22,676,3%
21316210 - GEOGRAFIA (LICENCIATURA) - N,14,590,2%,22,495,4%
,2006.1,,,2006.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13309100 - HISTÓRIA - D,8,144,6%,9,112,8%
13309200 - HISTÓRIA - N,6,63,10%,22,87,25%
13309150 - HISTÓRIA (BAC) - M,0,112,0%,3,105,3%
13309212 - HISTÓRIA (BAC) - N,1,20,5%,0,19,0%
13309250 - HISTÓRIA (BAC) - N,0,0,0%,0,21,0%
13309110 - HISTÓRIA (LIC) - M,2,399,1%,5,353,1%
21309110 - HISTÓRIA (LIC) - M,13,717,2%,22,570,4%
13309210 - HISTÓRIA (LIC) - N,0,66,0%,5,97,5%
13309211 - HISTÓRIA (LIC) - N,7,422,2%,9,388,2%
21309210 - HISTÓRIA (LIC) - N,40,612,7%,58,716,8%
13310100 - LETRAS - D,8,102,8%,4,90,4%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,5,0%,0,9,0%
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N,0,3,0%,0,5,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,100,1%,1,84,1%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,13,0%,0,23,0%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,3,294,1%,0,261,0%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,13,269,5%,3,327,1%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,6,471,1%,22,402,5%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,13,437,3%,26,479,5%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,2,282,1%,1,252,0%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,6,208,3%,2,191,1%
21310100 - LETRAS - M,6,134,4%,12,78,15%
13310200 - LETRAS - N,8,75,11%,10,128,8%
21310200 - LETRAS - N,10,87,11%,14,95,15%
11107100 - MATEMÁTICA - D,37,92,40%,27,71,38%
11107150 - MATEMÁTICA (BAC) - D,0,33,0%,0,31,0%
11107110 - MATEMÁTICA (LIC) - D,18,154,12%,15,134,11%
51107110 - MATEMÁTICA (LIC) - D,0,0,0%,29,101,29%
,2006.1,,,2006.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
11107210 - MATEMÁTICA (LIC) - N,26,219,12%,23,201,11%
12205100 - MEDICINA,7,2195,0%,11,2195,1%
41410100 - MEDICINA VETERINÁRIA - D,64,1932,3%,132,1780,7%
15108100 - METEOROLOGIA - D,59,199,30%,36,186,19%
13312110 - PEDAGOGIA (LIC) - M,13,108,12%,24,71,34%
13312210 - PEDAGOGIA (LIC) - N,3,84,4%,21,180,12%
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N,0,15,0%,1,26,4%
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N,0,56,0%,1,34,3%
21312110 - PEDAGOGIA (LICENCIATURA) - M,14,161,9%,14,165,8%
21312210 - PEDAGOGIA (LICENCIATURA) - N,5,164,3%,39,337,12%
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,4,203,2%,19,203,9%
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,2,35,6%,2,26,8%
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,0,29,0%,1,24,4%
13312112 - PEDAGOGIA(LIC.PL/MAG.MAT.PED.2.GRAU)-M,0,5,0%,0,10,0%
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,4,396,1%,16,410,4%
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,5,430,1%,5,425,1%
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N,0,397,0%,3,350,1%
51109110 - QUÍMICA (LIC) - D,0,0,0%,50,208,24%
