Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2016.1,,,2016.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,93,1032,9%,67,1023,7%
13301200 - ADMINISTRAÇÃO - N,41,419,10%,48,439,11%
31301200 - ADMINISTRAÇÃO - N,38,877,4%,33,809,4%
91402100 - AGRONOMIA - D,143,1219,12%,142,1221,12%
15101100 - ARQUITETURA E URBANISMO - D,23,839,3%,49,897,5%
13317100 - ARTE E MÍDIA - D,30,526,6%,33,576,6%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,375,2851,13%,558,2962,19%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,45,644,7%,43,578,7%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,34,614,6%,25,479,5%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,44,656,7%,50,541,9%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,49,564,9%,42,604,7%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,49,547,9%,20,503,4%
31360200 - CIÊNCIAS CONTÁBEIS - N,20,659,3%,54,891,6%
13304100 - CIÊNCIAS ECONÔMICAS - M,72,476,15%,36,349,10%
13304200 - CIÊNCIAS ECONÔMICAS - N,43,288,15%,40,324,12%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,15,178,8%,5,111,5%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,5,0%,0,4,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,0,7,0%,0,0,0%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,22,288,8%,23,332,7%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,22,501,4%,19,432,4%
13306100 - COMUNICAÇÃO SOCIAL - D,18,359,5%,20,437,5%
13306200 - COMUNICAÇÃO SOCIAL - N,12,359,3%,11,396,3%
11104120 - DESIGN - D,62,855,7%,83,813,10%
31350100 - DIREITO - M,25,1764,1%,24,1782,1%
,2016.1,,,2016.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
31350200 - DIREITO - N,29,1782,2%,18,1487,1%
31350300 - DIREITO - V,9,1777,1%,33,1864,2%
12204100 - ENFERMAGEM - D,22,875,3%,17,825,2%
21204100 - ENFERMAGEM - D,25,1133,2%,30,1053,3%
51204100 - ENFERMAGEM - D,43,1797,2%,76,1674,5%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,97,711,14%,71,590,12%
15121100 - ENGENHARIA AGRÍCOLA - D,83,589,14%,62,442,14%
91130100 - ENGENHARIA AMBIENTAL - D,205,1278,16%,138,1218,11%
15122100 - ENGENHARIA CIVIL - D,238,3087,8%,255,3057,8%
91122100 - ENGENHARIA CIVIL - D,52,850,6%,84,1051,8%
15125100 - ENGENHARIA DE ALIMENTOS - D,83,616,13%,84,518,16%
91125100 - ENGENHARIA DE ALIMENTOS - D,194,1053,18%,107,934,11%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,84,641,13%,58,532,11%
11126100 - ENGENHARIA DE MATERIAIS - D,167,915,18%,144,744,19%
15127100 - ENGENHARIA DE MINAS - D,129,838,15%,131,806,16%
11135100 - ENGENHARIA DE PETRÓLEO - D,121,899,13%,99,705,14%
11133100 - ENGENHARIA DE PRODUÇÃO - D,102,1010,10%,76,803,9%
71133100 - ENGENHARIA DE PRODUÇÃO - D,94,1058,9%,71,878,8%
14123100 - ENGENHARIA ELÉTRICA,818,5105,16%,867,4943,18%
41403100 - ENGENHARIA FLORESTAL - D,47,746,6%,45,588,8%
11124100 - ENGENHARIA MECÂNICA - D,226,1643,14%,289,1666,17%
11128100 - ENGENHARIA QUÍMICA - D,164,1332,12%,102,1189,9%
11134100 - ESTATÍSTICA - D,45,168,27%,31,119,26%
51203100 - FARMÁCIA - D,99,1914,5%,155,2054,8%
13314250 - FILOSOFIA (BAC) - N,20,76,26%,13,51,25%
13314210 - FILOSOFIA (LIC) - N,42,161,26%,10,143,7%
11105150 - FÍSICA (BAC) - D,22,103,21%,11,81,14%
11105110 - FÍSICA (LIC) - D,40,128,31%,34,124,27%
,2016.1,,,2016.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
51105110 - FÍSICA (LIC) - D,24,231,10%,25,181,14%
21105210 - FÍSICA (LIC) - N,34,265,13%,48,216,22%
51105210 - FÍSICA (LIC) - N,48,217,22%,10,200,5%
13316110 - GEOGRAFIA (LIC) - D,24,472,5%,21,381,6%
13316210 - GEOGRAFIA (LIC) - N,28,550,5%,25,439,6%
