Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2005.1,,,2005.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,49,311,16%,45,406,11%
13301200 - ADMINISTRAÇÃO - N,19,167,11%,36,266,14%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,18,856,2%,23,773,3%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,12,407,3%,18,342,5%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,5,0%,0,7,0%
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,1,1,100%,0,1,0%
13317100 - ARTE E MÍDIA - D,6,538,1%,16,559,3%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,141,1511,9%,157,1515,10%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,13,196,7%,3,187,2%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,12,165,7%,12,176,7%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,12,0%,2,18,11%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,1,3,33%,0,4,0%
21103100 - CIÊNCIAS - M,21,170,12%,16,115,14%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,1,148,1%,7,127,6%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,118,0%,4,124,3%
21103200 - CIÊNCIAS - N,19,161,12%,32,170,19%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,2,136,1%,2,122,2%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,64,0%,1,65,2%
31360200 - CIÊNCIAS CONTÁBEIS - N,4,136,3%,29,362,8%
13304100 - CIÊNCIAS ECONÔMICAS - M,59,566,10%,46,494,9%
13304200 - CIÊNCIAS ECONÔMICAS - N,61,531,11%,54,595,9%
13305100 - CIÊNCIAS SOCIAIS - D,13,129,10%,15,86,17%
13305200 - CIÊNCIAS SOCIAIS - N,15,70,21%,22,112,20%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,0,109,0%,1,90,1%
,2005.1,,,2005.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,36,3%,0,31,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,7,170,4%,7,173,4%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,10,251,4%,7,222,3%
11104100 - DESENHO INDUSTRIAL - D,23,785,3%,31,807,4%
11104120 - DESIGN - D,6,62,10%,6,124,5%
31350100 - DIREITO - M,0,1369,0%,4,1381,0%
31350200 - DIREITO - N,5,1468,0%,16,1313,1%
31350300 - DIREITO - V,1,629,0%,2,636,0%
21204100 - ENFERMAGEM - D,1,213,0%,3,397,1%
15121100 - ENGENHARIA AGRÍCOLA - D,109,506,22%,65,401,16%
15122100 - ENGENHARIA CIVIL - D,302,1720,18%,264,1730,15%
11126100 - ENGENHARIA DE MATERIAIS - D,128,878,15%,141,889,16%
15127100 - ENGENHARIA DE MINAS - D,79,395,20%,44,329,13%
11133100 - ENGENHARIA DE PRODUÇÃO - D,0,0,0%,29,118,25%
14123100 - ENGENHARIA ELÉTRICA,298,966,31%,262,1032,25%
14123114 - ENGENHARIA ELÉTRICA (ELETRÔN/ELETROTÉC),0,7,0%,0,2,0%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,17,210,8%,14,181,8%
