"","Curso","Reprovações.1","Matrículas.1","Porcentagem.1","Reprovações.2","Matrículas.2","Porcentagem.2"
"1","ADMINISTRAÇÃO",234,2520,9.3,137,2350,5.8
"2","AGRONOMIA",172,1312,13.1,170,1311,13
"3","ARQUITETURA E URBANISMO",50,766,6.5,45,880,5.1
"4","ARTE E MÍDIA",24,531,4.5,28,604,4.6
"5","CIÊNCIA DA COMPUTAÇÃO",401,2493,16.1,487,2824,17.2
"6","CIÊNCIAS",1,69,1.4,0,8,0
"7","CIÊNCIAS BIOLÓGICAS",231,3237,7.1,166,2861,5.8
"8","CIÊNCIAS CONTÁBEIS",13,672,1.9,57,794,7.2
"9","CIÊNCIAS ECONÔMICAS",92,820,11.2,93,759,12.3
"10","CIÊNCIAS SOCIAIS",91,1097,8.3,55,989,5.6
"11","COMUNICAÇÃO SOCIAL",15,758,2,30,860,3.5
"12","DESIGN",84,900,9.3,73,915,8
"13","DIREITO",38,3984,1,23,4649,0.5
"14","ENFERMAGEM",122,3829,3.2,151,4133,3.7
"15","ENG. DE BIOTECNOLOGIA E BIOPROCESSOS",112,777,14.4,73,591,12.4
"16","ENGENHARIA AGRÍCOLA",95,660,14.4,77,447,17.2
"17","ENGENHARIA AMBIENTAL",198,1343,14.7,160,1282,12.5
"18","ENGENHARIA CIVIL",269,3264,8.2,319,3624,8.8
"19","ENGENHARIA DE ALIMENTOS",326,1794,18.2,232,1633,14.2
"20","ENGENHARIA DE BIOSSISTEMAS",76,642,11.8,55,500,11
"21","ENGENHARIA DE MATERIAIS",192,974,19.7,121,763,15.9
"22","ENGENHARIA DE MINAS",135,886,15.2,98,873,11.2
"23","ENGENHARIA DE PETRÓLEO",138,915,15.1,71,849,8.4
"24","ENGENHARIA DE PRODUÇÃO",237,2133,11.1,117,1784,6.6
"25","ENGENHARIA ELÉTRICA",688,4807,14.3,756,5084,14.9
"26","ENGENHARIA FLORESTAL",38,754,5,40,664,6
"27","ENGENHARIA MECÂNICA",246,1666,14.8,236,1784,13.2
"28","ENGENHARIA QUÍMICA",134,1105,12.1,82,1133,7.2
"29","ESTATÍSTICA",82,197,41.6,17,106,16
"30","FARMÁCIA",174,1917,9.1,110,1869,5.9
"31","FILOSOFIA",65,238,27.3,33,192,17.2
"32","FÍSICA",196,815,24,99,649,15.3
"33","GEOGRAFIA",178,2098,8.5,89,1891,4.7
"34","HISTÓRIA",166,2061,8.1,147,2095,7
"35","INTERDISCIPLINAR EM EDUC. DO CAMPO",31,519,6,33,408,8.1
"36","LETRAS",135,2435,5.5,103,2276,4.5
"37","MATEMÁTICA",291,1513,19.2,180,1221,14.7
"38","MEDICINA",33,2916,1.1,18,2690,0.7
"39","MEDICINA VETERINÁRIA",137,2205,6.2,126,2225,5.7
"40","METEOROLOGIA",95,203,46.8,46,156,29.5
"41","MÚSICA",9,416,2.2,18,507,3.6
"42","NUTRIÇÃO",100,1605,6.2,104,1583,6.6
"43","ODONTOLOGIA",41,1937,2.1,76,1903,4
"44","PEDAGOGIA",65,2346,2.8,33,2286,1.4
"45","PSICOLOGIA",42,1492,2.8,20,1355,1.5
"46","QUÍMICA",165,1185,13.9,126,985,12.8
"47","SERVIÇO SOCIAL",63,810,7.8,32,648,4.9
"48","TECNOLOGIA EM AGROECOLOGIA",23,657,3.5,54,497,10.9
"49","TECNOLOGIA EM GESTÃO PÚBLICA",50,514,9.7,20,397,5
