Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;156;2351;6.6;153;2364;6.5
AGRONOMIA;215;1325;16.2;147;1322;11.1
ARQUITETURA E URBANISMO;20;727;2.8;56;850;6.6
ARTE E MÍDIA;29;465;6.2;26;509;5.1
CIÊNCIA DA COMPUTAÇÃO;294;2985;9.8;360;3183;11.3
CIÊNCIAS BIOLÓGICAS;333;2877;11.6;277;2531;10.9
CIÊNCIAS CONTÁBEIS;69;992;7;82;848;9.7
CIÊNCIAS ECONÔMICAS;70;683;10.2;76;741;10.3
CIÊNCIAS SOCIAIS;77;951;8.1;37;974;3.8
COMUNICAÇÃO SOCIAL;21;674;3.1;26;906;2.9
DESIGN;69;752;9.2;29;709;4.1
DIREITO;41;5496;0.7;38;5069;0.7
ENFERMAGEM;90;3425;2.6;91;3570;2.5
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;82;673;12.2;68;564;12.1
ENGENHARIA AGRÍCOLA;95;591;16.1;64;455;14.1
ENGENHARIA AMBIENTAL;180;1158;15.5;164;1034;15.9
ENGENHARIA CIVIL;439;4337;10.1;447;4309;10.4
ENGENHARIA DE ALIMENTOS;279;1472;19;220;1236;17.8
ENGENHARIA DE BIOSSISTEMAS;105;617;17;77;490;15.7
ENGENHARIA DE MATERIAIS;157;818;19.2;76;585;13
ENGENHARIA DE MINAS;135;618;21.8;59;510;11.6
ENGENHARIA DE PETRÓLEO;141;669;21.1;49;468;10.5
ENGENHARIA DE PRODUÇÃO;195;1926;10.1;101;1525;6.6
ENGENHARIA ELÉTRICA;705;4554;15.5;734;4495;16.3
ENGENHARIA FLORESTAL;63;752;8.4;38;594;6.4
ENGENHARIA MECÂNICA;236;1524;15.5;259;1543;16.8
ENGENHARIA QUÍMICA;155;1226;12.6;114;1004;11.4
ESTATÍSTICA;51;158;32.3;40;134;29.9
FARMÁCIA;81;2371;3.4;114;2413;4.7
FILOSOFIA;58;258;22.5;21;202;10.4
FÍSICA;174;1154;15.1;140;972;14.4
GEOGRAFIA;154;1917;8;106;1857;5.7
HISTÓRIA;141;2209;6.4;100;2267;4.4
INTERDISCIPLINAR EM EDUC. DO CAMPO;25;654;3.8;17;529;3.2
LETRAS;111;2545;4.4;131;2587;5.1
MATEMÁTICA;317;1655;19.2;226;1418;15.9
MEDICINA;34;3320;1;35;3314;1.1
MEDICINA VETERINÁRIA;179;2234;8;145;2348;6.2
METEOROLOGIA;65;198;32.8;34;147;23.1
MÚSICA;19;439;4.3;13;518;2.5
NUTRIÇÃO;95;1832;5.2;59;1886;3.1
ODONTOLOGIA;20;2045;1;47;2076;2.3
PEDAGOGIA;36;2319;1.6;25;2359;1.1
PSICOLOGIA;36;1595;2.3;29;1683;1.7
QUÍMICA;147;1252;11.7;111;1048;10.6
SERVIÇO SOCIAL;12;790;1.5;30;609;4.9
TECNOLOGIA EM AGROECOLOGIA;28;480;5.8;16;424;3.8
TECNOLOGIA EM GESTÃO PÚBLICA;43;526;8.2;41;422;9.7
