Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2019.1,,,2019.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,80,1027,8%,88,977,9%
13301200 - ADMINISTRAÇÃO - N,69,451,15%,81,549,15%
31301200 - ADMINISTRAÇÃO - N,74,874,8%,58,831,7%
91402100 - AGRONOMIA - D,165,1348,12%,176,1392,13%
15101100 - ARQUITETURA E URBANISMO - D,25,681,4%,39,918,4%
13317100 - ARTE E MÍDIA - D,19,434,4%,67,523,13%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,360,3287,11%,330,3273,10%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,60,724,8%,31,671,5%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,26,506,5%,23,451,5%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,92,615,15%,49,516,9%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,58,524,11%,64,634,10%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,47,536,9%,36,433,8%
31360200 - CIÊNCIAS CONTÁBEIS - N,128,959,13%,109,841,13%
13304100 - CIÊNCIAS ECONÔMICAS - M,45,479,9%,26,394,7%
13304200 - CIÊNCIAS ECONÔMICAS - N,33,292,11%,60,357,17%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,30,234,13%,10,171,6%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,13,303,4%,25,401,6%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,40,518,8%,44,506,9%
13306100 - COMUNICAÇÃO SOCIAL - D,9,414,2%,11,534,2%
13306200 - COMUNICAÇÃO SOCIAL - N,12,357,3%,11,453,2%
11104120 - DESIGN - D,32,770,4%,30,767,4%
31350100 - DIREITO - M,6,1927,0%,9,1842,0%
31350200 - DIREITO - N,21,1757,1%,16,1524,1%
31350300 - DIREITO - V,13,1782,1%,15,1808,1%
,2019.1,,,2019.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
12204100 - ENFERMAGEM - D,57,994,6%,87,1116,8%
21204100 - ENFERMAGEM - D,5,1236,0%,28,1334,2%
51204100 - ENFERMAGEM - D,53,1718,3%,35,1655,2%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,141,697,20%,61,540,11%
15121100 - ENGENHARIA AGRÍCOLA - D,118,603,20%,73,517,14%
91130100 - ENGENHARIA AMBIENTAL - D,180,947,19%,154,900,17%
15122100 - ENGENHARIA CIVIL - D,331,2532,13%,291,2463,12%
91122100 - ENGENHARIA CIVIL - D,150,1739,9%,151,1877,8%
15125100 - ENGENHARIA DE ALIMENTOS - D,126,500,25%,52,392,13%
91125100 - ENGENHARIA DE ALIMENTOS - D,206,853,24%,153,703,22%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,113,533,21%,45,424,11%
11126100 - ENGENHARIA DE MATERIAIS - D,157,737,21%,75,537,14%
15127100 - ENGENHARIA DE MINAS - D,150,559,27%,84,440,19%
11135100 - ENGENHARIA DE PETRÓLEO - D,178,592,30%,78,481,16%
11133100 - ENGENHARIA DE PRODUÇÃO - D,99,772,13%,63,645,10%
71133100 - ENGENHARIA DE PRODUÇÃO - D,113,1062,11%,59,801,7%
14123100 - ENGENHARIA ELÉTRICA,760,4587,17%,784,4467,18%
41403100 - ENGENHARIA FLORESTAL - D,83,691,12%,39,547,7%
11124100 - ENGENHARIA MECÂNICA - D,279,1488,19%,239,1419,17%
11128100 - ENGENHARIA QUÍMICA - D,157,1095,14%,124,889,14%
11134100 - ESTATÍSTICA - D,51,209,24%,45,202,22%
51203100 - FARMÁCIA - D,80,2399,3%,127,2488,5%
13314250 - FILOSOFIA (BAC) - N,30,94,32%,4,67,6%
13314210 - FILOSOFIA (LIC) - N,32,161,20%,27,149,18%
11105150 - FÍSICA (BAC) - D,22,112,20%,10,89,11%
11105110 - FÍSICA (LIC) - D,57,190,30%,38,149,26%
51105110 - FÍSICA (LIC) - D,41,256,16%,40,254,16%
21105210 - FÍSICA (LIC) - N,62,371,17%,52,280,19%
,2019.1,,,2019.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
51105210 - FÍSICA (LIC) - N,64,340,19%,45,282,16%
13316110 - GEOGRAFIA (LIC) - D,35,483,7%,37,426,9%
13316210 - GEOGRAFIA (LIC) - N,52,561,9%,37,443,8%
21316110 - GEOGRAFIA (LICENCIATURA) - M,34,498,7%,13,602,2%
21316210 - GEOGRAFIA (LICENCIATURA) - N,32,516,6%,12,489,2%
13309110 - HISTÓRIA (LIC) - M,24,635,4%,11,604,2%
21309110 - HISTÓRIA (LIC) - M,61,729,8%,22,574,4%
13309210 - HISTÓRIA (LIC) - N,22,407,5%,26,501,5%
21309210 - HISTÓRIA (LIC) - N,38,595,6%,51,644,8%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,16,770,2%,14,645,2%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,4,143,3%,12,171,7%
13323110 - LETRAS - LIBRAS (LIC) - D,0,337,0%,5,315,2%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,11,234,5%,5,200,2%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,11,271,4%,3,209,1%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,27,364,7%,26,314,8%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,14,373,4%,9,343,3%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,14,306,5%,22,340,6%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,19,492,4%,21,643,3%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,20,451,4%,6,412,1%
11107150 - MATEMÁTICA (BAC) - D,11,71,15%,4,60,7%
11107110 - MATEMÁTICA (LIC) - D,39,208,19%,19,184,10%
21107110 - MATEMÁTICA (LIC) - D,72,525,14%,64,493,13%
51107110 - MATEMÁTICA (LIC) - D,78,323,24%,37,292,13%
11107210 - MATEMÁTICA (LIC) - N,38,269,14%,33,237,14%
51107210 - MATEMÁTICA (LIC) - N,86,317,27%,30,236,13%
12205100 - MEDICINA,34,2703,1%,54,2639,2%
21205100 - MEDICINA,8,757,1%,22,775,3%
41410100 - MEDICINA VETERINÁRIA - D,108,2654,4%,161,2834,6%
,2019.1,,,2019.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
15108100 - METEOROLOGIA - D,71,243,29%,30,153,20%
13311150 - MÚSICA (BAC) - D,5,134,4%,5,165,3%
13311110 - MÚSICA (LIC) - D,35,361,10%,25,364,7%
