Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2011.1,,,2011.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,130,1562,8%,77,1608,5%
13301200 - ADMINISTRAÇÃO - N,68,768,9%,76,795,10%
31301200 - ADMINISTRAÇÃO - N,65,690,9%,29,688,4%
91402100 - AGRONOMIA - D,154,1209,13%,180,1348,13%
15101100 - ARQUITETURA E URBANISMO - D,14,251,6%,52,471,11%
13317100 - ARTE E MÍDIA - D,16,503,3%,40,610,7%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,493,2395,21%,502,2581,19%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,31,232,13%,31,190,16%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,25,166,15%,7,144,5%
21103100 - CIÊNCIAS - M,0,2,0%,0,0,0%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,20,189,11%,14,169,8%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,27,210,13%,6,208,3%
21103200 - CIÊNCIAS - N,8,11,73%,0,0,0%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,6,114,5%,7,104,7%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,21,82,26%,5,86,6%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,70,442,16%,37,369,10%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,33,734,4%,58,676,9%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,43,177,24%,33,188,18%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,65,780,8%,85,861,10%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,34,587,6%,54,556,10%
31360200 - CIÊNCIAS CONTÁBEIS - N,71,1225,6%,114,1238,9%
13304100 - CIÊNCIAS ECONÔMICAS - M,88,653,13%,32,545,6%
13304200 - CIÊNCIAS ECONÔMICAS - N,61,485,13%,59,489,12%
13305100 - CIÊNCIAS SOCIAIS - D,4,11,36%,0,0,0%
,2011.1,,,2011.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305200 - CIÊNCIAS SOCIAIS - N,6,15,40%,0,0,0%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,64,278,23%,12,210,6%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,122,1%,3,119,3%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,15,196,8%,6,164,4%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,16,306,5%,28,371,8%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,80,653,12%,62,638,10%
13306100 - COMUNICAÇÃO SOCIAL - D,4,162,2%,11,334,3%
13306200 - COMUNICAÇÃO SOCIAL - N,1,124,1%,34,313,11%
11104100 - DESENHO INDUSTRIAL - D,31,77,40%,0,10,0%
11104120 - DESIGN - D,113,1016,11%,103,1041,10%
31350100 - DIREITO - M,2,1346,0%,1,1371,0%
31350200 - DIREITO - N,4,1372,0%,8,1158,1%
31350300 - DIREITO - V,4,1242,0%,3,1302,0%
12204100 - ENFERMAGEM - D,71,1298,5%,101,1430,7%
21204100 - ENFERMAGEM - D,41,1732,2%,42,1748,2%
51204100 - ENFERMAGEM - D,94,2050,5%,94,2132,4%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,154,736,21%,108,628,17%
15121100 - ENGENHARIA AGRÍCOLA - D,163,778,21%,87,647,13%
91130100 - ENGENHARIA AMBIENTAL - D,212,1128,19%,280,1247,22%
15122100 - ENGENHARIA CIVIL - D,376,2368,16%,231,2379,10%
15125100 - ENGENHARIA DE ALIMENTOS - D,144,406,35%,96,360,27%
91125100 - ENGENHARIA DE ALIMENTOS - D,185,1073,17%,276,1262,22%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,139,642,22%,162,520,31%
11126100 - ENGENHARIA DE MATERIAIS - D,335,1314,25%,220,1157,19%
15127100 - ENGENHARIA DE MINAS - D,170,754,23%,108,695,16%
11135100 - ENGENHARIA DE PETRÓLEO - D,138,678,20%,90,623,14%
11133100 - ENGENHARIA DE PRODUÇÃO - D,134,936,14%,77,846,9%
71133100 - ENGENHARIA DE PRODUÇÃO - D,155,649,24%,72,521,14%
,2011.1,,,2011.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
14123100 - ENGENHARIA ELÉTRICA,634,3053,21%,634,3473,18%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,3,124,2%,9,91,10%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,45,681,7%,33,609,5%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,3,157,2%,0,94,0%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,35,402,9%,16,364,4%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,7,0%,0,0,0%
41403100 - ENGENHARIA FLORESTAL - D,154,1023,15%,86,818,11%
11124100 - ENGENHARIA MECÂNICA - D,293,1770,17%,233,1729,13%
11128100 - ENGENHARIA QUÍMICA - D,122,1159,11%,112,1013,11%
11134100 - ESTATÍSTICA - D,49,146,34%,30,117,26%
51203100 - FARMÁCIA - D,127,1941,7%,102,2276,4%
13314250 - FILOSOFIA (BAC) - N,26,179,15%,29,158,18%
13314210 - FILOSOFIA (LIC) - N,34,111,31%,20,72,28%
11105150 - FÍSICA (BAC) - D,80,196,41%,39,151,26%
11105110 - FÍSICA (LIC) - D,41,63,65%,8,17,47%
51105110 - FÍSICA (LIC) - D,42,238,18%,11,199,6%
21105210 - FÍSICA (LIC) - N,59,173,34%,27,123,22%
51105210 - FÍSICA (LIC) - N,44,173,25%,36,139,26%
13316110 - GEOGRAFIA (LIC) - D,26,341,8%,8,272,3%
13316210 - GEOGRAFIA (LIC) - N,53,523,10%,33,452,7%
21316110 - GEOGRAFIA (LICENCIATURA) - M,34,518,7%,38,664,6%
21316210 - GEOGRAFIA (LICENCIATURA) - N,62,570,11%,29,568,5%
13309100 - HISTÓRIA - D,3,3,100%,0,0,0%
13309200 - HISTÓRIA - N,2,2,100%,0,0,0%
13309150 - HISTÓRIA (BAC) - M,4,80,5%,1,76,1%
13309212 - HISTÓRIA (BAC) - N,1,1,100%,0,0,0%
13309250 - HISTÓRIA (BAC) - N,10,155,6%,4,109,4%
13309110 - HISTÓRIA (LIC) - M,24,407,6%,16,349,5%
,2011.1,,,2011.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
21309110 - HISTÓRIA (LIC) - M,88,767,11%,58,666,9%
13309210 - HISTÓRIA (LIC) - N,20,511,4%,11,542,2%
21309210 - HISTÓRIA (LIC) - N,87,623,14%,72,802,9%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,53,709,7%,62,692,9%
13310100 - LETRAS - D,7,11,64%,0,0,0%
