Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2010.1,,,2010.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,86,1471,6%,90,1495,6%
13301200 - ADMINISTRAÇÃO - N,60,715,8%,62,791,8%
31301200 - ADMINISTRAÇÃO - N,21,498,4%,55,524,10%
91402100 - AGRONOMIA - D,162,1078,15%,154,1141,13%
15101100 - ARQUITETURA E URBANISMO - D,0,0,0%,19,269,7%
13317100 - ARTE E MÍDIA - D,7,470,1%,3,554,1%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,354,2078,17%,378,2293,16%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,38,255,15%,37,254,15%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,33,184,18%,17,195,9%
21103100 - CIÊNCIAS - M,15,43,35%,8,24,33%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,16,225,7%,23,231,10%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,20,193,10%,22,226,10%
21103200 - CIÊNCIAS - N,8,26,31%,18,31,58%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,10,103,10%,14,121,12%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,14,72,19%,17,89,19%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,35,234,15%,43,253,17%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,56,742,8%,53,628,8%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,33,556,6%,70,733,10%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,55,469,12%,43,456,9%
31360200 - CIÊNCIAS CONTÁBEIS - N,122,1380,9%,84,1372,6%
13304100 - CIÊNCIAS ECONÔMICAS - M,68,637,11%,36,585,6%
13304200 - CIÊNCIAS ECONÔMICAS - N,36,410,9%,36,524,7%
13305100 - CIÊNCIAS SOCIAIS - D,11,32,34%,0,11,0%
13305200 - CIÊNCIAS SOCIAIS - N,8,36,22%,13,53,25%
,2010.1,,,2010.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,3,158,2%,8,157,5%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,4,115,3%,3,135,2%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,6,212,3%,8,181,4%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,18,246,7%,16,297,5%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,5,443,1%,12,421,3%
13306100 - COMUNICAÇÃO SOCIAL - D,0,0,0%,0,174,0%
13306200 - COMUNICAÇÃO SOCIAL - N,0,0,0%,6,171,4%
11104100 - DESENHO INDUSTRIAL - D,28,187,15%,17,135,13%
11104120 - DESIGN - D,58,877,7%,76,997,8%
31350100 - DIREITO - M,4,1285,0%,3,1338,0%
31350200 - DIREITO - N,4,1365,0%,11,1107,1%
31350300 - DIREITO - V,4,1338,0%,6,1376,0%
12204100 - ENFERMAGEM - D,67,1010,7%,62,1274,5%
21204100 - ENFERMAGEM - D,28,1560,2%,33,1715,2%
51204100 - ENFERMAGEM - D,87,1521,6%,100,1954,5%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,88,518,17%,113,491,23%
15121100 - ENGENHARIA AGRÍCOLA - D,130,679,19%,90,593,15%
91130100 - ENGENHARIA AMBIENTAL - D,195,960,20%,186,973,19%
15122100 - ENGENHARIA CIVIL - D,257,2106,12%,231,2170,11%
15125100 - ENGENHARIA DE ALIMENTOS - D,174,334,52%,115,294,39%
91125100 - ENGENHARIA DE ALIMENTOS - D,222,936,24%,185,959,19%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,95,430,22%,75,458,16%
11126100 - ENGENHARIA DE MATERIAIS - D,249,1188,21%,226,1060,21%
15127100 - ENGENHARIA DE MINAS - D,108,641,17%,85,607,14%
11135100 - ENGENHARIA DE PETRÓLEO - D,88,470,19%,77,427,18%
11133100 - ENGENHARIA DE PRODUÇÃO - D,113,989,11%,77,844,9%
71133100 - ENGENHARIA DE PRODUÇÃO - D,89,481,19%,98,488,20%
14123100 - ENGENHARIA ELÉTRICA,483,2462,20%,501,2726,18%
,2010.1,,,2010.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,15,163,9%,7,155,5%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,50,779,6%,47,707,7%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,5,136,4%,2,166,1%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,23,427,5%,20,399,5%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,4,0%,0,7,0%
41403100 - ENGENHARIA FLORESTAL - D,104,1016,10%,83,912,9%
11124100 - ENGENHARIA MECÂNICA - D,277,1546,18%,212,1616,13%
11128100 - ENGENHARIA QUÍMICA - D,134,1088,12%,107,948,11%
11134100 - ESTATÍSTICA - D,30,79,38%,28,72,39%
51203100 - FARMÁCIA - D,101,1493,7%,126,1923,7%
13314200 - FILOSOFIA - N,19,47,40%,5,19,26%
13314250 - FILOSOFIA (BAC) - N,12,98,12%,14,99,14%
13314210 - FILOSOFIA (LIC) - N,18,53,34%,5,42,12%
11105150 - FÍSICA (BAC) - D,96,246,39%,55,199,28%
51105110 - FÍSICA (LIC) - D,86,260,33%,26,216,12%
51105210 - FÍSICA (LIC) - N,51,153,33%,19,114,17%
13316110 - GEOGRAFIA (LIC) - D,9,214,4%,8,159,5%
13316210 - GEOGRAFIA (LIC) - N,13,398,3%,27,340,8%
21316110 - GEOGRAFIA (LICENCIATURA) - M,61,364,17%,4,552,1%
21316210 - GEOGRAFIA (LICENCIATURA) - N,84,546,15%,40,538,7%
13309100 - HISTÓRIA - D,13,52,25%,4,18,22%
13309200 - HISTÓRIA - N,5,24,21%,10,54,19%
13309150 - HISTÓRIA (BAC) - M,9,113,8%,2,95,2%
13309212 - HISTÓRIA (BAC) - N,0,5,0%,0,5,0%
13309250 - HISTÓRIA (BAC) - N,3,113,3%,3,140,2%
13309110 - HISTÓRIA (LIC) - M,3,262,1%,4,255,2%
21309110 - HISTÓRIA (LIC) - M,124,800,16%,39,538,7%
13309210 - HISTÓRIA (LIC) - N,8,424,2%,20,527,4%
,2010.1,,,2010.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13309211 - HISTÓRIA (LIC) - N,0,47,0%,0,28,0%
21309210 - HISTÓRIA (LIC) - N,72,648,11%,121,811,15%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,1,474,0%,0,518,0%
13310100 - LETRAS - D,19,64,30%,7,29,24%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,5,19,26%,0,15,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,2,126,2%,1,87,1%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,15,0%,3,31,10%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,12,440,3%,11,355,3%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,20,461,4%,35,523,7%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,20,459,4%,22,392,6%
