Quantidade de alunos matriculados em 2012.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),197,126,323
13301200 - ADMINISTRAÇÃO - N (Campina Grande),78,108,186
31301200 - ADMINISTRAÇÃO - N (Sousa),81,109,190
91402100 - AGRONOMIA - D (Pombal),91,174,265
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),44,22,66
13317100 - ARTE E MÍDIA - D (Campina Grande),54,51,105
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),75,448,523
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),21,14,35
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),24,6,30
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),10,19,29
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),18,28,46
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),8,10,18
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),10,5,15
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),65,29,94
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),110,39,149
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),35,33,68
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),124,56,180
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),106,54,160
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),120,125,245
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),92,59,151
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),59,60,119
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),54,20,74
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),18,11,29
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),22,5,27
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),57,15,72
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),112,41,153
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),49,10,59
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),34,29,63
11104120 - DESIGN - D (Campina Grande),105,104,209
31350100 - DIREITO - M (Sousa),155,106,261
31350200 - DIREITO - N (Sousa),115,189,304
31350300 - DIREITO - V (Sousa),159,102,261
12204100 - ENFERMAGEM - D (Campina Grande),215,28,243
21204100 - ENFERMAGEM - D (Cajazeiras),267,56,323
51204100 - ENFERMAGEM - D (Cuité),283,69,352
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),84,50,134
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),69,86,155
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),124,117,241
15122100 - ENGENHARIA CIVIL - D (Campina Grande),162,310,472
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),77,26,103
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),168,73,241
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),61,57,118
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),147,122,269
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),55,116,171
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),73,90,163
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),106,79,185
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),63,71,134
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),133,492,625
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,3,9,12
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,15,72,87
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,1,6,7
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,7,42,49
41403100 - ENGENHARIA FLORESTAL - D (Patos),70,88,158
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),36,305,341
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),117,99,216
11134100 - ESTATÍSTICA - D (Campina Grande),24,26,50
51203100 - FARMÁCIA - D (Cuité),206,105,311
13314250 - FILOSOFIA (BAC) - N (Campina Grande),21,32,53
13314210 - FILOSOFIA (LIC) - N (Campina Grande),16,23,39
11105150 - FÍSICA (BAC) - D (Campina Grande),21,24,45
11105110 - FÍSICA (LIC) - D (Campina Grande),6,16,22
51105110 - FÍSICA (LIC) - D (Cuité),19,41,60
21105210 - FÍSICA (LIC) - N (Cajazeiras),16,50,66
51105210 - FÍSICA (LIC) - N (Cuité),20,35,55
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),48,42,90
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),59,87,146
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),90,37,127
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),95,68,163
13309150 - HISTÓRIA (BAC) - M (Campina Grande),12,7,19
13309250 - HISTÓRIA (BAC) - N (Campina Grande),14,10,24
13309110 - HISTÓRIA (LIC) - M (Campina Grande),58,46,104
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),122,53,175
13309210 - HISTÓRIA (LIC) - N (Campina Grande),57,56,113
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),110,71,181
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),79,55,134
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),12,5,17
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),10,5,15
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),4,0,4
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),12,6,18
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),5,1,6
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),56,8,64
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),79,23,102
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),26,11,37
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),27,14,41
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),36,8,44
,FEMININO,MASCULINO,Total
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),25,4,29
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),27,11,38
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),42,5,47
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),60,9,69
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),32,8,40
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),33,11,44
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),43,7,50
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D (Campina ,32,14,46
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),12,17,29
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),26,27,53
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),32,31,63
51107110 - MATEMÁTICA (LIC) - D (Cuité),29,45,74
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),37,60,97
51107210 - MATEMÁTICA (LIC) - N (Cuité),34,41,75
12205100 - MEDICINA (Campina Grande),257,234,491
21205100 - MEDICINA (Cajazeiras),128,158,286
41410100 - MEDICINA VETERINÁRIA - D (Patos),163,242,405
15108100 - METEOROLOGIA - D (Campina Grande),34,40,74
13311150 - MÚSICA (BAC) - D (Campina Grande),4,31,35
13311110 - MÚSICA (LIC) - D (Campina Grande),5,33,38
51206100 - NUTRIÇÃO - D (Cuité),104,14,118
51206200 - NUTRIÇÃO - N (Cuité),113,12,125
41207100 - ODONTOLOGIA - D (Patos),146,87,233
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),149,5,154
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),94,4,98
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),165,9,174
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),163,5,168
12208200 - PSICOLOGIA - N (Campina Grande),132,45,177
51109110 - QUÍMICA (LIC) - D (Cuité),59,38,97
21109210 - QUÍMICA (LIC) - N (Cajazeiras),34,31,65
51109210 - QUÍMICA (LIC) - N (Cuité),44,29,73
31340100 - SERVIÇO SOCIAL - M (Sousa),114,13,127
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),46,56,102
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),70,66,136
Total,8486,7077,15563
