Quantidade de alunos matriculados em 2012.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),180,134,314
13301200 - ADMINISTRAÇÃO - N (Campina Grande),74,109,183
31301200 - ADMINISTRAÇÃO - N (Sousa),75,98,173
91402100 - AGRONOMIA - D (Pombal),83,180,263
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),69,37,106
13317100 - ARTE E MÍDIA - D (Campina Grande),54,63,117
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),76,411,487
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),18,9,27
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),16,4,20
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),6,17,23
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),15,17,32
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),5,9,14
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),10,4,14
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),60,24,84
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),99,35,134
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),34,27,61
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),123,66,189
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),94,48,142
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),125,142,267
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),79,51,130
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),67,78,145
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),37,18,55
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),15,9,24
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),21,3,24
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),69,22,91
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),93,31,124
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),61,20,81
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),53,41,94
11104120 - DESIGN - D (Campina Grande),97,104,201
31350100 - DIREITO - M (Sousa),158,109,267
31350200 - DIREITO - N (Sousa),102,151,253
31350300 - DIREITO - V (Sousa),156,107,263
12204100 - ENFERMAGEM - D (Campina Grande),231,27,258
21204100 - ENFERMAGEM - D (Cajazeiras),259,61,320
51204100 - ENFERMAGEM - D (Cuité),284,62,346
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),66,41,107
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),62,81,143
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),125,126,251
15122100 - ENGENHARIA CIVIL - D (Campina Grande),165,311,476
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),64,22,86
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),162,64,226
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),53,45,98
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),121,99,220
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),55,102,157
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),74,86,160
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),89,77,166
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),52,51,103
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),119,511,630
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,7,9
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,13,58,71
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,0,7,7
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,4,28,32
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),57,79,136
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),34,294,328
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),98,93,191
11134100 - ESTATÍSTICA - D (Campina Grande),15,14,29
51203100 - FARMÁCIA - D (Cuité),219,107,326
13314250 - FILOSOFIA (BAC) - N (Campina Grande),19,23,42
13314210 - FILOSOFIA (LIC) - N (Campina Grande),8,13,21
11105150 - FÍSICA (BAC) - D (Campina Grande),11,15,26
11105110 - FÍSICA (LIC) - D (Campina Grande),4,9,13
51105110 - FÍSICA (LIC) - D (Cuité),14,33,47
21105210 - FÍSICA (LIC) - N (Cajazeiras),13,30,43
51105210 - FÍSICA (LIC) - N (Cuité),11,26,37
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),44,35,79
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),54,68,122
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),102,44,146
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),87,55,142
13309150 - HISTÓRIA (BAC) - M (Campina Grande),10,7,17
13309250 - HISTÓRIA (BAC) - N (Campina Grande),12,8,20
13309110 - HISTÓRIA (LIC) - M (Campina Grande),48,40,88
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),103,38,141
13309210 - HISTÓRIA (LIC) - N (Campina Grande),63,78,141
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),116,81,197
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),66,46,112
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),24,9,33
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),8,4,12
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),5,1,6
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),11,5,16
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),4,1,5
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),49,7,56
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),65,19,84
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),16,7,23
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),19,10,29
,FEMININO,MASCULINO,Total
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),32,8,40
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),40,12,52
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),50,19,69
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),37,5,42
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),42,10,52
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),31,6,37
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),23,10,33
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),31,6,37
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,14,22
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),18,13,31
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),29,24,53
51107110 - MATEMÁTICA (LIC) - D (Cuité),22,39,61
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),25,37,62
51107210 - MATEMÁTICA (LIC) - N (Cuité),28,28,56
12205100 - MEDICINA (Campina Grande),264,228,492
21205100 - MEDICINA (Cajazeiras),118,152,270
41410100 - MEDICINA VETERINÁRIA - D (Patos),167,260,427
15108100 - METEOROLOGIA - D (Campina Grande),25,23,48
13311150 - MÚSICA (BAC) - D (Campina Grande),3,32,35
13311110 - MÚSICA (LIC) - D (Campina Grande),8,51,59
51206100 - NUTRIÇÃO - D (Cuité),125,20,145
51206200 - NUTRIÇÃO - N (Cuité),110,10,120
41207100 - ODONTOLOGIA - D (Patos),179,98,277
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),108,3,111
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),106,6,112
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),131,6,137
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),184,7,191
12208200 - PSICOLOGIA - N (Campina Grande),150,45,195
51109110 - QUÍMICA (LIC) - D (Cuité),52,30,82
21109210 - QUÍMICA (LIC) - N (Cajazeiras),29,25,54
51109210 - QUÍMICA (LIC) - N (Cuité),37,22,59
31340100 - SERVIÇO SOCIAL - M (Sousa),104,10,114
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),41,50,91
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),57,53,110
Total,8047,6706,14753
