Quantidade de alunos matriculados em 2016.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),108,113,221
13301200 - ADMINISTRAÇÃO - N (Campina Grande),45,62,107
31301200 - ADMINISTRAÇÃO - N (Sousa),90,127,217
91402100 - AGRONOMIA - D (Pombal),80,155,235
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),117,53,170
13317100 - ARTE E MÍDIA - D (Campina Grande),49,60,109
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),83,493,576
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),79,50,129
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),80,38,118
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),90,48,138
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),94,45,139
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),82,53,135
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),77,85,162
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),43,72,115
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),43,46,89
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),26,27,53
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),1,1,2
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),2,0,2
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),51,32,83
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),88,42,130
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),50,33,83
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),49,48,97
11104120 - DESIGN - D (Campina Grande),116,80,196
31350100 - DIREITO - M (Sousa),152,118,270
31350200 - DIREITO - N (Sousa),123,197,320
31350300 - DIREITO - V (Sousa),148,120,268
12204100 - ENFERMAGEM - D (Campina Grande),146,22,168
21204100 - ENFERMAGEM - D (Cajazeiras),173,47,220
51204100 - ENFERMAGEM - D (Cuité),220,50,270
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),79,47,126
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),35,86,121
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),110,126,236
15122100 - ENGENHARIA CIVIL - D (Campina Grande),179,350,529
91122100 - ENGENHARIA CIVIL - D (Pombal),45,99,144
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),83,51,134
