Quantidade de alunos matriculados em 2019.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),114,113,227
13301200 - ADMINISTRAÇÃO - N (Campina Grande),48,70,118
31301200 - ADMINISTRAÇÃO - N (Sousa),94,117,211
91402100 - AGRONOMIA - D (Pombal),97,173,270
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),97,59,156
13317100 - ARTE E MÍDIA - D (Campina Grande),45,46,91
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),108,616,724
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),84,50,134
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),63,42,105
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),80,45,125
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),83,46,129
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),85,56,141
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),88,136,224
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),31,85,116
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),30,46,76
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),34,23,57
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),47,35,82
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),84,42,126
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),56,32,88
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),48,39,87
11104120 - DESIGN - D (Campina Grande),99,65,164
31350100 - DIREITO - M (Sousa),185,113,298
31350200 - DIREITO - N (Sousa),137,189,326
31350300 - DIREITO - V (Sousa),147,133,280
12204100 - ENFERMAGEM - D (Campina Grande),134,33,167
21204100 - ENFERMAGEM - D (Cajazeiras),144,53,197
51204100 - ENFERMAGEM - D (Cuité),180,54,234
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),78,44,122
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),47,75,122
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),84,103,187
15122100 - ENGENHARIA CIVIL - D (Campina Grande),156,334,490
91122100 - ENGENHARIA CIVIL - D (Pombal),98,235,333
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),75,37,112
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),116,53,169
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),45,53,98
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),75,86,161
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),49,81,130
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),76,67,143
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),70,87,157
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),79,101,180
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),171,666,837
41403100 - ENGENHARIA FLORESTAL - D (Patos),42,63,105
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),41,245,286
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),110,98,208
11134100 - ESTATÍSTICA - D (Campina Grande),18,35,53
51203100 - FARMÁCIA - D (Cuité),242,134,376
13314250 - FILOSOFIA (BAC) - N (Campina Grande),13,31,44
13314210 - FILOSOFIA (LIC) - N (Campina Grande),20,38,58
11105150 - FÍSICA (BAC) - D (Campina Grande),6,28,34
11105110 - FÍSICA (LIC) - D (Campina Grande),16,31,47
51105110 - FÍSICA (LIC) - D (Cuité),22,39,61
21105210 - FÍSICA (LIC) - N (Cajazeiras),36,79,115
51105210 - FÍSICA (LIC) - N (Cuité),24,64,88
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),40,73,113
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),43,100,143
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),52,47,99
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),66,74,140
13309110 - HISTÓRIA (LIC) - M (Campina Grande),73,73,146
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),85,83,168
13309210 - HISTÓRIA (LIC) - N (Campina Grande),45,58,103
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),77,74,151
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),70,49,119
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),29,18,47
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),42,20,62
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),35,12,47
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),40,22,62
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),43,41,84
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),52,27,79
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),60,22,82
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),95,38,133
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),73,26,99
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),5,15,20
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),22,29,51
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),50,71,121
51107110 - MATEMÁTICA (LIC) - D (Cuité),36,38,74
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),30,52,82
51107210 - MATEMÁTICA (LIC) - N (Cuité),32,54,86
12205100 - MEDICINA (Campina Grande),246,268,514
21205100 - MEDICINA (Cajazeiras),73,81,154
41410100 - MEDICINA VETERINÁRIA - D (Patos),255,184,439
15108100 - METEOROLOGIA - D (Campina Grande),35,37,72
13311150 - MÚSICA (BAC) - D (Campina Grande),4,22,26
13311110 - MÚSICA (LIC) - D (Campina Grande),15,58,73
51206100 - NUTRIÇÃO - D (Cuité),247,70,317
51206200 - NUTRIÇÃO - N (Cuité),1,0,1
,FEMININO,MASCULINO,Total
41207100 - ODONTOLOGIA - D (Patos),221,138,359
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),96,7,103
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),71,6,77
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),124,33,157
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),142,19,161
12208100 - PSICOLOGIA - D (Campina Grande),138,53,191
12208200 - PSICOLOGIA - N (Campina Grande),73,42,115
51109110 - QUÍMICA (LIC) - D (Cuité),50,41,91
21109210 - QUÍMICA (LIC) - N (Cajazeiras),60,73,133
51109210 - QUÍMICA (LIC) - N (Cuité),62,47,109
31340100 - SERVIÇO SOCIAL - M (Sousa),119,24,143
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),49,51,100
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),75,61,136
Total,7602,7849,15451
