Quantidade de alunos matriculados em 2003.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),54,79,133
13301200 - ADMINISTRAÇÃO - N (Campina Grande),29,49,78
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),133,76,209
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),38,68,106
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),3,5,8
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),1,1,2
13317100 - ARTE E MÍDIA - D (Campina Grande),49,72,121
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),46,249,295
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),39,9,48
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),33,9,42
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103100 - CIÊNCIAS - M (Cajazeiras),33,26,59
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),11,21,32
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),5,13,18
21103200 - CIÊNCIAS - N (Cajazeiras),39,40,79
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),14,7,21
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,4,15
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),76,86,162
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),80,94,174
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),33,22,55
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),16,24,40
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),16,8,24
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,5,8
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),24,11,35
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),25,15,40
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),82,73,155
11104120 - DESIGN - D (Campina Grande),0,1,1
31350100 - DIREITO - M (Sousa),115,166,281
31350200 - DIREITO - N (Sousa),94,198,292
31350300 - DIREITO - V (Sousa),19,31,50
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),49,78,127
15122100 - ENGENHARIA CIVIL - D (Campina Grande),109,316,425
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),118,108,226
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),21,70,91
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),25,173,198
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,41,43
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,13,104,117
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,4,46,50
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,13,95,108
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,0,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),29,40,69
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),10,275,285
,FEMININO,MASCULINO,Total
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),92,75,167
11105150 - FÍSICA (BAC) - D (Campina Grande),9,39,48
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),102,55,157
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),134,59,193
13309100 - HISTÓRIA - D (Campina Grande),27,30,57
13309200 - HISTÓRIA - N (Campina Grande),21,35,56
13309150 - HISTÓRIA (BAC) - M (Campina Grande),4,8,12
13309212 - HISTÓRIA (BAC) - N (Campina Grande),0,5,5
13309110 - HISTÓRIA (LIC) - M (Campina Grande),71,33,104
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),44,26,70
13309211 - HISTÓRIA (LIC) - N (Campina Grande),69,35,104
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),189,112,301
13310100 - LETRAS - D (Campina Grande),38,12,50
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),5,1,6
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N (Campina Grande),1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),19,6,25
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),6,4,10
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),44,13,57
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),65,15,80
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),66,13,79
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),72,7,79
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),65,16,81
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),51,9,60
21310100 - LETRAS - M (Cajazeiras),21,10,31
13310200 - LETRAS - N (Campina Grande),37,14,51
21310200 - LETRAS - N (Cajazeiras),37,6,43
11107100 - MATEMÁTICA - D (Campina Grande),17,31,48
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),2,6,8
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),18,33,51
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),18,48,66
12205100 - MEDICINA (Campina Grande),203,258,461
41410100 - MEDICINA VETERINÁRIA - D (Patos),129,217,346
15108100 - METEOROLOGIA - D (Campina Grande),23,41,64
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),16,0,16
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),10,0,10
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N (Cajazeiras),5,1,6
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N (Cajazeiras),69,5,74
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),16,5,21
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),24,5,29
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,81,8,89
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,12,0,12
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M (Cajazeiras),1,0,1
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),76,6,82
,FEMININO,MASCULINO,Total
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,85,3,88
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),23,1,24
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),52,1,53
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES) (Campina ,7,5,12
Total,3691,4124,7815
