Quantidade de alunos matriculados em 2007.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),111,75,186
13301200 - ADMINISTRAÇÃO - N (Campina Grande),51,61,112
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),75,50,125
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),18,42,60
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),3,1,4
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),0,1,1
13317100 - ARTE E MÍDIA - D (Campina Grande),53,55,108
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),47,246,293
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),35,21,56
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),38,9,47
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),1,3,4
21103100 - CIÊNCIAS - M (Cajazeiras),25,42,67
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),14,22,36
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),13,23,36
21103200 - CIÊNCIAS - N (Cajazeiras),24,36,60
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),14,9,23
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),9,5,14
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),26,10,36
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),24,11,35
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),23,9,32
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),201,200,401
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),95,77,172
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),76,83,159
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),32,19,51
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),25,12,37
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),14,10,24
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),4,3,7
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),40,15,55
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),41,22,63
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),71,60,131
11104120 - DESIGN - D (Campina Grande),25,19,44
31350100 - DIREITO - M (Sousa),133,124,257
31350200 - DIREITO - N (Sousa),95,212,307
31350300 - DIREITO - V (Sousa),87,119,206
21204100 - ENFERMAGEM - D (Cajazeiras),94,21,115
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),60,66,126
15122100 - ENGENHARIA CIVIL - D (Campina Grande),114,288,402
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),112,90,202
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),19,95,114
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),43,46,89
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),22,205,227
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,32,34
,FEMININO,MASCULINO,Total
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,22,118,140
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,11,37,48
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,12,84,96
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,1,2
