Quantidade de alunos matriculados em 2014.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),144,133,277
13301200 - ADMINISTRAÇÃO - N (Campina Grande),65,87,152
31301200 - ADMINISTRAÇÃO - N (Sousa),72,114,186
91402100 - AGRONOMIA - D (Pombal),94,185,279
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),105,50,155
13317100 - ARTE E MÍDIA - D (Campina Grande),64,72,136
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),75,442,517
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),4,0,4
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),7,1,8
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),4,7,11
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),2,3,5
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),7,2,9
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),77,41,118
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),88,37,125
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),70,43,113
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),115,62,177
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),92,53,145
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),93,112,205
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),52,54,106
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),62,77,139
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),30,17,47
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),7,3,10
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),3,0,3
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),79,35,114
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),94,37,131
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),78,31,109
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),61,58,119
11104120 - DESIGN - D (Campina Grande),113,106,219
31350100 - DIREITO - M (Sousa),165,105,270
31350200 - DIREITO - N (Sousa),102,160,262
31350300 - DIREITO - V (Sousa),172,112,284
12204100 - ENFERMAGEM - D (Campina Grande),211,23,234
21204100 - ENFERMAGEM - D (Cajazeiras),211,53,264
51204100 - ENFERMAGEM - D (Cuité),263,59,322
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),101,46,147
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),41,76,117
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),117,129,246
15122100 - ENGENHARIA CIVIL - D (Campina Grande),182,327,509
91122100 - ENGENHARIA CIVIL - D (Pombal),13,28,41
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),88,35,123
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),169,69,238
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),61,58,119
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),100,95,195
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),66,107,173
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),83,86,169
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),89,88,177
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),74,90,164
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),166,631,797
41403100 - ENGENHARIA FLORESTAL - D (Patos),49,72,121
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),36,275,311
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),109,95,204
11134100 - ESTATÍSTICA - D (Campina Grande),12,28,40
51203100 - FARMÁCIA - D (Cuité),208,105,313
13314250 - FILOSOFIA (BAC) - N (Campina Grande),15,18,33
13314210 - FILOSOFIA (LIC) - N (Campina Grande),19,27,46
