Quantidade de alunos matriculados em 2010.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),190,120,310
13301200 - ADMINISTRAÇÃO - N (Campina Grande),82,96,178
31301200 - ADMINISTRAÇÃO - N (Sousa),47,60,107
91402100 - AGRONOMIA - D (Pombal),62,158,220
13317100 - ARTE E MÍDIA - D (Campina Grande),42,46,88
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),57,338,395
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),32,21,53
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),34,10,44
21103100 - CIÊNCIAS - M (Cajazeiras),6,21,27
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),20,26,46
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),18,30,48
21103200 - CIÊNCIAS - N (Cajazeiras),10,15,25
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),11,13,24
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,7,18
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),31,11,42
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),110,34,144
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),82,37,119
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),73,43,116
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),172,167,339
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),100,61,161
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),58,48,106
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),12,5,17
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),13,5,18
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),24,16,40
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),17,10,27
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),45,7,52
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),39,21,60
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),65,30,95
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),24,28,52
11104120 - DESIGN - D (Campina Grande),77,70,147
31350100 - DIREITO - M (Sousa),151,107,258
31350200 - DIREITO - N (Sousa),103,185,288
31350300 - DIREITO - V (Sousa),143,120,263
12204100 - ENFERMAGEM - D (Campina Grande),110,10,120
21204100 - ENFERMAGEM - D (Cajazeiras),229,57,286
51204100 - ENFERMAGEM - D (Cuité),173,46,219
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),51,39,90
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),68,71,139
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),77,92,169
15122100 - ENGENHARIA CIVIL - D (Campina Grande),130,285,415
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),62,16,78
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),125,46,171
,FEMININO,MASCULINO,Total
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),48,46,94
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),146,96,242
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),37,112,149
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),36,57,93
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),105,71,176
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),44,46,90
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),70,357,427
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,21,23
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,21,97,118
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,8,12,20
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,11,51,62
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
