Quantidade de alunos matriculados em 2002.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),48,64,112
13301200 - ADMINISTRAÇÃO - N (Campina Grande),15,31,46
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),152,91,243
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),29,51,80
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),4,5,9
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),1,1,2
13317100 - ARTE E MÍDIA - D (Campina Grande),27,46,73
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),46,219,265
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),32,9,41
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),20,5,25
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),45,30,75
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),12,25,37
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),1,7,8
21103200 - CIÊNCIAS - N (Cajazeiras),31,27,58
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),10,9,19
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),4,1,5
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),116,93,209
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),52,63,115
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),38,21,59
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),10,11,21
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),18,7,25
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,4,7
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),37,15,52
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),14,4,18
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),66,63,129
31350100 - DIREITO - M (Sousa),129,198,327
31350200 - DIREITO - N (Sousa),105,227,332
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),55,72,127
15122100 - ENGENHARIA CIVIL - D (Campina Grande),111,319,430
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),101,107,208
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),23,74,97
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),24,147,171
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,5,35,40
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,10,78,88
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,6,60,66
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,10,84,94
41403100 - ENGENHARIA FLORESTAL - D (Patos),28,48,76
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),8,287,295
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),103,83,186
11105150 - FÍSICA (BAC) - D (Campina Grande),8,50,58
,FEMININO,MASCULINO,Total
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),66,30,96
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),137,66,203
13309100 - HISTÓRIA - D (Campina Grande),35,25,60
13309200 - HISTÓRIA - N (Campina Grande),9,15,24
13309150 - HISTÓRIA (BAC) - M (Campina Grande),1,4,5
13309212 - HISTÓRIA (BAC) - N (Campina Grande),0,5,5
13309110 - HISTÓRIA (LIC) - M (Campina Grande),85,38,123
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),23,16,39
13309211 - HISTÓRIA (LIC) - N (Campina Grande),38,22,60
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),193,130,323
13310100 - LETRAS - D (Campina Grande),50,20,70
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),5,2,7
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),21,6,27
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),4,4,8
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),67,13,80
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),46,13,59
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),88,19,107
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),39,2,41
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),95,10,105
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),35,5,40
21310100 - LETRAS - M (Cajazeiras),25,14,39
13310200 - LETRAS - N (Campina Grande),27,11,38
21310200 - LETRAS - N (Cajazeiras),17,4,21
11107100 - MATEMÁTICA - D (Campina Grande),27,32,59
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,6,10
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),19,39,58
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),16,43,59
12205100 - MEDICINA (Campina Grande),204,252,456
41410100 - MEDICINA VETERINÁRIA - D (Patos),134,215,349
15108100 - METEOROLOGIA - D (Campina Grande),31,41,72
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),25,2,27
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),3,2,5
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N (Cajazeiras),2,0,2
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N (Cajazeiras),52,3,55
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),24,8,32
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),16,0,16
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,67,6,73
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,6,0,6
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M (Cajazeiras),16,1,17
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),207,10,217
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,117,3,120
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),7,0,7
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),6,0,6
,FEMININO,MASCULINO,Total
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES) (Campina ,12,12,24
Total,3658,3925,7583
