Quantidade de alunos matriculados em 2011.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),201,127,328
13301200 - ADMINISTRAÇÃO - N (Campina Grande),85,124,209
31301200 - ADMINISTRAÇÃO - N (Sousa),61,83,144
91402100 - AGRONOMIA - D (Pombal),90,168,258
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),49,23,72
13317100 - ARTE E MÍDIA - D (Campina Grande),63,57,120
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),77,428,505
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),26,18,44
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),25,10,35
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),15,21,36
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),20,32,52
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),9,12,21
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),12,9,21
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),44,19,63
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),95,33,128
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),18,16,34
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),128,65,193
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),88,41,129
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),152,148,300
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),86,45,131
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),72,63,135
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),38,17,55
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),18,13,31
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),31,5,36
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),77,22,99
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),87,33,120
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),54,12,66
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),36,35,71
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),4,0,4
11104120 - DESIGN - D (Campina Grande),102,98,200
31350100 - DIREITO - M (Sousa),159,101,260
31350200 - DIREITO - N (Sousa),91,157,248
31350300 - DIREITO - V (Sousa),144,100,244
12204100 - ENFERMAGEM - D (Campina Grande),188,23,211
21204100 - ENFERMAGEM - D (Cajazeiras),259,55,314
51204100 - ENFERMAGEM - D (Cuité),259,63,322
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),66,41,107
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),63,70,133
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),117,119,236
15122100 - ENGENHARIA CIVIL - D (Campina Grande),151,299,450
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),55,20,75
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),164,68,232
,FEMININO,MASCULINO,Total
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),46,49,95
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),141,105,246
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),48,100,148
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),54,58,112
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),96,70,166
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),50,49,99
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),109,469,578
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,4,13,17
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,17,75,92
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,5,11,16
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,10,47,57
41403100 - ENGENHARIA FLORESTAL - D (Patos),58,71,129
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),33,304,337
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),107,88,195
11134100 - ESTATÍSTICA - D (Campina Grande),15,14,29
51203100 - FARMÁCIA - D (Cuité),189,104,293
13314250 - FILOSOFIA (BAC) - N (Campina Grande),21,19,40
13314210 - FILOSOFIA (LIC) - N (Campina Grande),9,13,22
11105150 - FÍSICA (BAC) - D (Campina Grande),16,25,41
11105110 - FÍSICA (LIC) - D (Campina Grande),3,8,11
51105110 - FÍSICA (LIC) - D (Cuité),14,31,45
21105210 - FÍSICA (LIC) - N (Cajazeiras),8,26,34
51105210 - FÍSICA (LIC) - N (Cuité),16,27,43
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),26,30,56
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),47,57,104
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),99,44,143
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),89,50,139
13309150 - HISTÓRIA (BAC) - M (Campina Grande),12,8,20
13309250 - HISTÓRIA (BAC) - N (Campina Grande),21,16,37
13309110 - HISTÓRIA (LIC) - M (Campina Grande),40,37,77
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),103,38,141
13309210 - HISTÓRIA (LIC) - N (Campina Grande),63,78,141
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),118,75,193
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),58,40,98
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),13,6,19
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),4,2,6
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),4,1,5
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),15,7,22
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),5,1,6
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),61,11,72
