Quantidade de alunos matriculados em 2013.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),169,125,294
13301200 - ADMINISTRAÇÃO - N (Campina Grande),62,87,149
31301200 - ADMINISTRAÇÃO - N (Sousa),89,130,219
91402100 - AGRONOMIA - D (Pombal),88,186,274
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),65,34,99
13317100 - ARTE E MÍDIA - D (Campina Grande),44,49,93
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),77,416,493
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),14,5,19
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),16,4,20
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),4,12,16
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),12,14,26
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),3,6,9
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),10,4,14
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),85,36,121
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),113,41,154
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),54,40,94
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),115,51,166
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),100,62,162
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),99,114,213
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),88,65,153
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),59,63,122
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),41,18,59
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),13,6,19
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),17,1,18
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),65,19,84
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),121,44,165
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),58,17,75
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),46,37,83
11104120 - DESIGN - D (Campina Grande),108,98,206
31350100 - DIREITO - M (Sousa),163,99,262
31350200 - DIREITO - N (Sousa),116,194,310
31350300 - DIREITO - V (Sousa),164,110,274
12204100 - ENFERMAGEM - D (Campina Grande),237,25,262
21204100 - ENFERMAGEM - D (Cajazeiras),254,60,314
51204100 - ENFERMAGEM - D (Cuité),297,61,358
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),91,55,146
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),61,101,162
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),126,129,255
15122100 - ENGENHARIA CIVIL - D (Campina Grande),169,333,502
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),90,34,124
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),156,65,221
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),71,60,131
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),120,118,238
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),67,125,192
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),91,102,193
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),106,88,194
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),57,80,137
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),125,533,658
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,1,7,8
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,11,41,52
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,0,7,7
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,2,25,27
41403100 - ENGENHARIA FLORESTAL - D (Patos),62,91,153
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),25,285,310
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),115,107,222
11134100 - ESTATÍSTICA - D (Campina Grande),21,26,47
51203100 - FARMÁCIA - D (Cuité),216,112,328
13314250 - FILOSOFIA (BAC) - N (Campina Grande),22,24,46
13314210 - FILOSOFIA (LIC) - N (Campina Grande),16,26,42
11105150 - FÍSICA (BAC) - D (Campina Grande),10,25,35
11105110 - FÍSICA (LIC) - D (Campina Grande),10,21,31
51105110 - FÍSICA (LIC) - D (Cuité),23,38,61
21105210 - FÍSICA (LIC) - N (Cajazeiras),22,53,75
51105210 - FÍSICA (LIC) - N (Cuité),17,37,54
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),57,60,117
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),64,89,153
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),87,40,127
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),101,70,171
13309150 - HISTÓRIA (BAC) - M (Campina Grande),8,4,12
13309250 - HISTÓRIA (BAC) - N (Campina Grande),10,6,16
13309110 - HISTÓRIA (LIC) - M (Campina Grande),58,49,107
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),104,57,161
13309210 - HISTÓRIA (LIC) - N (Campina Grande),51,64,115
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),95,76,171
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),93,52,145
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),20,4,24
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),13,7,20
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),4,1,5
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),10,4,14
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),3,0,3
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),41,7,48
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),46,12,58
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),28,19,47
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),28,22,50
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),46,16,62
,FEMININO,MASCULINO,Total
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),29,6,35
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),42,14,56
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),19,4,23
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),39,10,49
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),20,6,26
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),22,9,31
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),51,9,60
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,21,29
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),22,22,44
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),40,45,85
51107110 - MATEMÁTICA (LIC) - D (Cuité),24,36,60
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),29,46,75
51107210 - MATEMÁTICA (LIC) - N (Cuité),37,42,79
12205100 - MEDICINA (Campina Grande),278,239,517
21205100 - MEDICINA (Cajazeiras),126,162,288
41410100 - MEDICINA VETERINÁRIA - D (Patos),181,239,420
15108100 - METEOROLOGIA - D (Campina Grande),39,29,68
