Quantidade de alunos matriculados em 2002.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),54,68,122
13301200 - ADMINISTRAÇÃO - N (Campina Grande),22,44,66
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),144,84,228
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),33,61,94
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),2,3,5
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),1,1,2
13317100 - ARTE E MÍDIA - D (Campina Grande),42,65,107
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),50,224,274
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),36,9,45
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),25,7,32
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),50,28,78
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),12,22,34
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),3,10,13
21103200 - CIÊNCIAS - N (Cajazeiras),37,28,65
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),10,8,18
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),9,2,11
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),92,81,173
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),71,89,160
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),34,23,57
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),19,13,32
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),12,5,17
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,5,8
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),37,13,50
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),24,9,33
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),69,71,140
11104120 - DESIGN - D (Campina Grande),0,1,1
31350100 - DIREITO - M (Sousa),130,181,311
31350200 - DIREITO - N (Sousa),102,211,313
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),50,70,120
15122100 - ENGENHARIA CIVIL - D (Campina Grande),104,322,426
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),115,109,224
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),26,70,96
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),23,164,187
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,5,41,46
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,12,93,105
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,5,54,59
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,12,92,104
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,0,1
