Quantidade de alunos matriculados em 2002.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
41403100 - ENGENHARIA FLORESTAL - D (Patos),25,49,74
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),8,274,282
,FEMININO,MASCULINO,Total
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),93,75,168
11105150 - FÍSICA (BAC) - D (Campina Grande),8,45,53
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),92,43,135
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),133,58,191
13309100 - HISTÓRIA - D (Campina Grande),28,22,50
13309200 - HISTÓRIA - N (Campina Grande),21,26,47
13309150 - HISTÓRIA (BAC) - M (Campina Grande),1,4,5
13309212 - HISTÓRIA (BAC) - N (Campina Grande),0,5,5
13309110 - HISTÓRIA (LIC) - M (Campina Grande),77,39,116
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),22,15,37
13309211 - HISTÓRIA (LIC) - N (Campina Grande),64,29,93
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),198,135,333
13310100 - LETRAS - D (Campina Grande),40,16,56
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),4,2,6
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),19,5,24
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),6,4,10
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),60,13,73
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),61,14,75
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),80,18,98
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),58,6,64
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),84,10,94
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),42,9,51
21310100 - LETRAS - M (Cajazeiras),25,10,35
13310200 - LETRAS - N (Campina Grande),35,14,49
21310200 - LETRAS - N (Cajazeiras),22,5,27
11107100 - MATEMÁTICA - D (Campina Grande),21,32,53
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),3,4,7
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),16,38,54
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),17,45,62
12205100 - MEDICINA (Campina Grande),210,256,466
41410100 - MEDICINA VETERINÁRIA - D (Patos),122,207,329
15108100 - METEOROLOGIA - D (Campina Grande),26,39,65
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),15,2,17
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),3,2,5
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N (Cajazeiras),2,0,2
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N (Cajazeiras),67,5,72
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),21,4,25
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),30,3,33
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,69,7,76
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,4,0,4
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M (Cajazeiras),2,0,2
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),146,8,154
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,109,2,111
,FEMININO,MASCULINO,Total
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),9,0,9
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),29,1,30
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES) (Campina ,7,9,16
Total,3710,3995,7705
