Quantidade de alunos matriculados em 2015.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),118,127,245
15122100 - ENGENHARIA CIVIL - D (Campina Grande),173,322,495
91122100 - ENGENHARIA CIVIL - D (Pombal),20,55,75
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),91,52,143
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),159,71,230
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),58,70,128
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),119,110,229
,FEMININO,MASCULINO,Total
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),73,116,189
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),89,102,191
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),95,106,201
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),80,111,191
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),174,650,824
41403100 - ENGENHARIA FLORESTAL - D (Patos),49,75,124
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),40,291,331
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),122,94,216
11134100 - ESTATÍSTICA - D (Campina Grande),16,35,51
51203100 - FARMÁCIA - D (Cuité),194,112,306
13314250 - FILOSOFIA (BAC) - N (Campina Grande),18,21,39
13314210 - FILOSOFIA (LIC) - N (Campina Grande),22,37,59
11105150 - FÍSICA (BAC) - D (Campina Grande),8,28,36
11105110 - FÍSICA (LIC) - D (Campina Grande),9,20,29
51105110 - FÍSICA (LIC) - D (Cuité),12,42,54
21105210 - FÍSICA (LIC) - N (Cajazeiras),25,47,72
51105210 - FÍSICA (LIC) - N (Cuité),16,43,59
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),64,61,125
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),52,90,142
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),67,47,114
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),79,70,149
13309150 - HISTÓRIA (BAC) - M (Campina Grande),2,0,2
13309250 - HISTÓRIA (BAC) - N (Campina Grande),1,1,2
13309110 - HISTÓRIA (LIC) - M (Campina Grande),70,58,128
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),91,63,154
19309110 - HISTÓRIA (LIC) - M (PARFOR) (Campina Grande),14,4,18
13309210 - HISTÓRIA (LIC) - N (Campina Grande),53,52,105
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),75,78,153
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),63,42,105
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),31,9,40
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),20,8,28
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),2,0,2
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),3,1,4
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),1,0,1
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),4,1,5
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),20,10,30
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),40,26,66
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),50,33,83
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),66,18,84
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),41,11,52
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),72,26,98
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),2,1,3
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),2,0,2
,FEMININO,MASCULINO,Total
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),1,1,2
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),69,22,91
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,13,21
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),26,21,47
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),57,53,110
51107110 - MATEMÁTICA (LIC) - D (Cuité),24,25,49
19107110 - MATEMÁTICA (LIC) - D (PARFOR) (Campina Grande),5,4,9
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),32,50,82
51107210 - MATEMÁTICA (LIC) - N (Cuité),37,40,77
12205100 - MEDICINA (Campina Grande),236,217,453
21205100 - MEDICINA (Cajazeiras),75,118,193
41410100 - MEDICINA VETERINÁRIA - D (Patos),198,196,394
15108100 - METEOROLOGIA - D (Campina Grande),31,40,71
13311150 - MÚSICA (BAC) - D (Campina Grande),4,26,30
13311110 - MÚSICA (LIC) - D (Campina Grande),11,50,61
51206100 - NUTRIÇÃO - D (Cuité),214,49,263
51206200 - NUTRIÇÃO - N (Cuité),32,8,40
41207100 - ODONTOLOGIA - D (Patos),229,121,350
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),112,3,115
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),73,6,79
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),165,16,181
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),156,11,167
12208200 - PSICOLOGIA - N (Campina Grande),205,89,294
51109110 - QUÍMICA (LIC) - D (Cuité),59,40,99
21109210 - QUÍMICA (LIC) - N (Cajazeiras),60,70,130
51109210 - QUÍMICA (LIC) - N (Cuité),44,35,79
19109210 - QUÍMICA (LIC) - N (PARFOR) (Cajazeiras),3,4,7
31340100 - SERVIÇO SOCIAL - M (Sousa),127,27,154
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),69,53,122
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),67,62,129
Total,8112,7438,15550
