Quantidade de alunos matriculados em 2015.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),139,123,262
13301200 - ADMINISTRAÇÃO - N (Campina Grande),52,76,128
31301200 - ADMINISTRAÇÃO - N (Sousa),90,129,219
91402100 - AGRONOMIA - D (Pombal),85,177,262
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),98,50,148
13317100 - ARTE E MÍDIA - D (Campina Grande),54,61,115
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),75,463,538
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),4,1,5
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),4,5,9
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),0,2,2
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),2,1,3
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),86,53,139
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),101,44,145
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),88,50,138
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),103,48,151
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),98,63,161
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),81,93,174
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),51,73,124
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),48,61,109
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),32,28,60
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),4,2,6
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),3,0,3
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),66,31,97
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),99,44,143
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),63,28,91
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),58,54,112
11104120 - DESIGN - D (Campina Grande),117,100,217
31350100 - DIREITO - M (Sousa),159,107,266
31350200 - DIREITO - N (Sousa),128,179,307
31350300 - DIREITO - V (Sousa),157,111,268
12204100 - ENFERMAGEM - D (Campina Grande),190,24,214
21204100 - ENFERMAGEM - D (Cajazeiras),192,49,241
51204100 - ENFERMAGEM - D (Cuité),251,52,303
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),98,48,146
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),42,91,133
