Quantidade de alunos matriculados em 2009.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),165,104,269
13301200 - ADMINISTRAÇÃO - N (Campina Grande),67,77,144
31301200 - ADMINISTRAÇÃO - N (Sousa),30,25,55
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),21,13,34
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),3,8,11
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),1,1,2
91402100 - AGRONOMIA - D (Pombal),49,142,191
13317100 - ARTE E MÍDIA - D (Campina Grande),40,56,96
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),59,281,340
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),27,25,52
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),27,9,36
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),1,0,1
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),8,33,41
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),19,23,42
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),15,25,40
21103200 - CIÊNCIAS - N (Cajazeiras),16,19,35
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),13,13,26
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),6,4,10
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),57,18,75
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),62,26,88
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),69,25,94
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),196,184,380
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),107,48,155
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),50,62,112
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),30,12,42
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),17,11,28
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),20,9,29
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),10,9,19
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),45,11,56
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),39,21,60
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),40,44,84
11104120 - DESIGN - D (Campina Grande),54,43,97
31350100 - DIREITO - M (Sousa),138,113,251
