Quantidade de alunos matriculados em 2005.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),71,72,143
13301200 - ADMINISTRAÇÃO - N (Campina Grande),47,53,100
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),104,71,175
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),24,59,83
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),5,0,5
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),0,1,1
13317100 - ARTE E MÍDIA - D (Campina Grande),59,69,128
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),37,247,284
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),38,12,50
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),42,13,55
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,5,5
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),27,30,57
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),11,17,28
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),11,23,34
21103200 - CIÊNCIAS - N (Cajazeiras),40,48,88
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),16,13,29
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,7,18
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),35,51,86
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),79,74,153
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),86,111,197
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),34,22,56
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),30,18,48
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),19,8,27
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,5,8
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),30,13,43
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),35,18,53
