Quantidade de alunos matriculados em 2018.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),121,117,238
13301200 - ADMINISTRAÇÃO - N (Campina Grande),53,65,118
31301200 - ADMINISTRAÇÃO - N (Sousa),91,124,215
91402100 - AGRONOMIA - D (Pombal),99,155,254
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),97,61,158
13317100 - ARTE E MÍDIA - D (Campina Grande),44,53,97
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),107,534,641
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),70,58,128
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),71,47,118
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),75,49,124
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),83,43,126
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),83,62,145
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),88,120,208
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),32,88,120
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),28,38,66
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),37,23,60
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),40,29,69
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),85,43,128
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),54,32,86
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),42,29,71
11104120 - DESIGN - D (Campina Grande),101,72,173
31350100 - DIREITO - M (Sousa),177,112,289
31350200 - DIREITO - N (Sousa),128,184,312
31350300 - DIREITO - V (Sousa),148,135,283
12204100 - ENFERMAGEM - D (Campina Grande),111,29,140
21204100 - ENFERMAGEM - D (Cajazeiras),151,47,198
51204100 - ENFERMAGEM - D (Cuité),184,53,237
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),77,47,124
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),44,82,126
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),106,121,227
15122100 - ENGENHARIA CIVIL - D (Campina Grande),165,348,513
91122100 - ENGENHARIA CIVIL - D (Pombal),84,193,277
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),82,40,122
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),112,58,170
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),50,62,112
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),87,91,178
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),61,95,156
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),75,80,155
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),79,84,163
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),84,106,190
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),176,664,840
41403100 - ENGENHARIA FLORESTAL - D (Patos),52,70,122
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),36,243,279
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),122,107,229
11134100 - ESTATÍSTICA - D (Campina Grande),20,27,47
51203100 - FARMÁCIA - D (Cuité),215,125,340
13314250 - FILOSOFIA (BAC) - N (Campina Grande),8,26,34
13314210 - FILOSOFIA (LIC) - N (Campina Grande),17,33,50
11105150 - FÍSICA (BAC) - D (Campina Grande),4,29,33
11105110 - FÍSICA (LIC) - D (Campina Grande),13,29,42
51105110 - FÍSICA (LIC) - D (Cuité),23,36,59
21105210 - FÍSICA (LIC) - N (Cajazeiras),26,76,102
51105210 - FÍSICA (LIC) - N (Cuité),21,63,84
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),56,67,123
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),36,96,132
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),53,44,97
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),56,70,126
13309110 - HISTÓRIA (LIC) - M (Campina Grande),65,74,139
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),85,74,159
19309110 - HISTÓRIA (LIC) - M (PARFOR) (Campina Grande),11,2,13
13309210 - HISTÓRIA (LIC) - N (Campina Grande),45,61,106
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),73,71,144
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),64,46,110
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),24,15,39
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),22,14,36
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),29,11,40
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),41,29,70
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),45,36,81
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),52,25,77
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),49,18,67
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),81,38,119
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),75,27,102
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,13,17
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),21,27,48
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),58,68,126
51107110 - MATEMÁTICA (LIC) - D (Cuité),29,35,64
19107110 - MATEMÁTICA (LIC) - D (PARFOR) (Campina Grande),6,9,15
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),36,52,88
51107210 - MATEMÁTICA (LIC) - N (Cuité),28,51,79
12205100 - MEDICINA (Campina Grande),243,242,485
21205100 - MEDICINA (Cajazeiras),60,77,137
41410100 - MEDICINA VETERINÁRIA - D (Patos),219,177,396
15108100 - METEOROLOGIA - D (Campina Grande),31,32,63
13311150 - MÚSICA (BAC) - D (Campina Grande),2,19,21
13311110 - MÚSICA (LIC) - D (Campina Grande),15,51,66
,FEMININO,MASCULINO,Total
51206100 - NUTRIÇÃO - D (Cuité),232,63,295
51206200 - NUTRIÇÃO - N (Cuité),2,0,2
41207100 - ODONTOLOGIA - D (Patos),215,137,352
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),113,7,120
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),69,5,74
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),137,31,168
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),132,15,147
12208100 - PSICOLOGIA - D (Campina Grande),85,31,116
12208200 - PSICOLOGIA - N (Campina Grande),107,59,166
51109110 - QUÍMICA (LIC) - D (Cuité),44,39,83
21109210 - QUÍMICA (LIC) - N (Cajazeiras),57,67,124
51109210 - QUÍMICA (LIC) - N (Cuité),54,38,92
19109210 - QUÍMICA (LIC) - N (PARFOR) (Cajazeiras),2,3,5
31340100 - SERVIÇO SOCIAL - M (Sousa),133,21,154
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),38,47,85
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),65,61,126
Total,7438,7632,15070
