Quantidade de alunos matriculados em 2020.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),128,128,256
13301200 - ADMINISTRAÇÃO - N (Campina Grande),64,64,128
31301200 - ADMINISTRAÇÃO - N (Sousa),96,118,214
91402100 - AGRONOMIA - D (Pombal),103,174,277
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),104,65,169
13317100 - ARTE E MÍDIA - D (Campina Grande),50,48,98
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),111,644,755
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),85,62,147
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),70,43,113
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),95,45,140
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),93,42,135
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),79,62,141
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),92,138,230
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),35,95,130
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),29,47,76
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),45,24,69
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),55,36,91
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),98,43,141
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),64,42,106
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),51,45,96
11104120 - DESIGN - D (Campina Grande),102,72,174
31350100 - DIREITO - M (Sousa),181,121,302
31350200 - DIREITO - N (Sousa),143,185,328
31350300 - DIREITO - V (Sousa),171,147,318
12204100 - ENFERMAGEM - D (Campina Grande),146,39,185
21204100 - ENFERMAGEM - D (Cajazeiras),160,58,218
51204100 - ENFERMAGEM - D (Cuité),188,55,243
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),81,42,123
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),44,92,136
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),90,96,186
15122100 - ENGENHARIA CIVIL - D (Campina Grande),154,330,484
91122100 - ENGENHARIA CIVIL - D (Pombal),113,246,359
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),73,43,116
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),109,58,167
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),54,57,111
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),80,90,170
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),50,76,126
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),70,66,136
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),70,99,169
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),79,88,167
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),186,649,835
41403100 - ENGENHARIA FLORESTAL - D (Patos),57,66,123
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),46,245,291
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),126,99,225
11134100 - ESTATÍSTICA - D (Campina Grande),23,46,69
51203100 - FARMÁCIA - D (Cuité),247,134,381
13314250 - FILOSOFIA (BAC) - N (Campina Grande),12,28,40
13314210 - FILOSOFIA (LIC) - N (Campina Grande),21,44,65
11105150 - FÍSICA (BAC) - D (Campina Grande),8,33,41
11105110 - FÍSICA (LIC) - D (Campina Grande),19,36,55
51105110 - FÍSICA (LIC) - D (Cuité),31,47,78
21105210 - FÍSICA (LIC) - N (Cajazeiras),37,78,115
51105210 - FÍSICA (LIC) - N (Cuité),27,71,98
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),39,87,126
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),43,108,151
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),63,49,112
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),67,83,150
13309110 - HISTÓRIA (LIC) - M (Campina Grande),77,84,161
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),85,87,172
13309210 - HISTÓRIA (LIC) - N (Campina Grande),46,62,108
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),93,73,166
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),89,47,136
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),28,18,46
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),57,24,81
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),41,17,58
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),45,26,71
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),46,46,92
