Quantidade de alunos matriculados em 2009.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),176,109,285
13301200 - ADMINISTRAÇÃO - N (Campina Grande),82,95,177
31301200 - ADMINISTRAÇÃO - N (Sousa),27,26,53
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),10,7,17
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),2,4,6
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),0,1,1
91402100 - AGRONOMIA - D (Pombal),51,153,204
13317100 - ARTE E MÍDIA - D (Campina Grande),54,56,110
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),57,308,365
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),24,19,43
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),34,11,45
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),3,24,27
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),19,20,39
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),19,31,50
21103200 - CIÊNCIAS - N (Cajazeiras),17,22,39
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),9,11,20
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),12,6,18
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),85,26,111
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),83,38,121
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),62,23,85
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),190,194,384
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),93,49,142
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),67,68,135
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),18,5,23
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),21,6,27
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),17,12,29
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),17,9,26
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),42,9,51
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),41,23,64
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),34,16,50
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),34,33,67
11104120 - DESIGN - D (Campina Grande),64,59,123
31350100 - DIREITO - M (Sousa),137,112,249
31350200 - DIREITO - N (Sousa),72,153,225
31350300 - DIREITO - V (Sousa),136,117,253
12204100 - ENFERMAGEM - D (Campina Grande),76,6,82
21204100 - ENFERMAGEM - D (Cajazeiras),210,49,259
51204100 - ENFERMAGEM - D (Cuité),143,39,182
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),29,21,50
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),62,52,114
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),71,69,140
,FEMININO,MASCULINO,Total
15122100 - ENGENHARIA CIVIL - D (Campina Grande),130,280,410
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),29,8,37
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),103,39,142
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),29,22,51
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),118,88,206
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),25,96,121
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),20,24,44
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),83,71,154
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),26,24,50
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),61,302,363
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,23,25
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,26,114,140
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,7,19,26
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,9,55,64
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),50,73,123
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),20,282,302
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),105,75,180
51203100 - FARMÁCIA - D (Cuité),99,59,158
13314200 - FILOSOFIA - N (Campina Grande),4,7,11
13314250 - FILOSOFIA (BAC) - N (Campina Grande),7,9,16
11105150 - FÍSICA (BAC) - D (Campina Grande),14,43,57
51105110 - FÍSICA (LIC) - D (Cuité),14,29,43
51105210 - FÍSICA (LIC) - N (Cuité),7,13,20
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),19,23,42
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),87,23,110
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),88,53,141
13309100 - HISTÓRIA - D (Campina Grande),17,8,25
13309200 - HISTÓRIA - N (Campina Grande),10,17,27
13309150 - HISTÓRIA (BAC) - M (Campina Grande),12,11,23
13309212 - HISTÓRIA (BAC) - N (Campina Grande),2,2,4
13309250 - HISTÓRIA (BAC) - N (Campina Grande),14,8,22
13309110 - HISTÓRIA (LIC) - M (Campina Grande),35,22,57
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),98,37,135
13309210 - HISTÓRIA (LIC) - N (Campina Grande),44,46,90
13309211 - HISTÓRIA (LIC) - N (Campina Grande),16,11,27
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),130,72,202
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),30,20,50
13310100 - LETRAS - D (Campina Grande),18,9,27
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),20,7,27
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),5,0,5
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),67,12,79
,FEMININO,MASCULINO,Total
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),94,30,124
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),82,13,95
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),107,11,118
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),40,10,50
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),50,9,59
21310100 - LETRAS - M (Cajazeiras),3,3,6
13310200 - LETRAS - N (Campina Grande),20,12,32
21310200 - LETRAS - N (Cajazeiras),9,7,16
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D (Campina ,34,14,48
11107100 - MATEMÁTICA - D (Campina Grande),15,11,26
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,8,12
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),20,9,29
51107110 - MATEMÁTICA (LIC) - D (Cuité),21,39,60
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),37,39,76
51107210 - MATEMÁTICA (LIC) - N (Cuité),17,17,34
12205100 - MEDICINA (Campina Grande),254,252,506
21205100 - MEDICINA (Cajazeiras),78,88,166
41410100 - MEDICINA VETERINÁRIA - D (Patos),140,217,357
15108100 - METEOROLOGIA - D (Campina Grande),29,31,60
13311100 - MÚSICA - D (Campina Grande),2,5,7
13311150 - MÚSICA (BAC) - D (Campina Grande),2,13,15
13311110 - MÚSICA (LIC) - D (Campina Grande),1,6,7
51206200 - NUTRIÇÃO - N (Cuité),65,14,79
41207100 - ODONTOLOGIA - D (Patos),44,37,81
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),88,2,90
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),94,4,98
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),91,7,98
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),152,8,160
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,3,1,4
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,1,0,1
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),1,0,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,17,1,18
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),30,1,31
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),34,1,35
51109110 - QUÍMICA (LIC) - D (Cuité),42,29,71
51109210 - QUÍMICA (LIC) - N (Cuité),33,17,50
Total,5855,5195,11050
