Quantidade de alunos matriculados em 2013.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),159,126,285
13301200 - ADMINISTRAÇÃO - N (Campina Grande),69,107,176
31301200 - ADMINISTRAÇÃO - N (Sousa),75,107,182
91402100 - AGRONOMIA - D (Pombal),94,179,273
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),83,46,129
13317100 - ARTE E MÍDIA - D (Campina Grande),58,63,121
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),82,432,514
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),12,4,16
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),15,3,18
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),3,11,14
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),10,10,20
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),2,7,9
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),8,2,10
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),79,29,108
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),101,33,134
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),52,33,85
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),120,60,180
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),91,53,144
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),108,129,237
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),67,55,122
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),57,79,136
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),32,13,45
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),11,4,15
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),13,2,15
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),83,31,114
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),99,36,135
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),76,25,101
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),57,54,111
11104120 - DESIGN - D (Campina Grande),107,108,215
31350100 - DIREITO - M (Sousa),163,99,262
31350200 - DIREITO - N (Sousa),98,157,255
31350300 - DIREITO - V (Sousa),161,104,265
12204100 - ENFERMAGEM - D (Campina Grande),238,31,269
21204100 - ENFERMAGEM - D (Cajazeiras),249,63,312
51204100 - ENFERMAGEM - D (Cuité),292,68,360
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),82,52,134
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),51,83,134
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),133,132,265
15122100 - ENGENHARIA CIVIL - D (Campina Grande),176,326,502
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),82,30,112
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),165,68,233
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),60,54,114
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),105,86,191
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),60,119,179
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),85,88,173
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),100,82,182
