Quantidade de alunos matriculados em 2014.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),155,134,289
13301200 - ADMINISTRAÇÃO - N (Campina Grande),56,88,144
31301200 - ADMINISTRAÇÃO - N (Sousa),84,137,221
91402100 - AGRONOMIA - D (Pombal),92,180,272
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),77,39,116
13317100 - ARTE E MÍDIA - D (Campina Grande),56,57,113
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),84,439,523
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),9,1,10
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),11,2,13
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),0,4,4
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),7,8,15
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),2,3,5
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),8,2,10
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),93,44,137
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),108,44,152
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),72,43,115
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),111,49,160
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),99,62,161
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),83,102,185
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),70,69,139
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),50,56,106
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),44,23,67
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),8,4,12
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),5,1,6
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),72,28,100
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),110,44,154
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),65,21,86
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),52,45,97
11104120 - DESIGN - D (Campina Grande),112,109,221
31350100 - DIREITO - M (Sousa),169,108,277
31350200 - DIREITO - N (Sousa),123,191,314
31350300 - DIREITO - V (Sousa),174,109,283
12204100 - ENFERMAGEM - D (Campina Grande),218,28,246
21204100 - ENFERMAGEM - D (Cajazeiras),228,56,284
51204100 - ENFERMAGEM - D (Cuité),277,72,349
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),109,54,163
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),53,102,155
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),119,132,251
15122100 - ENGENHARIA CIVIL - D (Campina Grande),181,336,517
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),98,43,141
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),175,70,245
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),73,70,143
,FEMININO,MASCULINO,Total
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),108,111,219
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),68,132,200
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),98,100,198
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),100,101,201
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),76,93,169
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),161,593,754
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,0,4,4
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,6,12,18
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,0,5,5
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,0,11,11
41403100 - ENGENHARIA FLORESTAL - D (Patos),63,86,149
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),37,268,305
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),118,108,226
11134100 - ESTATÍSTICA - D (Campina Grande),17,43,60
51203100 - FARMÁCIA - D (Cuité),219,106,325
13314250 - FILOSOFIA (BAC) - N (Campina Grande),22,23,45
13314210 - FILOSOFIA (LIC) - N (Campina Grande),20,28,48
11105150 - FÍSICA (BAC) - D (Campina Grande),10,21,31
11105110 - FÍSICA (LIC) - D (Campina Grande),12,21,33
51105110 - FÍSICA (LIC) - D (Cuité),22,47,69
21105210 - FÍSICA (LIC) - N (Cajazeiras),23,49,72
51105210 - FÍSICA (LIC) - N (Cuité),14,40,54
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),62,66,128
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),65,91,156
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),88,47,135
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),87,77,164
13309150 - HISTÓRIA (BAC) - M (Campina Grande),4,4,8
13309250 - HISTÓRIA (BAC) - N (Campina Grande),3,4,7
13309110 - HISTÓRIA (LIC) - M (Campina Grande),64,52,116
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),101,59,160
13309210 - HISTÓRIA (LIC) - N (Campina Grande),61,61,122
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),86,78,164
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),72,49,121
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),25,9,34
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),17,6,23
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),2,0,2
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),7,2,9
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),3,0,3
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),27,5,32
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),39,10,49
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),39,21,60
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),44,20,64
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),58,22,80
,FEMININO,MASCULINO,Total
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),40,4,44
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),60,16,76
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),7,1,8
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),20,6,26
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),3,1,4
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),9,6,15
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),62,18,80
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),11,15,26
