Quantidade de alunos matriculados em 2008.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),153,97,250
13301200 - ADMINISTRAÇÃO - N (Campina Grande),74,81,155
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),40,26,66
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),5,13,18
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),2,1,3
91402100 - AGRONOMIA - D (Pombal),44,136,180
13317100 - ARTE E MÍDIA - D (Campina Grande),52,69,121
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),53,259,312
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),19,22,41
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),32,11,43
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),1,1,2
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),14,24,38
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),14,21,35
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),20,30,50
21103200 - CIÊNCIAS - N (Cajazeiras),23,38,61
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),15,11,26
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),6,5,11
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),67,17,84
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),68,29,97
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),40,14,54
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),222,200,422
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),86,58,144
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),66,75,141
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),20,7,27
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),29,12,41
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),14,12,26
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),10,8,18
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),43,13,56
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),42,21,63
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),53,49,102
11104120 - DESIGN - D (Campina Grande),42,36,78
31350100 - DIREITO - M (Sousa),126,103,229
31350200 - DIREITO - N (Sousa),74,142,216
31350300 - DIREITO - V (Sousa),111,121,232
21204100 - ENFERMAGEM - D (Cajazeiras),160,43,203
51204100 - ENFERMAGEM - D (Cuité),80,22,102
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),55,51,106
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),41,51,92
15122100 - ENGENHARIA CIVIL - D (Campina Grande),113,290,403
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),67,25,92
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),121,85,206
,FEMININO,MASCULINO,Total
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),17,89,106
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),67,68,135
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),35,258,293
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,28,30
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,22,119,141
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,9,28,37
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,11,63,74
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),52,68,120
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),17,270,287
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),100,74,174
51203100 - FARMÁCIA - D (Cuité),62,41,103
11105150 - FÍSICA (BAC) - D (Campina Grande),15,36,51
51105110 - FÍSICA (LIC) - D (Cuité),9,19,28
51105210 - FÍSICA (LIC) - N (Cuité),8,9,17
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),121,44,165
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),96,56,152
13309100 - HISTÓRIA - D (Campina Grande),19,17,36
13309200 - HISTÓRIA - N (Campina Grande),13,18,31
13309150 - HISTÓRIA (BAC) - M (Campina Grande),13,14,27
13309212 - HISTÓRIA (BAC) - N (Campina Grande),4,2,6
13309250 - HISTÓRIA (BAC) - N (Campina Grande),14,6,20
13309110 - HISTÓRIA (LIC) - M (Campina Grande),32,24,56
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),96,41,137
13309210 - HISTÓRIA (LIC) - N (Campina Grande),30,28,58
13309211 - HISTÓRIA (LIC) - N (Campina Grande),38,21,59
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),138,64,202
13310100 - LETRAS - D (Campina Grande),21,9,30
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),2,0,2
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N (Campina Grande),1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),14,8,22
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),4,0,4
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),60,10,70
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),99,19,118
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),81,15,96
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),113,13,126
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),37,9,46
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),40,7,47
21310100 - LETRAS - M (Cajazeiras),14,3,17
13310200 - LETRAS - N (Campina Grande),27,9,36
21310200 - LETRAS - N (Cajazeiras),20,6,26
11107100 - MATEMÁTICA - D (Campina Grande),16,17,33
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,8,12
,FEMININO,MASCULINO,Total
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),17,11,28
51107110 - MATEMÁTICA (LIC) - D (Cuité),23,25,48
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),26,34,60
51107210 - MATEMÁTICA (LIC) - N (Cuité),14,13,27
12205100 - MEDICINA (Campina Grande),248,244,492
21205100 - MEDICINA (Cajazeiras),49,40,89
41410100 - MEDICINA VETERINÁRIA - D (Patos),119,231,350
15108100 - METEOROLOGIA - D (Campina Grande),30,30,60
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),68,3,71
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),76,3,79
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),73,9,82
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),128,2,130
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,10,2,12
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M (Campina ,7,0,7
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M (Cajazeiras),2,0,2
13312112 - PEDAGOGIA(LIC.PL/MAG.MAT.PED.2.GRAU)-M (Campina ,1,0,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M (Campina ,41,1,42
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M (Cajazeiras),52,6,58
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N (Cajazeiras),53,1,54
51109110 - QUÍMICA (LIC) - D (Cuité),42,18,60
51109210 - QUÍMICA (LIC) - N (Cuité),26,15,41
Total,5015,4657,9672
