Quantidade de alunos matriculados em 2008.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),157,96,253
13301200 - ADMINISTRAÇÃO - N (Campina Grande),55,71,126
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),57,31,88
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),9,27,36
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),3,1,4
91402100 - AGRONOMIA - D (Pombal),49,150,199
13317100 - ARTE E MÍDIA - D (Campina Grande),46,59,105
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),53,262,315
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),28,23,51
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),32,10,42
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),1,1,2
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),18,34,52
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),15,22,37
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),16,25,41
21103200 - CIÊNCIAS - N (Cajazeiras),19,36,55
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),16,11,27
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),7,4,11
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),46,12,58
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),41,23,64
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),48,18,66
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),205,204,409
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),97,77,174
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),65,85,150
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),33,18,51
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),21,9,30
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),15,10,25
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),6,6,12
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),47,16,63
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),41,22,63
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),62,52,114
11104120 - DESIGN - D (Campina Grande),36,29,65
31350100 - DIREITO - M (Sousa),124,104,228
31350200 - DIREITO - N (Sousa),88,179,267
31350300 - DIREITO - V (Sousa),109,114,223
21204100 - ENFERMAGEM - D (Cajazeiras),130,38,168
51204100 - ENFERMAGEM - D (Cuité),54,18,72
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),57,70,127
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),30,42,72
15122100 - ENGENHARIA CIVIL - D (Campina Grande),114,286,400
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),53,22,75
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),147,96,243
,FEMININO,MASCULINO,Total
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),21,96,117
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),69,75,144
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),29,247,276
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,30,32
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,24,119,143
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,9,28,37
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,10,70,80
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),62,76,138
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),20,260,280
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),111,76,187
51203100 - FARMÁCIA - D (Cuité),47,25,72
11105150 - FÍSICA (BAC) - D (Campina Grande),19,51,70
51105110 - FÍSICA (LIC) - D (Cuité),7,24,31
51105210 - FÍSICA (LIC) - N (Cuité),11,15,26
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),100,37,137
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),100,65,165
13309100 - HISTÓRIA - D (Campina Grande),27,26,53
13309200 - HISTÓRIA - N (Campina Grande),17,21,38
13309150 - HISTÓRIA (BAC) - M (Campina Grande),12,14,26
13309212 - HISTÓRIA (BAC) - N (Campina Grande),2,2,4
13309250 - HISTÓRIA (BAC) - N (Campina Grande),6,1,7
13309110 - HISTÓRIA (LIC) - M (Campina Grande),45,26,71
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),128,59,187
13309210 - HISTÓRIA (LIC) - N (Campina Grande),24,18,42
13309211 - HISTÓRIA (LIC) - N (Campina Grande),46,26,72
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),128,61,189
13310100 - LETRAS - D (Campina Grande),39,12,51
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),3,0,3
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N (Campina Grande),1,0,1
