Quantidade de alunos matriculados em 2003.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),53,75,128
13301200 - ADMINISTRAÇÃO - N (Campina Grande),19,34,53
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),141,87,228
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),34,61,95
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),3,5,8
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),1,1,2
13317100 - ARTE E MÍDIA - D (Campina Grande),40,60,100
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),45,237,282
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),42,9,51
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),24,8,32
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103100 - CIÊNCIAS - M (Cajazeiras),38,33,71
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),13,25,38
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),3,10,13
21103200 - CIÊNCIAS - N (Cajazeiras),31,29,60
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),16,9,25
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),9,2,11
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),95,99,194
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),69,73,142
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),34,27,61
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),16,12,28
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),15,6,21
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,5,8
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),36,13,49
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),24,9,33
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),77,70,147
11104120 - DESIGN - D (Campina Grande),0,1,1
31350100 - DIREITO - M (Sousa),144,208,352
31350200 - DIREITO - N (Sousa),124,242,366
31350300 - DIREITO - V (Sousa),16,30,46
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),51,81,132
15122100 - ENGENHARIA CIVIL - D (Campina Grande),117,336,453
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),114,112,226
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),23,83,106
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),24,173,197
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,4,40,44
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,11,98,109
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,4,52,56
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,15,96,111
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,0,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),33,43,76
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),10,288,298
,FEMININO,MASCULINO,Total
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),112,83,195
11105150 - FÍSICA (BAC) - D (Campina Grande),9,52,61
