Quantidade de alunos matriculados em 2010.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),189,119,308
13301200 - ADMINISTRAÇÃO - N (Campina Grande),85,120,205
31301200 - ADMINISTRAÇÃO - N (Sousa),44,57,101
91402100 - AGRONOMIA - D (Pombal),70,160,230
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),28,12,40
13317100 - ARTE E MÍDIA - D (Campina Grande),57,56,113
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),65,370,435
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),32,20,52
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),38,11,49
21103100 - CIÊNCIAS - M (Cajazeiras),3,12,15
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),19,26,45
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),22,36,58
21103200 - CIÊNCIAS - N (Cajazeiras),5,13,18
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),11,13,24
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),12,11,23
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),28,9,37
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),95,26,121
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),110,53,163
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),69,36,105
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),180,171,351
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),94,51,145
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),77,64,141
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),5,2,7
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),13,8,21
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),27,15,42
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),19,10,29
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),36,6,42
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),53,16,69
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),57,26,83
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),31,7,38
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),20,18,38
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),17,19,36
11104120 - DESIGN - D (Campina Grande),88,81,169
31350100 - DIREITO - M (Sousa),147,104,251
31350200 - DIREITO - N (Sousa),86,159,245
31350300 - DIREITO - V (Sousa),142,112,254
12204100 - ENFERMAGEM - D (Campina Grande),141,14,155
21204100 - ENFERMAGEM - D (Cajazeiras),247,49,296
51204100 - ENFERMAGEM - D (Cuité),206,54,260
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),41,34,75
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),61,55,116
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),92,104,196
,FEMININO,MASCULINO,Total
15122100 - ENGENHARIA CIVIL - D (Campina Grande),131,296,427
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),53,13,66
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),130,51,181
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),37,36,73
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),137,86,223
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),34,96,130
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),32,52,84
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),96,63,159
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),41,35,76
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),89,391,480
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,1,22,23
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,22,88,110
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,7,18,25
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,9,49,58
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),59,76,135
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),27,292,319
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),108,93,201
11134100 - ESTATÍSTICA - D (Campina Grande),10,5,15
51203100 - FARMÁCIA - D (Cuité),149,89,238
13314200 - FILOSOFIA - N (Campina Grande),4,4,8
13314250 - FILOSOFIA (BAC) - N (Campina Grande),10,12,22
13314210 - FILOSOFIA (LIC) - N (Campina Grande),4,7,11
11105150 - FÍSICA (BAC) - D (Campina Grande),23,37,60
51105110 - FÍSICA (LIC) - D (Cuité),16,31,47
51105210 - FÍSICA (LIC) - N (Cuité),15,19,34
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),23,15,38
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),36,44,80
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),82,30,112
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),80,49,129
13309100 - HISTÓRIA - D (Campina Grande),7,5,12
13309200 - HISTÓRIA - N (Campina Grande),7,12,19
13309150 - HISTÓRIA (BAC) - M (Campina Grande),16,12,28
13309212 - HISTÓRIA (BAC) - N (Campina Grande),1,2,3
13309250 - HISTÓRIA (BAC) - N (Campina Grande),18,12,30
13309110 - HISTÓRIA (LIC) - M (Campina Grande),33,18,51
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),91,36,127
13309210 - HISTÓRIA (LIC) - N (Campina Grande),55,60,115
13309211 - HISTÓRIA (LIC) - N (Campina Grande),7,5,12
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),122,69,191
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),39,20,59
13310100 - LETRAS - D (Campina Grande),14,3,17
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),7,1,8
,FEMININO,MASCULINO,Total
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),17,7,24
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),8,1,9
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),76,12,88
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),106,35,141
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),75,13,88
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),97,15,112
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),50,13,63
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),54,17,71
21310100 - LETRAS - M (Cajazeiras),5,5,10
13310200 - LETRAS - N (Campina Grande),12,5,17
21310200 - LETRAS - N (Cajazeiras),6,9,15
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D (Campina ,32,14,46
11107100 - MATEMÁTICA - D (Campina Grande),1,6,7
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),8,14,22
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),23,10,33
51107110 - MATEMÁTICA (LIC) - D (Cuité),21,38,59
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),34,46,80
51107210 - MATEMÁTICA (LIC) - N (Cuité),22,29,51
12205100 - MEDICINA (Campina Grande),256,244,500
21205100 - MEDICINA (Cajazeiras),106,139,245
41410100 - MEDICINA VETERINÁRIA - D (Patos),154,226,380
15108100 - METEOROLOGIA - D (Campina Grande),30,24,54
13311100 - MÚSICA - D (Campina Grande),1,1,2
13311150 - MÚSICA (BAC) - D (Campina Grande),4,25,29
13311110 - MÚSICA (LIC) - D (Campina Grande),0,20,20
51206200 - NUTRIÇÃO - N (Cuité),126,17,143
41207100 - ODONTOLOGIA - D (Patos),94,66,160
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),109,3,112
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),110,5,115
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),118,7,125
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),175,10,185
12208200 - PSICOLOGIA - N (Campina Grande),64,19,83
51109110 - QUÍMICA (LIC) - D (Cuité),52,34,86
51109210 - QUÍMICA (LIC) - N (Cuité),34,24,58
31340100 - SERVIÇO SOCIAL - M (Sousa),44,3,47
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),13,23,36
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),26,22,48
Total,6907,5895,12802
