Quantidade de alunos matriculados em 2019.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),119,111,230
13301200 - ADMINISTRAÇÃO - N (Campina Grande),68,81,149
31301200 - ADMINISTRAÇÃO - N (Sousa),78,94,172
91402100 - AGRONOMIA - D (Pombal),102,173,275
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),113,70,183
13317100 - ARTE E MÍDIA - D (Campina Grande),57,53,110
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),114,630,744
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),77,51,128
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),52,38,90
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),71,37,108
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),101,52,153
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),71,49,120
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),77,117,194
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),26,69,95
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),41,68,109
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),28,22,50
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),58,47,105
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),74,34,108
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),73,45,118
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),59,57,116
11104120 - DESIGN - D (Campina Grande),103,67,170
31350100 - DIREITO - M (Sousa),186,113,299
31350200 - DIREITO - N (Sousa),119,151,270
31350300 - DIREITO - V (Sousa),154,138,292
12204100 - ENFERMAGEM - D (Campina Grande),138,42,180
21204100 - ENFERMAGEM - D (Cajazeiras),160,53,213
51204100 - ENFERMAGEM - D (Cuité),185,50,235
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),62,43,105
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),36,60,96
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),86,92,178
15122100 - ENGENHARIA CIVIL - D (Campina Grande),162,320,482
91122100 - ENGENHARIA CIVIL - D (Pombal),103,241,344
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),60,35,95
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),101,55,156
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),37,49,86
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),60,63,123
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),45,60,105
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),58,44,102
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),61,82,143
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),75,84,159
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),182,663,845
41403100 - ENGENHARIA FLORESTAL - D (Patos),34,55,89
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),43,244,287
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),103,84,187
11134100 - ESTATÍSTICA - D (Campina Grande),16,31,47
51203100 - FARMÁCIA - D (Cuité),253,134,387
13314250 - FILOSOFIA (BAC) - N (Campina Grande),8,18,26
13314210 - FILOSOFIA (LIC) - N (Campina Grande),16,35,51
11105150 - FÍSICA (BAC) - D (Campina Grande),4,21,25
11105110 - FÍSICA (LIC) - D (Campina Grande),11,25,36
51105110 - FÍSICA (LIC) - D (Cuité),20,36,56
21105210 - FÍSICA (LIC) - N (Cajazeiras),30,66,96
51105210 - FÍSICA (LIC) - N (Cuité),22,56,78
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),33,62,95
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),30,86,116
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),71,59,130
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),57,66,123
13309110 - HISTÓRIA (LIC) - M (Campina Grande),71,72,143
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),69,70,139
13309210 - HISTÓRIA (LIC) - N (Campina Grande),55,81,136
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),99,84,183
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),59,42,101
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),33,24,57
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),41,19,60
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),29,13,42
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),37,19,56
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),38,39,77
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),47,26,73
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),75,31,106
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),106,52,158
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),72,21,93
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),5,12,17
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),20,23,43
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),45,62,107
51107110 - MATEMÁTICA (LIC) - D (Cuité),35,33,68
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),24,42,66
51107210 - MATEMÁTICA (LIC) - N (Cuité),32,48,80
12205100 - MEDICINA (Campina Grande),249,277,526
21205100 - MEDICINA (Cajazeiras),74,84,158
41410100 - MEDICINA VETERINÁRIA - D (Patos),277,185,462
15108100 - METEOROLOGIA - D (Campina Grande),27,26,53
13311150 - MÚSICA (BAC) - D (Campina Grande),7,27,34
13311110 - MÚSICA (LIC) - D (Campina Grande),19,61,80
51206100 - NUTRIÇÃO - D (Cuité),258,73,331
41207100 - ODONTOLOGIA - D (Patos),223,141,364
,FEMININO,MASCULINO,Total
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),91,5,96
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),88,7,95
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),107,29,136
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),148,29,177
12208100 - PSICOLOGIA - D (Campina Grande),174,64,238
