Quantidade de alunos matriculados em 2018.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),120,112,232
13301200 - ADMINISTRAÇÃO - N (Campina Grande),57,75,132
31301200 - ADMINISTRAÇÃO - N (Sousa),76,97,173
91402100 - AGRONOMIA - D (Pombal),97,154,251
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),109,66,175
13317100 - ARTE E MÍDIA - D (Campina Grande),54,61,115
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),99,580,679
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),59,45,104
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),51,37,88
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),58,39,97
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),95,49,144
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),69,51,120
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),81,110,191
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),22,69,91
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),36,66,102
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),30,13,43
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),55,41,96
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),69,30,99
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),62,44,106
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),57,44,101
11104120 - DESIGN - D (Campina Grande),96,66,162
31350100 - DIREITO - M (Sousa),177,111,288
31350200 - DIREITO - N (Sousa),116,154,270
31350300 - DIREITO - V (Sousa),146,133,279
12204100 - ENFERMAGEM - D (Campina Grande),117,29,146
21204100 - ENFERMAGEM - D (Cajazeiras),148,48,196
51204100 - ENFERMAGEM - D (Cuité),185,55,240
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),63,42,105
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),37,62,99
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),101,107,208
15122100 - ENGENHARIA CIVIL - D (Campina Grande),168,345,513
91122100 - ENGENHARIA CIVIL - D (Pombal),93,213,306
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),60,33,93
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),119,56,175
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),46,52,98
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),67,72,139
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),49,72,121
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),59,60,119
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),63,70,133
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),76,98,174
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),170,678,848
41403100 - ENGENHARIA FLORESTAL - D (Patos),44,59,103
,FEMININO,MASCULINO,Total
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),37,254,291
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),112,92,204
11134100 - ESTATÍSTICA - D (Campina Grande),17,19,36
51203100 - FARMÁCIA - D (Cuité),236,128,364
13314250 - FILOSOFIA (BAC) - N (Campina Grande),7,22,29
13314210 - FILOSOFIA (LIC) - N (Campina Grande),14,29,43
11105150 - FÍSICA (BAC) - D (Campina Grande),2,20,22
11105110 - FÍSICA (LIC) - D (Campina Grande),11,27,38
51105110 - FÍSICA (LIC) - D (Cuité),20,26,46
21105210 - FÍSICA (LIC) - N (Cajazeiras),25,65,90
51105210 - FÍSICA (LIC) - N (Cuité),18,54,72
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),45,55,100
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),32,78,110
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),65,60,125
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),53,63,116
13309110 - HISTÓRIA (LIC) - M (Campina Grande),58,61,119
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),75,62,137
19309110 - HISTÓRIA (LIC) - M (PARFOR) (Campina Grande),11,2,13
13309210 - HISTÓRIA (LIC) - N (Campina Grande),52,76,128
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),85,87,172
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),48,41,89
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),32,20,52
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),20,12,32
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),23,9,32
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),32,22,54
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),40,31,71
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),47,22,69
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),60,25,85
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),98,46,144
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),57,22,79
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),4,11,15
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),16,17,33
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),53,62,115
51107110 - MATEMÁTICA (LIC) - D (Cuité),25,28,53
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),33,46,79
51107210 - MATEMÁTICA (LIC) - N (Cuité),26,41,67
12205100 - MEDICINA (Campina Grande),240,257,497
21205100 - MEDICINA (Cajazeiras),69,74,143
41410100 - MEDICINA VETERINÁRIA - D (Patos),239,179,418
15108100 - METEOROLOGIA - D (Campina Grande),24,19,43
13311150 - MÚSICA (BAC) - D (Campina Grande),5,26,31
13311110 - MÚSICA (LIC) - D (Campina Grande),16,61,77
51206100 - NUTRIÇÃO - D (Cuité),236,66,302
,FEMININO,MASCULINO,Total
51206200 - NUTRIÇÃO - N (Cuité),2,0,2
41207100 - ODONTOLOGIA - D (Patos),223,141,364
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),85,5,90
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),77,8,85
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),100,25,125
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),152,23,175
12208100 - PSICOLOGIA - D (Campina Grande),113,43,156
12208200 - PSICOLOGIA - N (Campina Grande),95,51,146
51109110 - QUÍMICA (LIC) - D (Cuité),39,32,71
21109210 - QUÍMICA (LIC) - N (Cajazeiras),54,57,111
51109210 - QUÍMICA (LIC) - N (Cuité),50,37,87
19109210 - QUÍMICA (LIC) - N (PARFOR) (Cajazeiras),2,3,5
31340100 - SERVIÇO SOCIAL - M (Sousa),104,17,121
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),33,38,71
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),55,46,101
Total,7158,7341,14499
