Quantidade de alunos matriculados em 2015.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),125,109,234
13301200 - ADMINISTRAÇÃO - N (Campina Grande),57,87,144
31301200 - ADMINISTRAÇÃO - N (Sousa),76,107,183
91402100 - AGRONOMIA - D (Pombal),88,173,261
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),128,57,185
13317100 - ARTE E MÍDIA - D (Campina Grande),57,76,133
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),83,475,558
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),1,0,1
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),0,2,2
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),0,1,1
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),68,44,112
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),75,35,110
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),76,41,117
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),109,61,170
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),72,46,118
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),91,107,198
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),42,55,97
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),57,73,130
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),19,16,35
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,1,4
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),3,0,3
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),73,34,107
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),88,38,126
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),75,40,115
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),56,65,121
11104120 - DESIGN - D (Campina Grande),121,83,204
31350100 - DIREITO - M (Sousa),156,108,264
31350200 - DIREITO - N (Sousa),101,155,256
31350300 - DIREITO - V (Sousa),150,112,262
12204100 - ENFERMAGEM - D (Campina Grande),158,23,181
21204100 - ENFERMAGEM - D (Cajazeiras),181,50,231
51204100 - ENFERMAGEM - D (Cuité),219,54,273
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),79,41,120
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),28,73,101
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),120,134,254
15122100 - ENGENHARIA CIVIL - D (Campina Grande),167,329,496
91122100 - ENGENHARIA CIVIL - D (Pombal),30,78,108
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),75,36,111
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),138,73,211
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),47,54,101
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),96,85,181
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),69,110,179
,FEMININO,MASCULINO,Total
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),87,91,178
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),78,92,170
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),75,98,173
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),190,674,864
41403100 - ENGENHARIA FLORESTAL - D (Patos),41,64,105
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),39,290,329
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),110,101,211
11134100 - ESTATÍSTICA - D (Campina Grande),10,19,29
51203100 - FARMÁCIA - D (Cuité),200,102,302
13314250 - FILOSOFIA (BAC) - N (Campina Grande),12,14,26
13314210 - FILOSOFIA (LIC) - N (Campina Grande),15,27,42
11105150 - FÍSICA (BAC) - D (Campina Grande),3,19,22
11105110 - FÍSICA (LIC) - D (Campina Grande),7,11,18
51105110 - FÍSICA (LIC) - D (Cuité),11,32,43
21105210 - FÍSICA (LIC) - N (Cajazeiras),20,32,52
51105210 - FÍSICA (LIC) - N (Cuité),10,32,42
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),55,42,97
