Quantidade de alunos matriculados em 2017.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),116,119,235
13301200 - ADMINISTRAÇÃO - N (Campina Grande),46,60,106
31301200 - ADMINISTRAÇÃO - N (Sousa),87,124,211
91402100 - AGRONOMIA - D (Pombal),85,159,244
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),109,66,175
13317100 - ARTE E MÍDIA - D (Campina Grande),45,61,106
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),101,512,613
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),74,58,132
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),68,53,121
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),84,51,135
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),90,41,131
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),78,65,143
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),71,86,157
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),42,77,119
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),30,47,77
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),33,22,55
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),0,1,1
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),1,0,1
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),42,30,72
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),84,45,129
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),51,32,83
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),45,40,85
11104120 - DESIGN - D (Campina Grande),107,77,184
31350100 - DIREITO - M (Sousa),170,107,277
31350200 - DIREITO - N (Sousa),133,194,327
31350300 - DIREITO - V (Sousa),150,131,281
12204100 - ENFERMAGEM - D (Campina Grande),119,31,150
21204100 - ENFERMAGEM - D (Cajazeiras),165,43,208
51204100 - ENFERMAGEM - D (Cuité),196,47,243
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),71,44,115
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),39,81,120
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),111,121,232
15122100 - ENGENHARIA CIVIL - D (Campina Grande),172,348,520
91122100 - ENGENHARIA CIVIL - D (Pombal),70,137,207
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),83,44,127
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),120,61,181
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),49,63,112
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),88,97,185
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),70,106,176
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),77,87,164
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),82,97,179
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),80,101,181
,FEMININO,MASCULINO,Total
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),196,671,867
41403100 - ENGENHARIA FLORESTAL - D (Patos),48,67,115
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),40,274,314
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),134,119,253
11134100 - ESTATÍSTICA - D (Campina Grande),20,25,45
51203100 - FARMÁCIA - D (Cuité),208,117,325
13314250 - FILOSOFIA (BAC) - N (Campina Grande),13,24,37
13314210 - FILOSOFIA (LIC) - N (Campina Grande),23,33,56
11105150 - FÍSICA (BAC) - D (Campina Grande),6,28,34
11105110 - FÍSICA (LIC) - D (Campina Grande),17,28,45
51105110 - FÍSICA (LIC) - D (Cuité),17,44,61
21105210 - FÍSICA (LIC) - N (Cajazeiras),27,63,90
51105210 - FÍSICA (LIC) - N (Cuité),24,56,80
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),60,51,111
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),39,98,137
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),58,55,113
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),65,60,125
13309110 - HISTÓRIA (LIC) - M (Campina Grande),59,66,125
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),78,69,147
19309110 - HISTÓRIA (LIC) - M (PARFOR) (Campina Grande),11,2,13
13309210 - HISTÓRIA (LIC) - N (Campina Grande),49,62,111
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),71,77,148
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),49,39,88
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N (Campina Grande),27,14,41
13323110 - LETRAS - LIBRAS (LIC) - D (Campina Grande),10,6,16
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),27,14,41
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),3,0,3
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),38,28,66
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),53,36,89
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),59,23,82
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Campina Grande),54,12,66
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),80,29,109
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),66,26,92
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),7,14,21
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),25,32,57
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),59,63,122
51107110 - MATEMÁTICA (LIC) - D (Cuité),23,36,59
19107110 - MATEMÁTICA (LIC) - D (PARFOR) (Campina Grande),6,9,15
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),28,48,76
51107210 - MATEMÁTICA (LIC) - N (Cuité),28,49,77
12205100 - MEDICINA (Campina Grande),236,230,466
21205100 - MEDICINA (Cajazeiras),49,62,111
41410100 - MEDICINA VETERINÁRIA - D (Patos),224,184,408
,FEMININO,MASCULINO,Total
15108100 - METEOROLOGIA - D (Campina Grande),29,36,65
13311150 - MÚSICA (BAC) - D (Campina Grande),4,24,28
13311110 - MÚSICA (LIC) - D (Campina Grande),15,61,76
51206100 - NUTRIÇÃO - D (Cuité),218,51,269
51206200 - NUTRIÇÃO - N (Cuité),4,1,5
41207100 - ODONTOLOGIA - D (Patos),228,130,358
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),107,2,109
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),64,5,69
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),150,23,173
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),128,11,139
12208100 - PSICOLOGIA - D (Campina Grande),46,18,64
12208200 - PSICOLOGIA - N (Campina Grande),145,64,209
51109110 - QUÍMICA (LIC) - D (Cuité),47,49,96
21109210 - QUÍMICA (LIC) - N (Cajazeiras),59,75,134
51109210 - QUÍMICA (LIC) - N (Cuité),51,43,94
19109210 - QUÍMICA (LIC) - N (PARFOR) (Cajazeiras),2,3,5
31340100 - SERVIÇO SOCIAL - M (Sousa),135,20,155
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),48,42,90
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),70,66,136
Total,7498,7533,15031
