Quantidade de alunos matriculados em 2017.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),114,111,225
13301200 - ADMINISTRAÇÃO - N (Campina Grande),57,73,130
31301200 - ADMINISTRAÇÃO - N (Sousa),75,98,173
91402100 - AGRONOMIA - D (Pombal),97,161,258
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),112,70,182
13317100 - ARTE E MÍDIA - D (Campina Grande),54,63,117
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),109,521,630
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),59,46,105
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),53,44,97
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),67,45,112
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),93,54,147
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),69,58,127
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),85,118,203
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),29,60,89
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),34,59,93
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),27,15,42
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),0,1,1
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),58,37,95
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),60,33,93
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),62,41,103
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),49,43,92
11104120 - DESIGN - D (Campina Grande),111,79,190
31350100 - DIREITO - M (Sousa),167,104,271
31350200 - DIREITO - N (Sousa),111,149,260
31350300 - DIREITO - V (Sousa),148,131,279
12204100 - ENFERMAGEM - D (Campina Grande),117,30,147
21204100 - ENFERMAGEM - D (Cajazeiras),161,46,207
51204100 - ENFERMAGEM - D (Cuité),188,50,238
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),57,42,99
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),36,68,104
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),110,116,226
15122100 - ENGENHARIA CIVIL - D (Campina Grande),165,342,507
91122100 - ENGENHARIA CIVIL - D (Pombal),73,166,239
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),65,34,99
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),121,57,178
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),42,55,97
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),77,77,154
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),58,95,153
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),69,73,142
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),73,78,151
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),75,92,167
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),190,667,857
,FEMININO,MASCULINO,Total
41403100 - ENGENHARIA FLORESTAL - D (Patos),44,59,103
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),38,269,307
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),115,97,212
11134100 - ESTATÍSTICA - D (Campina Grande),12,16,28
51203100 - FARMÁCIA - D (Cuité),210,130,340
13314250 - FILOSOFIA (BAC) - N (Campina Grande),9,13,22
13314210 - FILOSOFIA (LIC) - N (Campina Grande),16,27,43
11105150 - FÍSICA (BAC) - D (Campina Grande),2,23,25
11105110 - FÍSICA (LIC) - D (Campina Grande),13,22,35
51105110 - FÍSICA (LIC) - D (Cuité),15,36,51
21105210 - FÍSICA (LIC) - N (Cajazeiras),19,49,68
51105210 - FÍSICA (LIC) - N (Cuité),18,49,67
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),48,46,94
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),31,80,111
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),69,68,137
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),47,54,101
13309110 - HISTÓRIA (LIC) - M (Campina Grande),54,59,113
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),64,56,120
19309110 - HISTÓRIA (LIC) - M (PARFOR) (Campina Grande),11,2,13
13309210 - HISTÓRIA (LIC) - N (Campina Grande),62,72,134
