Quantidade de alunos matriculados em 2011.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),186,131,317
13301200 - ADMINISTRAÇÃO - N (Campina Grande),77,108,185
31301200 - ADMINISTRAÇÃO - N (Sousa),65,86,151
91402100 - AGRONOMIA - D (Pombal),83,162,245
15101100 - ARQUITETURA E URBANISMO - D (Campina Grande),27,12,39
13317100 - ARTE E MÍDIA - D (Campina Grande),52,52,104
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),73,393,466
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),31,19,50
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),36,11,47
21103100 - CIÊNCIAS - M (Cajazeiras),0,2,2
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),17,21,38
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),21,33,54
21103200 - CIÊNCIAS - N (Cajazeiras),1,3,4
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),10,13,23
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),12,10,22
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Patos),51,19,70
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D (Cuité),111,35,146
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M (Cajazeiras),19,19,38
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Patos),110,51,161
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N (Cuité),90,45,135
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),151,133,284
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),100,53,153
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),59,60,119
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),2,1,3
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),7,2,9
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),43,23,66
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),20,10,30
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),37,6,43
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),52,18,70
71305210 - CIÊNCIAS SOCIAIS (LIC) - N (Sumé),94,34,128
13306100 - COMUNICAÇÃO SOCIAL - D (Campina Grande),29,5,34
13306200 - COMUNICAÇÃO SOCIAL - N (Campina Grande),18,16,34
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),12,17,29
11104120 - DESIGN - D (Campina Grande),98,91,189
31350100 - DIREITO - M (Sousa),166,103,269
31350200 - DIREITO - N (Sousa),105,186,291
31350300 - DIREITO - V (Sousa),143,105,248
12204100 - ENFERMAGEM - D (Campina Grande),168,19,187
21204100 - ENFERMAGEM - D (Cajazeiras),259,50,309
51204100 - ENFERMAGEM - D (Cuité),240,55,295
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D (Sumé),78,43,121
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),71,81,152
,FEMININO,MASCULINO,Total
91130100 - ENGENHARIA AMBIENTAL - D (Pombal),99,110,209
15122100 - ENGENHARIA CIVIL - D (Campina Grande),138,303,441
15125100 - ENGENHARIA DE ALIMENTOS - D (Campina Grande),79,22,101
91125100 - ENGENHARIA DE ALIMENTOS - D (Pombal),140,59,199
71131100 - ENGENHARIA DE BIOSSISTEMAS - D (Sumé),55,57,112
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),160,101,261
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),51,115,166
11135100 - ENGENHARIA DE PETRÓLEO - D (Campina Grande),57,70,127
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),99,85,184
71133100 - ENGENHARIA DE PRODUÇÃO - D (Sumé),52,60,112
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),102,418,520
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,2,19,21
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,20,82,102
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,7,16,23
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,10,51,61
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,0,1,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),71,88,159
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),29,294,323
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),116,97,213
11134100 - ESTATÍSTICA - D (Campina Grande),22,20,42
51203100 - FARMÁCIA - D (Cuité),165,98,263
13314250 - FILOSOFIA (BAC) - N (Campina Grande),19,20,39
13314210 - FILOSOFIA (LIC) - N (Campina Grande),12,18,30
11105150 - FÍSICA (BAC) - D (Campina Grande),27,36,63
11105110 - FÍSICA (LIC) - D (Campina Grande),5,15,20
51105110 - FÍSICA (LIC) - D (Cuité),24,31,55
21105210 - FÍSICA (LIC) - N (Cajazeiras),11,29,40
51105210 - FÍSICA (LIC) - N (Cuité),18,34,52
13316110 - GEOGRAFIA (LIC) - D (Campina Grande),36,36,72
13316210 - GEOGRAFIA (LIC) - N (Campina Grande),50,65,115
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),76,23,99
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),97,59,156
13309100 - HISTÓRIA - D (Campina Grande),0,1,1
13309200 - HISTÓRIA - N (Campina Grande),1,3,4
13309150 - HISTÓRIA (BAC) - M (Campina Grande),15,9,24
13309212 - HISTÓRIA (BAC) - N (Campina Grande),0,1,1
13309250 - HISTÓRIA (BAC) - N (Campina Grande),25,17,42
13309110 - HISTÓRIA (LIC) - M (Campina Grande),49,38,87
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),104,43,147
13309210 - HISTÓRIA (LIC) - N (Campina Grande),56,60,116
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),114,56,170
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D (Sumé),66,41,107
13310100 - LETRAS - D (Campina Grande),8,0,8
,FEMININO,MASCULINO,Total
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D (Campina Grande),6,4,10
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),7,1,8
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),15,5,20
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),5,1,6
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),66,13,79
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),101,29,130
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Campina Grande),15,9,24
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D (Cajazeiras),17,7,24
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M (Cajazeiras),20,4,24
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N (Cajazeiras),1,0,1
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),61,10,71
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),92,14,106
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),45,11,56
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),49,17,66
21310100 - LETRAS - M (Cajazeiras),1,1,2
13310200 - LETRAS - N (Campina Grande),2,1,3
21310200 - LETRAS - N (Cajazeiras),2,3,5
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D (Campina Grande),22,9,31
13345110 - LICENCIATURA INTERCULTURAL INDÍGENA - D (Campina ,32,14,46
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),10,19,29
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),31,14,45
21107110 - MATEMÁTICA (LIC) - D (Cajazeiras),19,21,40
51107110 - MATEMÁTICA (LIC) - D (Cuité),25,47,72
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),41,59,100
51107210 - MATEMÁTICA (LIC) - N (Cuité),28,45,73
12205100 - MEDICINA (Campina Grande),266,232,498
21205100 - MEDICINA (Cajazeiras),114,151,265
41410100 - MEDICINA VETERINÁRIA - D (Patos),163,229,392
15108100 - METEOROLOGIA - D (Campina Grande),38,33,71
13311100 - MÚSICA - D (Campina Grande),1,1,2
13311150 - MÚSICA (BAC) - D (Campina Grande),4,25,29
13311110 - MÚSICA (LIC) - D (Campina Grande),0,20,20
51206100 - NUTRIÇÃO - D (Cuité),36,2,38
51206200 - NUTRIÇÃO - N (Cuité),118,15,133
41207100 - ODONTOLOGIA - D (Patos),102,80,182
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),121,5,126
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),100,4,104
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),139,8,147
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),130,7,137
12208200 - PSICOLOGIA - N (Campina Grande),89,27,116
51109110 - QUÍMICA (LIC) - D (Cuité),61,41,102
21109210 - QUÍMICA (LIC) - N (Cajazeiras),13,26,39
51109210 - QUÍMICA (LIC) - N (Cuité),45,26,71
,FEMININO,MASCULINO,Total
31340100 - SERVIÇO SOCIAL - M (Sousa),83,9,92
71420100 - TECNOLOGIA EM AGROECOLOGIA - D (Sumé),33,40,73
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N (Sumé),53,42,95
Total,7733,6518,14251
