Quantidade de alunos matriculados em 2004.2 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),51,80,131
13301200 - ADMINISTRAÇÃO - N (Campina Grande),32,56,88
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),125,76,201
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),35,71,106
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),3,2,5
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),1,1,2
13317100 - ARTE E MÍDIA - D (Campina Grande),58,73,131
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),46,241,287
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),36,9,45
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),37,8,45
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),31,22,53
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),12,17,29
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),11,17,28
21103200 - CIÊNCIAS - N (Cajazeiras),42,43,85
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),13,9,22
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,6,17
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),12,32,44
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),75,81,156
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),88,106,194
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),29,23,52
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),25,23,48
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),22,7,29
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),4,6,10
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),24,10,34
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),34,18,52
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),82,77,159
11104120 - DESIGN - D (Campina Grande),3,6,9
31350100 - DIREITO - M (Sousa),119,157,276
31350200 - DIREITO - N (Sousa),91,200,291
31350300 - DIREITO - V (Sousa),31,59,90
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),45,80,125
15122100 - ENGENHARIA CIVIL - D (Campina Grande),105,318,423
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),117,99,216
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),17,76,93
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),23,196,219
14123114 - ENGENHARIA ELÉTRICA (ELETRÔN/ELETROTÉC) (Campina ,0,1,1
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,1,36,37
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,15,121,136
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,8,45,53
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,12,92,104
,FEMININO,MASCULINO,Total
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,0,1
41403100 - ENGENHARIA FLORESTAL - D (Patos),28,43,71
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),14,270,284
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),90,80,170
11105150 - FÍSICA (BAC) - D (Campina Grande),13,44,57
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),115,66,181
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),107,59,166
13309100 - HISTÓRIA - D (Campina Grande),35,24,59
13309200 - HISTÓRIA - N (Campina Grande),23,32,55
13309150 - HISTÓRIA (BAC) - M (Campina Grande),7,11,18
13309212 - HISTÓRIA (BAC) - N (Campina Grande),0,6,6
13309110 - HISTÓRIA (LIC) - M (Campina Grande),63,31,94
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),63,46,109
13309210 - HISTÓRIA (LIC) - N (Campina Grande),1,1,2
13309211 - HISTÓRIA (LIC) - N (Campina Grande),80,39,119
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),154,101,255
13310100 - LETRAS - D (Campina Grande),38,27,65
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D (Campina Grande),4,0,4
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N (Campina Grande),1,0,1
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D (Campina Grande),16,5,21
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N (Campina Grande),5,4,9
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D (Campina Grande),50,13,63
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N (Campina Grande),74,16,90
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M (Cajazeiras),71,7,78
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N (Cajazeiras),79,8,87
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M (Cajazeiras),54,13,67
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N (Cajazeiras),47,14,61
21310100 - LETRAS - M (Cajazeiras),20,15,35
13310200 - LETRAS - N (Campina Grande),38,17,55
21310200 - LETRAS - N (Cajazeiras),35,6,41
11107100 - MATEMÁTICA - D (Campina Grande),15,26,41
11107150 - MATEMÁTICA (BAC) - D (Campina Grande),5,4,9
11107110 - MATEMÁTICA (LIC) - D (Campina Grande),19,30,49
11107210 - MATEMÁTICA (LIC) - N (Campina Grande),19,55,74
12205100 - MEDICINA (Campina Grande),206,256,462
41410100 - MEDICINA VETERINÁRIA - D (Patos),117,216,333
15108100 - METEOROLOGIA - D (Campina Grande),23,43,66
13312110 - PEDAGOGIA (LIC) - M (Campina Grande),18,2,20
13312210 - PEDAGOGIA (LIC) - N (Campina Grande),13,2,15
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N (Cajazeiras),5,1,6
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N (Cajazeiras),46,3,49
21312110 - PEDAGOGIA (LICENCIATURA) - M (Cajazeiras),21,5,26
21312210 - PEDAGOGIA (LICENCIATURA) - N (Cajazeiras),36,6,42
,FEMININO,MASCULINO,Total
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N (Campina ,79,4,83
