Quantidade de alunos matriculados em 2005.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),58,78,136
13301200 - ADMINISTRAÇÃO - N (Campina Grande),30,40,70
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),114,69,183
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),32,66,98
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),2,1,3
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N (Campina Grande),0,1,1
13317100 - ARTE E MÍDIA - D (Campina Grande),52,69,121
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),43,246,289
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),41,12,53
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),39,10,49
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,4,4
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),35,30,65
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),11,19,30
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),11,17,28
21103200 - CIÊNCIAS - N (Cajazeiras),40,41,81
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),17,11,28
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,6,17
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),10,26,36
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),89,86,175
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),78,93,171
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),34,27,61
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),19,15,34
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),23,8,31
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),3,4,7
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),29,13,42
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),36,17,53
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),87,77,164
11104120 - DESIGN - D (Campina Grande),3,8,11
31350100 - DIREITO - M (Sousa),134,140,274
31350200 - DIREITO - N (Sousa),98,219,317
31350300 - DIREITO - V (Sousa),56,80,136
21204100 - ENFERMAGEM - D (Cajazeiras),26,4,30
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),56,86,142
