Quantidade de alunos matriculados em 2006.1 por curso e sexo.,,,
,FEMININO,MASCULINO,Total
13301100 - ADMINISTRAÇÃO - D (Campina Grande),83,69,152
13301200 - ADMINISTRAÇÃO - N (Campina Grande),33,47,80
13301152 - ADMINISTRAÇÃO (EMPRESA) - D (Campina Grande),103,65,168
13301252 - ADMINISTRAÇÃO (EMPRESA) - N (Campina Grande),22,55,77
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D (Campina Grande),8,0,8
13317100 - ARTE E MÍDIA - D (Campina Grande),46,56,102
14102100 - CIÊNCIA DA COMPUTAÇÃO - D (Campina Grande),39,245,284
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M (Cajazeiras),39,18,57
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N (Cajazeiras),38,12,50
21103114 - CIÊNCIAS - FÍSICA (LIC) - M (Cajazeiras),0,3,3
21103214 - CIÊNCIAS - FÍSICA (LIC) - N (Cajazeiras),0,1,1
21103100 - CIÊNCIAS - M (Cajazeiras),29,33,62
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M (Cajazeiras),15,20,35
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N (Cajazeiras),10,19,29
21103200 - CIÊNCIAS - N (Cajazeiras),32,38,70
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M (Cajazeiras),15,14,29
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N (Cajazeiras),11,7,18
31360200 - CIÊNCIAS CONTÁBEIS - N (Sousa),34,46,80
13304100 - CIÊNCIAS ECONÔMICAS - M (Campina Grande),88,87,175
13304200 - CIÊNCIAS ECONÔMICAS - N (Campina Grande),80,95,175
13305100 - CIÊNCIAS SOCIAIS - D (Campina Grande),40,23,63
13305200 - CIÊNCIAS SOCIAIS - N (Campina Grande),23,12,35
13305150 - CIÊNCIAS SOCIAIS (BAC) - D (Campina Grande),17,7,24
13305250 - CIÊNCIAS SOCIAIS (BAC) - N (Campina Grande),1,3,4
13305110 - CIÊNCIAS SOCIAIS (LIC) - D (Campina Grande),39,16,55
13305210 - CIÊNCIAS SOCIAIS (LIC) - N (Campina Grande),34,17,51
11104100 - DESENHO INDUSTRIAL - D (Campina Grande),84,70,154
11104120 - DESIGN - D (Campina Grande),13,15,28
31350100 - DIREITO - M (Sousa),139,140,279
31350200 - DIREITO - N (Sousa),108,214,322
31350300 - DIREITO - V (Sousa),71,98,169
21204100 - ENFERMAGEM - D (Cajazeiras),62,17,79
15121100 - ENGENHARIA AGRÍCOLA - D (Campina Grande),61,73,134
15122100 - ENGENHARIA CIVIL - D (Campina Grande),110,289,399
11126100 - ENGENHARIA DE MATERIAIS - D (Campina Grande),123,98,221
15127100 - ENGENHARIA DE MINAS - D (Campina Grande),20,81,101
11133100 - ENGENHARIA DE PRODUÇÃO - D (Campina Grande),20,43,63
14123100 - ENGENHARIA ELÉTRICA (Campina Grande),21,209,230
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D (Campina ,1,36,37
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D (Campina ,18,117,135
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) - (Campina ,10,38,48
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO ,9,84,93
,FEMININO,MASCULINO,Total
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM) ,1,1,2
41403100 - ENGENHARIA FLORESTAL - D (Patos),30,50,80
11124100 - ENGENHARIA MECÂNICA - D (Campina Grande),12,270,282
11128100 - ENGENHARIA QUÍMICA - D (Campina Grande),107,80,187
11105150 - FÍSICA (BAC) - D (Campina Grande),15,45,60
21316110 - GEOGRAFIA (LICENCIATURA) - M (Cajazeiras),98,57,155
21316210 - GEOGRAFIA (LICENCIATURA) - N (Cajazeiras),93,64,157
13309100 - HISTÓRIA - D (Campina Grande),34,31,65
13309200 - HISTÓRIA - N (Campina Grande),14,19,33
13309150 - HISTÓRIA (BAC) - M (Campina Grande),14,13,27
13309212 - HISTÓRIA (BAC) - N (Campina Grande),1,4,5
13309110 - HISTÓRIA (LIC) - M (Campina Grande),63,38,101
21309110 - HISTÓRIA (LIC) - M (Cajazeiras),106,63,169
13309210 - HISTÓRIA (LIC) - N (Campina Grande),6,9,15
13309211 - HISTÓRIA (LIC) - N (Campina Grande),71,35,106
21309210 - HISTÓRIA (LIC) - N (Cajazeiras),118,75,193
13310100 - LETRAS - D (Campina Grande),32,18,50
