Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2003.1,,,2003.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,45,331,14%,50,338,15%
13301200 - ADMINISTRAÇÃO - N,27,137,20%,35,176,20%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,36,1138,3%,26,1046,2%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,20,461,4%,11,453,2%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,1,18,6%,0,20,0%
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,0,8,0%,0,13,0%
13317100 - ARTE E MÍDIA - D,7,475,1%,20,552,4%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,207,1506,14%,156,1561,10%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,20,194,10%,22,168,13%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,7,104,7%,13,155,8%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,10,0%,1,14,7%
21103100 - CIÊNCIAS - M,21,121,17%,22,102,22%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,10,141,7%,7,137,5%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,1,50,2%,7,81,9%
21103200 - CIÊNCIAS - N,12,150,8%,28,216,13%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,5,107,5%,13,84,15%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,1,37,3%,2,64,3%
13304100 - CIÊNCIAS ECONÔMICAS - M,69,645,11%,72,525,14%
13304200 - CIÊNCIAS ECONÔMICAS - N,68,438,16%,69,545,13%
13305100 - CIÊNCIAS SOCIAIS - D,9,98,9%,9,79,11%
13305200 - CIÊNCIAS SOCIAIS - N,10,77,13%,9,74,12%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,2,71,3%,0,87,0%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,2,46,4%,0,45,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,6,214,3%,2,135,1%
,2003.1,,,2003.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,5,144,3%,6,167,4%
11104100 - DESENHO INDUSTRIAL - D,16,737,2%,54,901,6%
11104120 - DESIGN - D,0,8,0%,0,6,0%
31350100 - DIREITO - M,2,1837,0%,4,1567,0%
31350200 - DIREITO - N,5,1538,0%,3,1292,0%
31350300 - DIREITO - V,0,219,0%,0,285,0%
15121100 - ENGENHARIA AGRÍCOLA - D,80,478,17%,90,441,20%
15122100 - ENGENHARIA CIVIL - D,236,2054,11%,296,1967,15%
11126100 - ENGENHARIA DE MATERIAIS - D,97,858,11%,122,841,15%
15127100 - ENGENHARIA DE MINAS - D,69,430,16%,53,377,14%
14123100 - ENGENHARIA ELÉTRICA,223,807,28%,231,801,29%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,22,330,7%,33,319,10%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,55,739,7%,73,806,9%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,18,362,5%,29,315,9%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,34,810,4%,39,787,5%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,7,0%,0,6,0%
41403100 - ENGENHARIA FLORESTAL - D,23,403,6%,37,330,11%
11124100 - ENGENHARIA MECÂNICA - D,201,1287,16%,272,1288,21%
11128100 - ENGENHARIA QUÍMICA - D,96,813,12%,82,717,11%
11105150 - FÍSICA (BAC) - D,34,160,21%,28,127,22%
21316110 - GEOGRAFIA (LICENCIATURA) - M,8,470,2%,10,623,2%
21316210 - GEOGRAFIA (LICENCIATURA) - N,36,778,5%,14,649,2%
13309100 - HISTÓRIA - D,16,169,9%,12,125,10%
13309200 - HISTÓRIA - N,9,129,7%,26,171,15%
13309150 - HISTÓRIA (BAC) - M,3,50,6%,2,49,4%
13309212 - HISTÓRIA (BAC) - N,2,17,12%,2,31,6%
13309110 - HISTÓRIA (LIC) - M,14,526,3%,12,432,3%
21309110 - HISTÓRIA (LIC) - M,29,372,8%,5,251,2%
,2003.1,,,2003.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13309211 - HISTÓRIA (LIC) - N,9,392,2%,10,432,2%
21309210 - HISTÓRIA (LIC) - N,113,997,11%,59,915,6%
13310100 - LETRAS - D,19,125,15%,8,80,10%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,26,0%,0,19,0%
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N,0,0,0%,0,4,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,2,104,2%,3,86,3%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,35,3%,4,36,11%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,6,313,2%,5,226,2%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,17,288,6%,9,289,3%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,22,454,5%,27,327,8%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,24,297,8%,19,346,5%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,8,421,2%,6,323,2%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,10,265,4%,6,295,2%
21310100 - LETRAS - M,26,103,25%,20,77,26%
13310200 - LETRAS - N,18,96,19%,12,124,10%
21310200 - LETRAS - N,9,81,11%,10,117,9%
11107100 - MATEMÁTICA - D,17,98,17%,22,79,28%
11107150 - MATEMÁTICA (BAC) - D,1,29,3%,0,30,0%
11107110 - MATEMÁTICA (LIC) - D,25,208,12%,37,174,21%
11107210 - MATEMÁTICA (LIC) - N,27,229,12%,43,195,22%
12205100 - MEDICINA,6,2314,0%,2,2193,0%
41410100 - MEDICINA VETERINÁRIA - D,174,1767,10%,116,1686,7%
15108100 - METEOROLOGIA - D,33,247,13%,38,204,19%
13312110 - PEDAGOGIA (LIC) - M,8,55,15%,3,35,9%
13312210 - PEDAGOGIA (LIC) - N,2,3,67%,0,20,0%
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N,0,4,0%,0,26,0%
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N,4,322,1%,5,346,1%
21312110 - PEDAGOGIA (LICENCIATURA) - M,4,76,5%,6,51,12%
,2003.1,,,2003.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
21312210 - PEDAGOGIA (LICENCIATURA) - N,12,57,21%,3,80,4%
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,0,403,0%,2,432,0%
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,2,27,7%,1,28,4%
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M,0,2,0%,0,2,0%
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,11,693,2%,9,393,2%
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,8,542,1%,2,453,0%
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,3,117,3%,3,120,2%
