Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2009.1,,,2009.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,83,1353,6%,76,1472,5%
13301200 - ADMINISTRAÇÃO - N,20,558,4%,48,709,7%
31301200 - ADMINISTRAÇÃO - N,12,256,5%,11,356,3%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,3,114,3%,0,61,0%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,1,34,3%,0,18,0%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,5,0%,0,2,0%
91402100 - AGRONOMIA - D,119,845,14%,131,925,14%
13317100 - ARTE E MÍDIA - D,5,441,1%,15,524,3%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,256,1874,14%,366,1991,18%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,25,226,11%,18,186,10%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,11,142,8%,30,171,18%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,1,0%,0,0,0%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,4,0%,0,0,0%
21103100 - CIÊNCIAS - M,39,141,28%,14,80,18%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,15,210,7%,22,195,11%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,6,164,4%,14,203,7%
21103200 - CIÊNCIAS - N,22,92,24%,23,74,31%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,11,120,9%,11,104,11%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,1,45,2%,10,69,14%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,48,402,12%,68,616,11%
