Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2007.1,,,2007.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,32,708,5%,69,912,8%
13301200 - ADMINISTRAÇÃO - N,18,347,5%,70,447,16%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,17,546,3%,4,435,1%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,2,201,1%,6,153,4%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,5,0%,0,5,0%
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,0,1,0%,0,0,0%
91402100 - AGRONOMIA - D,0,0,0%,56,624,9%
13317100 - ARTE E MÍDIA - D,7,471,1%,20,538,4%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,128,1485,9%,152,1569,10%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,12,276,4%,14,204,7%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,11,179,6%,14,186,8%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,1,16,6%,0,6,0%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,0,0%,0,3,0%
21103100 - CIÊNCIAS - M,48,213,23%,33,139,24%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,17,180,9%,11,145,8%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,6,135,4%,5,197,3%
21103200 - CIÊNCIAS - N,21,137,15%,37,164,23%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,4,111,4%,4,85,5%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,1,56,2%,2,54,4%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,34,163,21%,55,333,17%
