Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2012.1,,,2012.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,108,1581,7%,98,1486,7%
13301200 - ADMINISTRAÇÃO - N,57,702,8%,72,649,11%
31301200 - ADMINISTRAÇÃO - N,54,833,6%,42,919,5%
91402100 - AGRONOMIA - D,202,1359,15%,190,1379,14%
15101100 - ARQUITETURA E URBANISMO - D,17,437,4%,61,687,9%
13317100 - ARTE E MÍDIA - D,13,510,3%,15,570,3%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,530,2519,21%,488,2309,21%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,8,134,6%,9,126,7%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,11,116,9%,8,82,10%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,4,129,3%,6,98,6%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,6,195,3%,11,143,8%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,8,78,10%,3,61,5%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,8,63,13%,4,60,7%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,61,548,11%,42,536,8%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,42,804,5%,78,742,11%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,51,320,16%,48,315,15%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,79,794,10%,58,833,7%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,41,654,6%,33,607,5%
31360200 - CIÊNCIAS CONTÁBEIS - N,80,1042,8%,65,974,7%
13304100 - CIÊNCIAS ECONÔMICAS - M,64,618,10%,58,520,11%
13304200 - CIÊNCIAS ECONÔMICAS - N,59,446,13%,70,524,13%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,54,284,19%,19,176,11%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,6,94,6%,2,87,2%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,3,117,3%,2,102,2%
,2012.1,,,2012.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,23,281,8%,22,373,6%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,98,710,14%,35,661,5%
13306100 - COMUNICAÇÃO SOCIAL - D,17,314,5%,7,437,2%
13306200 - COMUNICAÇÃO SOCIAL - N,18,281,6%,12,417,3%
11104120 - DESIGN - D,93,1085,9%,80,1040,8%
31350100 - DIREITO - M,10,1327,1%,2,1407,0%
31350200 - DIREITO - N,21,1412,1%,4,1180,0%
31350300 - DIREITO - V,12,1309,1%,2,1347,0%
12204100 - ENFERMAGEM - D,116,1533,8%,71,1632,4%
21204100 - ENFERMAGEM - D,44,1799,2%,40,1696,2%
51204100 - ENFERMAGEM - D,65,2236,3%,70,2144,3%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,92,675,14%,72,663,11%
15121100 - ENGENHARIA AGRÍCOLA - D,123,801,15%,97,715,14%
91130100 - ENGENHARIA AMBIENTAL - D,213,1237,17%,218,1328,16%
15122100 - ENGENHARIA CIVIL - D,271,2474,11%,244,2566,10%
15125100 - ENGENHARIA DE ALIMENTOS - D,115,434,26%,52,415,13%
91125100 - ENGENHARIA DE ALIMENTOS - D,209,1230,17%,170,1136,15%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,155,624,25%,74,514,14%
11126100 - ENGENHARIA DE MATERIAIS - D,261,1212,22%,178,1022,17%
15127100 - ENGENHARIA DE MINAS - D,157,820,19%,105,781,13%
11135100 - ENGENHARIA DE PETRÓLEO - D,139,889,16%,94,882,11%
11133100 - ENGENHARIA DE PRODUÇÃO - D,112,930,12%,106,858,12%
71133100 - ENGENHARIA DE PRODUÇÃO - D,119,698,17%,42,568,7%
14123100 - ENGENHARIA ELÉTRICA,639,3727,17%,705,3800,19%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,1,73,1%,5,60,8%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,13,548,2%,17,438,4%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,0,44,0%,0,54,0%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,13,287,5%,7,208,3%
,2012.1,,,2012.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,0,0%,0,2,0%
41403100 - ENGENHARIA FLORESTAL - D,84,994,8%,53,881,6%
11124100 - ENGENHARIA MECÂNICA - D,304,1805,17%,305,1765,17%
