Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2004.1,,,2004.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,31,290,11%,35,314,11%
13301200 - ADMINISTRAÇÃO - N,8,98,8%,27,212,13%
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,14,932,2%,24,926,3%
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,8,415,2%,10,448,2%
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,8,0%,0,16,0%
13301251 - ADMINISTRAÇÃO (PÚBLICA) - N,1,7,14%,0,7,0%
13317100 - ARTE E MÍDIA - D,8,460,2%,27,553,5%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,114,1402,8%,177,1438,12%
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,26,169,15%,20,148,14%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,9,98,9%,16,134,12%
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,0,11,0%,0,12,0%
21103214 - CIÊNCIAS - FÍSICA (LIC) - N,0,4,0%,0,3,0%
21103100 - CIÊNCIAS - M,25,109,23%,21,99,21%
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,6,128,5%,6,124,5%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,2,65,3%,7,112,6%
21103200 - CIÊNCIAS - N,27,132,20%,26,178,15%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,9,101,9%,4,96,4%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,2,58,3%,2,64,3%
31360200 - CIÊNCIAS CONTÁBEIS - N,0,0,0%,23,169,14%
13304100 - CIÊNCIAS ECONÔMICAS - M,20,539,4%,39,495,8%
13304200 - CIÊNCIAS ECONÔMICAS - N,31,427,7%,78,598,13%
13305100 - CIÊNCIAS SOCIAIS - D,6,119,5%,5,85,6%
13305200 - CIÊNCIAS SOCIAIS - N,2,36,6%,4,84,5%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,1,113,1%,0,109,0%
,2004.1,,,2004.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,47,0%,0,42,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,7,155,5%,5,134,4%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,2,146,1%,1,205,0%
11104100 - DESENHO INDUSTRIAL - D,21,804,3%,48,829,6%
11104120 - DESIGN - D,1,26,4%,3,63,5%
31350100 - DIREITO - M,1,1454,0%,8,1331,1%
31350200 - DIREITO - N,4,1462,0%,2,1304,0%
31350300 - DIREITO - V,0,431,0%,1,434,0%
15121100 - ENGENHARIA AGRÍCOLA - D,73,477,15%,90,439,21%
15122100 - ENGENHARIA CIVIL - D,253,1967,13%,332,1932,17%
11126100 - ENGENHARIA DE MATERIAIS - D,99,806,12%,116,856,14%
15127100 - ENGENHARIA DE MINAS - D,53,366,14%,55,345,16%
14123100 - ENGENHARIA ELÉTRICA,198,799,25%,225,898,25%
14123114 - ENGENHARIA ELÉTRICA (ELETRÔN/ELETROTÉC),0,8,0%,0,9,0%
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,17,253,7%,30,231,13%
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,63,856,7%,55,928,6%
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,25,346,7%,16,366,4%
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,33,785,4%,36,772,5%
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,7,0%,0,7,0%
41403100 - ENGENHARIA FLORESTAL - D,21,367,6%,28,338,8%
11124100 - ENGENHARIA MECÂNICA - D,210,1219,17%,281,1290,22%
11128100 - ENGENHARIA QUÍMICA - D,85,863,10%,86,791,11%
11105150 - FÍSICA (BAC) - D,27,156,17%,27,162,17%
21316110 - GEOGRAFIA (LICENCIATURA) - M,18,534,3%,35,755,5%
21316210 - GEOGRAFIA (LICENCIATURA) - N,15,673,2%,27,648,4%
13309100 - HISTÓRIA - D,7,107,7%,10,102,10%
13309200 - HISTÓRIA - N,7,107,7%,15,146,10%
13309150 - HISTÓRIA (BAC) - M,1,79,1%,2,81,2%
,2004.1,,,2004.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13309212 - HISTÓRIA (BAC) - N,0,29,0%,0,34,0%
13309110 - HISTÓRIA (LIC) - M,6,421,1%,5,405,1%
21309110 - HISTÓRIA (LIC) - M,15,497,3%,35,390,9%
13309210 - HISTÓRIA (LIC) - N,0,0,0%,1,10,10%
13309211 - HISTÓRIA (LIC) - N,7,445,2%,8,520,2%
21309210 - HISTÓRIA (LIC) - N,35,719,5%,91,810,11%
13310100 - LETRAS - D,16,116,14%,13,126,10%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,19,0%,0,13,0%
13310212 - LETRAS - LÍNGUA E LIT. FRANCESA - N,0,3,0%,0,4,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,79,1%,1,78,1%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,33,0%,0,26,0%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,4,285,1%,8,255,3%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,19,244,8%,23,285,8%
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,12,364,3%,4,379,1%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,12,319,4%,18,376,5%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,8,357,2%,3,299,1%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,3,261,1%,6,283,2%
21310100 - LETRAS - M,6,96,6%,2,87,2%
13310200 - LETRAS - N,13,99,13%,15,121,12%
21310200 - LETRAS - N,3,73,4%,15,126,12%
11107100 - MATEMÁTICA - D,16,79,20%,18,67,27%
11107150 - MATEMÁTICA (BAC) - D,2,36,6%,1,30,3%
11107110 - MATEMÁTICA (LIC) - D,24,161,15%,18,170,11%
11107210 - MATEMÁTICA (LIC) - N,38,227,17%,41,220,19%
12205100 - MEDICINA,16,2194,1%,2,2196,0%
41410100 - MEDICINA VETERINÁRIA - D,149,1909,8%,68,1856,4%
15108100 - METEOROLOGIA - D,27,238,11%,41,207,20%
13312110 - PEDAGOGIA (LIC) - M,1,56,2%,12,48,25%
,2004.1,,,2004.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13312210 - PEDAGOGIA (LIC) - N,2,16,12%,5,45,11%
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N,2,24,8%,0,22,0%
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N,7,281,2%,4,201,2%
21312110 - PEDAGOGIA (LICENCIATURA) - M,4,95,4%,18,72,25%
21312210 - PEDAGOGIA (LICENCIATURA) - N,12,69,17%,18,127,14%
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,2,382,1%,4,444,1%
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,0,20,0%,0,25,0%
21312111 - PEDAGOGIA(LIC.PLENA) ADM.ESCOLAR - M,0,1,0%,0,1,0%
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,5,284,2%,4,174,2%
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,0,411,0%,4,368,1%
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,7,205,3%,21,221,10%
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N,7,222,3%,21,349,6%
11111100 - TECNOLOGIA QUÍMICA (COUROS E TANANTES),2,11,18%,0,0,0%
