Taxa de reprovação em um ano por curso e semestre,,,,,,
"As matrículas de um curso são as matrículas realizadas pelos alunos do curso em diciplinas de qualquer unidade acadêmica.
As matrículas incluem apenas aquelas cursadas até o final. Matrículas ainda em curso, trancadas, canceladas
ou quando o aluno abandona e é reprovado por faltas não estão incluídas.",,,,,,
,2015.1,,,2015.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13301100 - ADMINISTRAÇÃO - D,98,1136,9%,52,1003,5%
13301200 - ADMINISTRAÇÃO - N,61,502,12%,36,502,7%
31301200 - ADMINISTRAÇÃO - N,75,882,9%,49,845,6%
91402100 - AGRONOMIA - D,172,1312,13%,170,1311,13%
15101100 - ARQUITETURA E URBANISMO - D,50,766,7%,45,880,5%
13317100 - ARTE E MÍDIA - D,24,531,5%,28,604,5%
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,401,2493,16%,487,2824,17%
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,0,19,0%,0,2,0%
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,0,35,0%,0,4,0%
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,1,7,14%,0,2,0%
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,0,8,0%,0,0,0%
41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,36,680,5%,53,572,9%
51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D,43,667,6%,10,563,2%
21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M,40,684,6%,40,601,7%
41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,61,606,10%,50,649,8%
51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N,51,600,8%,13,476,3%
31360200 - CIÊNCIAS CONTÁBEIS - N,13,672,2%,57,794,7%
13304100 - CIÊNCIAS ECONÔMICAS - M,52,462,11%,34,376,9%
13304200 - CIÊNCIAS ECONÔMICAS - N,40,358,11%,59,383,15%
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,16,161,10%,12,105,11%
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,0,15,0%,0,7,0%
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,0,11,0%,1,8,12%
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,25,337,7%,19,363,5%
71305210 - CIÊNCIAS SOCIAIS (LIC) - N,50,573,9%,23,506,5%
,2015.1,,,2015.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13306100 - COMUNICAÇÃO SOCIAL - D,9,395,2%,22,435,5%
13306200 - COMUNICAÇÃO SOCIAL - N,6,363,2%,8,425,2%
11104120 - DESIGN - D,84,900,9%,73,915,8%
31350100 - DIREITO - M,13,1287,1%,11,1607,1%
31350200 - DIREITO - N,21,1374,2%,9,1355,1%
31350300 - DIREITO - V,4,1323,0%,3,1687,0%
12204100 - ENFERMAGEM - D,33,975,3%,40,930,4%
21204100 - ENFERMAGEM - D,29,1202,2%,40,1163,3%
51204100 - ENFERMAGEM - D,60,1652,4%,71,2040,3%
71132100 - ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,112,777,14%,73,591,12%
15121100 - ENGENHARIA AGRÍCOLA - D,95,660,14%,77,447,17%
91130100 - ENGENHARIA AMBIENTAL - D,198,1343,15%,160,1282,12%
15122100 - ENGENHARIA CIVIL - D,246,2885,9%,286,2990,10%
91122100 - ENGENHARIA CIVIL - D,23,379,6%,33,634,5%
15125100 - ENGENHARIA DE ALIMENTOS - D,122,659,19%,61,553,11%
91125100 - ENGENHARIA DE ALIMENTOS - D,204,1135,18%,171,1080,16%
71131100 - ENGENHARIA DE BIOSSISTEMAS - D,76,642,12%,55,500,11%
11126100 - ENGENHARIA DE MATERIAIS - D,192,974,20%,121,763,16%
15127100 - ENGENHARIA DE MINAS - D,135,886,15%,98,873,11%
11135100 - ENGENHARIA DE PETRÓLEO - D,138,915,15%,71,849,8%
11133100 - ENGENHARIA DE PRODUÇÃO - D,134,1039,13%,66,905,7%
71133100 - ENGENHARIA DE PRODUÇÃO - D,103,1094,9%,51,879,6%
14123100 - ENGENHARIA ELÉTRICA,688,4807,14%,756,5084,15%
41403100 - ENGENHARIA FLORESTAL - D,38,754,5%,40,664,6%
11124100 - ENGENHARIA MECÂNICA - D,246,1666,15%,236,1784,13%
11128100 - ENGENHARIA QUÍMICA - D,134,1105,12%,82,1133,7%
11134100 - ESTATÍSTICA - D,82,197,42%,17,106,16%
51203100 - FARMÁCIA - D,174,1917,9%,110,1869,6%
,2015.1,,,2015.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13314250 - FILOSOFIA (BAC) - N,29,83,35%,17,63,27%
13314210 - FILOSOFIA (LIC) - N,36,155,23%,16,129,12%
11105150 - FÍSICA (BAC) - D,35,131,27%,18,77,23%
11105110 - FÍSICA (LIC) - D,25,87,29%,21,61,34%
51105110 - FÍSICA (LIC) - D,35,222,16%,17,202,8%
21105210 - FÍSICA (LIC) - N,71,199,36%,18,160,11%
51105210 - FÍSICA (LIC) - N,30,176,17%,25,149,17%
13316110 - GEOGRAFIA (LIC) - D,61,554,11%,37,448,8%
13316210 - GEOGRAFIA (LIC) - N,49,520,9%,22,474,5%
21316110 - GEOGRAFIA (LICENCIATURA) - M,36,492,7%,21,563,4%
21316210 - GEOGRAFIA (LICENCIATURA) - N,32,532,6%,9,406,2%
13309150 - HISTÓRIA (BAC) - M,0,2,0%,0,1,0%
13309250 - HISTÓRIA (BAC) - N,0,5,0%,0,3,0%
13309110 - HISTÓRIA (LIC) - M,31,529,6%,10,392,3%
21309110 - HISTÓRIA (LIC) - M,70,669,10%,60,586,10%
13309210 - HISTÓRIA (LIC) - N,11,362,3%,27,503,5%
21309210 - HISTÓRIA (LIC) - N,54,494,11%,50,610,8%
71315110 - INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,31,519,6%,33,408,8%
13310214 - LETRAS - ESPANHOL (LICENCIATURA) N,10,143,7%,3,171,2%
13310115 - LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,14,122,11%,6,108,6%
13310112 - LETRAS - LÍNGUA E LIT. FRANCESA - D,0,8,0%,0,6,0%
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,1,5,20%,0,5,0%
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,0,2,0%,0,1,0%
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,0,10,0%,0,5,0%
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,1,72,1%,2,52,4%
13310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,24,243,10%,5,192,3%
21310116 - LETRAS - LÍNGUA INGLESA (LIC) - D,27,393,7%,5,309,2%
21310110 - LETRAS - LÍNGUA PORTUGUESA (LIC) - M,18,398,5%,16,310,5%
,2015.1,,,2015.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
13310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,9,225,4%,19,267,7%
21310210 - LETRAS - LÍNGUA PORTUGUESA (LIC) - N,6,411,1%,36,547,7%
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,0,5,0%,0,2,0%
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,0,2,0%,0,0,0%
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,0,4,0%,0,0,0%
13310110 - LETRAS- LÍNGUA PORTUGUESA (LIC) - D,25,392,6%,11,301,4%
11107150 - MATEMÁTICA (BAC) - D,22,67,33%,16,52,31%
11107110 - MATEMÁTICA (LIC) - D,46,196,23%,28,176,16%
21107110 - MATEMÁTICA (LIC) - D,71,502,14%,52,472,11%
51107110 - MATEMÁTICA (LIC) - D,38,211,18%,20,159,13%
11107210 - MATEMÁTICA (LIC) - N,49,246,20%,35,196,18%
51107210 - MATEMÁTICA (LIC) - N,65,291,22%,29,166,17%
12205100 - MEDICINA,21,2212,1%,18,2154,1%
21205100 - MEDICINA,12,704,2%,0,536,0%
41410100 - MEDICINA VETERINÁRIA - D,137,2205,6%,126,2225,6%
15108100 - METEOROLOGIA - D,95,203,47%,46,156,29%
13311150 - MÚSICA (BAC) - D,3,139,2%,3,140,2%
13311110 - MÚSICA (LIC) - D,6,277,2%,15,367,4%
51206100 - NUTRIÇÃO - D,96,1505,6%,99,1524,6%
51206200 - NUTRIÇÃO - N,4,100,4%,5,59,8%
41207100 - ODONTOLOGIA - D,41,1937,2%,76,1903,4%
13312110 - PEDAGOGIA (LIC) - M,24,585,4%,8,557,1%
13312210 - PEDAGOGIA (LIC) - N,12,307,4%,11,339,3%
21312110 - PEDAGOGIA (LICENCIATURA) - M,12,784,2%,4,697,1%
21312210 - PEDAGOGIA (LICENCIATURA) - N,17,670,3%,10,693,1%
12208200 - PSICOLOGIA - N,42,1492,3%,20,1355,1%
51109110 - QUÍMICA (LIC) - D,67,436,15%,52,329,16%
21109210 - QUÍMICA (LIC) - N,46,472,10%,20,427,5%
,2015.1,,,2015.2,,
,Reprovações,Matrículas,%,Reprovações,Matrículas,%
51109210 - QUÍMICA (LIC) - N,52,277,19%,54,229,24%
31340100 - SERVIÇO SOCIAL - M,63,810,8%,32,648,5%
71420100 - TECNOLOGIA EM AGROECOLOGIA - D,23,657,4%,54,497,11%
71318200 - TECNOLOGIA EM GESTÃO PÚBLICA - N,50,514,10%,20,397,5%
