Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;79;1964;4;130;2045;6.4;2008
AGRONOMIA;65;780;8.3;109;760;14.3;2008
ARTE E MÍDIA;11;489;2.2;11;540;2;2008
CIÊNCIA DA COMPUTAÇÃO;146;1657;8.8;190;1765;10.8;2008
CIÊNCIAS;120;1214;9.9;124;1227;10.1;2008
CIÊNCIAS BIOLÓGICAS;76;792;9.6;120;1174;10.2;2008
CIÊNCIAS CONTÁBEIS;97;1600;6.1;151;1639;9.2;2008
CIÊNCIAS ECONÔMICAS;112;1042;10.7;106;970;10.9;2008
CIÊNCIAS SOCIAIS;69;905;7.6;47;949;5;2008
DESENHO INDUSTRIAL;41;446;9.2;48;396;12.1;2008
DESIGN;27;403;6.7;41;471;8.7;2008
DIREITO;16;3479;0.5;7;3541;0.2;2008
ENFERMAGEM;5;1763;0.3;49;2170;2.3;2008
ENGENHARIA AGRÍCOLA;106;551;19.2;89;504;17.7;2008
ENGENHARIA AMBIENTAL;32;409;7.8;103;613;16.8;2008
ENGENHARIA CIVIL;312;1828;17.1;283;1902;14.9;2008
ENGENHARIA DE ALIMENTOS;33;401;8.2;109;553;19.7;2008
ENGENHARIA DE MATERIAIS;175;906;19.3;140;873;16;2008
ENGENHARIA DE MINAS;100;486;20.6;90;511;17.6;2008
ENGENHARIA DE PRODUÇÃO;71;735;9.7;103;656;15.7;2008
ENGENHARIA ELÉTRICA;397;3165;12.5;524;3523;14.9;2008
ENGENHARIA FLORESTAL;95;754;12.6;84;729;11.5;2008
ENGENHARIA MECÂNICA;238;1364;17.4;252;1433;17.6;2008
ENGENHARIA QUÍMICA;76;888;8.6;83;852;9.7;2008
FARMÁCIA;12;542;2.2;57;763;7.5;2008
FÍSICA;70;405;17.3;70;353;19.8;2008
GEOGRAFIA;142;1142;12.4;128;1312;9.8;2008
HISTÓRIA;166;2531;6.6;269;2478;10.9;2008
LETRAS;146;2554;5.7;141;2704;5.2;2008
MATEMÁTICA;101;775;13;115;765;15;2008
MEDICINA;7;2594;0.3;47;2967;1.6;2008
MEDICINA VETERINÁRIA;147;1917;7.7;105;1933;5.4;2008
METEOROLOGIA;82;291;28.2;48;222;21.6;2008
PEDAGOGIA;81;2184;3.7;78;2260;3.5;2008
QUÍMICA;62;462;13.4;48;491;9.8;2008
