Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;189;2824;6.7;158;2692;5.9;2014
AGRONOMIA;250;1394;17.9;261;1424;18.3;2014
ARQUITETURA E URBANISMO;35;663;5.3;68;860;7.9;2014
ARTE E MÍDIA;39;567;6.9;62;628;9.9;2014
CIÊNCIA DA COMPUTAÇÃO;533;2439;21.9;516;2375;21.7;2014
CIÊNCIAS;7;212;3.3;2;143;1.4;2014
CIÊNCIAS BIOLÓGICAS;361;3489;10.3;235;3119;7.5;2014
CIÊNCIAS CONTÁBEIS;31;814;3.8;39;842;4.6;2014
CIÊNCIAS ECONÔMICAS;100;912;11;125;820;15.2;2014
CIÊNCIAS SOCIAIS;111;1304;8.5;86;1188;7.2;2014
COMUNICAÇÃO SOCIAL;19;802;2.4;71;953;7.5;2014
DESIGN;70;974;7.2;80;921;8.7;2014
DIREITO;38;4246;0.9;21;4010;0.5;2014
ENFERMAGEM;174;4582;3.8;180;4304;4.2;2014
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;195;989;19.7;137;824;16.6;2014
ENGENHARIA AGRÍCOLA;114;732;15.6;100;551;18.1;2014
ENGENHARIA AMBIENTAL;196;1350;14.5;184;1392;13.2;2014
ENGENHARIA CIVIL;275;3079;8.9;340;3175;10.7;2014
ENGENHARIA DE ALIMENTOS;336;1892;17.8;340;1862;18.3;2014
ENGENHARIA DE BIOSSISTEMAS;118;751;15.7;79;562;14.1;2014
ENGENHARIA DE MATERIAIS;157;981;16;213;868;24.5;2014
ENGENHARIA DE MINAS;175;927;18.9;141;819;17.2;2014
ENGENHARIA DE PETRÓLEO;135;999;13.5;97;847;11.5;2014
ENGENHARIA DE PRODUÇÃO;235;2048;11.5;218;1787;12.2;2014
ENGENHARIA ELÉTRICA;719;4556;15.8;716;4762;15;2014
ENGENHARIA FLORESTAL;68;905;7.5;72;772;9.3;2014
ENGENHARIA MECÂNICA;210;1571;13.4;270;1621;16.7;2014
ENGENHARIA QUÍMICA;131;1186;11;82;1067;7.7;2014
ESTATÍSTICA;47;175;26.9;42;128;32.8;2014
FARMÁCIA;156;2044;7.6;130;1957;6.6;2014
FILOSOFIA;111;338;32.8;48;238;20.2;2014
FÍSICA;229;796;28.8;128;623;20.5;2014
GEOGRAFIA;201;2339;8.6;138;2038;6.8;2014
HISTÓRIA;200;2177;9.2;182;2158;8.4;2014
INTERDISCIPLINAR EM EDUC. DO CAMPO;49;662;7.4;20;539;3.7;2014
LETRAS;143;2421;5.9;90;2240;4;2014
MATEMÁTICA;323;1484;21.8;212;1241;17.1;2014
MEDICINA;9;3316;0.3;30;2843;1.1;2014
MEDICINA VETERINÁRIA;180;2357;7.6;201;2293;8.8;2014
METEOROLOGIA;65;183;35.5;59;157;37.6;2014
MÚSICA;15;530;2.8;17;503;3.4;2014
NUTRIÇÃO;142;1844;7.7;91;1852;4.9;2014
ODONTOLOGIA;106;1861;5.7;158;1893;8.3;2014
PEDAGOGIA;71;2686;2.6;63;2669;2.4;2014
PSICOLOGIA;26;1367;1.9;15;1442;1;2014
QUÍMICA;192;1264;15.2;131;1030;12.7;2014
SERVIÇO SOCIAL;22;904;2.4;30;693;4.3;2014
TECNOLOGIA EM AGROECOLOGIA;63;845;7.5;104;717;14.5;2014
TECNOLOGIA EM GESTÃO PÚBLICA;56;505;11.1;26;435;6;2014
