Curso;Matrículas.12;Reprovações.12;Percentual.12
ADMINISTRAÇÃO;6170;431;7
AGRONOMIA;2738;392;14.3
ARQUITETURA E URBANISMO;1124;78;6.9
ARTE E MÍDIA;1080;28;2.6
CIÊNCIA DA COMPUTAÇÃO;4828;1018;21.1
CIÊNCIAS;1285;86;6.7
CIÊNCIAS BIOLÓGICAS;6153;533;8.7
CIÊNCIAS CONTÁBEIS;2016;145;7.2
CIÊNCIAS ECONÔMICAS;2108;251;11.9
CIÊNCIAS SOCIAIS;2885;264;9.2
COMUNICAÇÃO SOCIAL;1449;54;3.7
DESIGN;2125;173;8.1
DIREITO;7982;51;0.6
ENFERMAGEM;11040;406;3.7
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1338;164;12.3
ENGENHARIA AGRÍCOLA;1516;220;14.5
ENGENHARIA AMBIENTAL;2565;431;16.8
ENGENHARIA CIVIL;5040;515;10.2
ENGENHARIA DE ALIMENTOS;3215;546;17
ENGENHARIA DE BIOSSISTEMAS;1138;229;20.1
ENGENHARIA DE MATERIAIS;2234;439;19.7
ENGENHARIA DE MINAS;1601;262;16.4
ENGENHARIA DE PETRÓLEO;1771;233;13.2
ENGENHARIA DE PRODUÇÃO;3054;379;12.4
ENGENHARIA ELÉTRICA;9241;1400;15.1
ENGENHARIA FLORESTAL;1875;137;7.3
ENGENHARIA MECÂNICA;3570;609;17.1
ENGENHARIA QUÍMICA;2220;195;8.8
ESTATÍSTICA;274;71;25.9
FARMÁCIA;4555;258;5.7
FILOSOFIA;517;124;24
FÍSICA;1299;343;26.4
GEOGRAFIA;4392;206;4.7
HISTÓRIA;4959;362;7.3
INTERDISCIPLINAR EM EDUC. DO CAMPO;1534;99;6.5
LETRAS;5127;284;5.5
LICENCIATURA INTERCULTURAL INDÍGENA;197;2;1
MATEMÁTICA;2535;471;18.6
MEDICINA;8082;62;0.8
MEDICINA VETERINÁRIA;4859;264;5.4
METEOROLOGIA;346;116;33.5
MÚSICA;1023;29;2.8
NUTRIÇÃO;3615;155;4.3
ODONTOLOGIA;3061;165;5.4
PEDAGOGIA;5457;217;4
PSICOLOGIA;1874;41;2.2
QUÍMICA;1999;293;14.7
SERVIÇO SOCIAL;1361;22;1.6
TECNOLOGIA EM AGROECOLOGIA;1279;72;5.6
TECNOLOGIA EM GESTÃO PÚBLICA;1079;116;10.8
