Curso;Matrículas.05;Reprovações.05;Percentual.05
ADMINISTRAÇÃO;3542;221;6.2
ARTE E MÍDIA;1097;22;2
CIÊNCIA DA COMPUTAÇÃO;3026;298;9.8
CIÊNCIAS;2281;148;6.5
CIÊNCIAS CONTÁBEIS;498;33;6.6
CIÊNCIAS ECONÔMICAS;2186;220;10.1
CIÊNCIAS SOCIAIS;1479;98;6.6
DESENHO INDUSTRIAL;1592;54;3.4
DESIGN;186;12;6.5
DIREITO;6796;28;0.4
ENFERMAGEM;610;4;0.7
ENGENHARIA AGRÍCOLA;907;174;19.2
ENGENHARIA CIVIL;3450;566;16.4
ENGENHARIA DE MATERIAIS;1767;269;15.2
ENGENHARIA DE MINAS;724;123;17
ENGENHARIA DE PRODUÇÃO;118;29;24.6
ENGENHARIA ELÉTRICA;6349;786;12.4
ENGENHARIA FLORESTAL;826;58;7
ENGENHARIA MECÂNICA;2559;511;20
ENGENHARIA QUÍMICA;1563;139;8.9
FÍSICA;327;59;18
GEOGRAFIA;2612;77;2.9
HISTÓRIA;5191;222;4.3
LETRAS;5009;262;5.2
MATEMÁTICA;1103;136;12.3
MEDICINA;4271;12;0.3
MEDICINA VETERINÁRIA;3854;196;5.1
METEOROLOGIA;422;94;22.3
PEDAGOGIA;4249;181;4.3
TECNOLOGIA QUÍMICA (COUROS E TANANTES);2;0;0
