Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;4870;371;7.6
AGRONOMIA;2623;342;13
ARQUITETURA E URBANISMO;1646;95;5.8
ARTE E MÍDIA;1135;52;4.6
CIÊNCIA DA COMPUTAÇÃO;5317;888;16.7
CIÊNCIAS;77;1;1.3
CIÊNCIAS BIOLÓGICAS;6098;397;6.5
CIÊNCIAS CONTÁBEIS;1466;70;4.8
CIÊNCIAS ECONÔMICAS;1579;185;11.7
CIÊNCIAS SOCIAIS;2086;146;7
COMUNICAÇÃO SOCIAL;1618;45;2.8
DESIGN;1815;157;8.7
DIREITO;8633;61;0.7
ENFERMAGEM;7962;273;3.4
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1368;185;13.5
ENGENHARIA AGRÍCOLA;1107;172;15.5
ENGENHARIA AMBIENTAL;2625;358;13.6
ENGENHARIA CIVIL;6888;588;8.5
ENGENHARIA DE ALIMENTOS;3427;558;16.3
ENGENHARIA DE BIOSSISTEMAS;1142;131;11.5
ENGENHARIA DE MATERIAIS;1737;313;18
ENGENHARIA DE MINAS;1759;233;13.2
ENGENHARIA DE PETRÓLEO;1764;209;11.8
ENGENHARIA DE PRODUÇÃO;3917;354;9
ENGENHARIA ELÉTRICA;9891;1444;14.6
ENGENHARIA FLORESTAL;1418;78;5.5
ENGENHARIA MECÂNICA;3450;482;14
ENGENHARIA QUÍMICA;2238;216;9.7
ESTATÍSTICA;303;99;32.7
FARMÁCIA;3786;284;7.5
FILOSOFIA;430;98;22.8
FÍSICA;1464;295;20.2
GEOGRAFIA;3989;267;6.7
HISTÓRIA;4156;313;7.5
INTERDISCIPLINAR EM EDUC. DO CAMPO;927;64;6.9
LETRAS;4711;238;5.1
MATEMÁTICA;2734;471;17.2
MEDICINA;5606;51;0.9
MEDICINA VETERINÁRIA;4430;263;5.9
METEOROLOGIA;359;141;39.3
MÚSICA;923;27;2.9
NUTRIÇÃO;3188;204;6.4
ODONTOLOGIA;3840;117;3
PEDAGOGIA;4632;98;2.1
PSICOLOGIA;2847;62;2.2
QUÍMICA;2170;291;13.4
SERVIÇO SOCIAL;1458;95;6.5
TECNOLOGIA EM AGROECOLOGIA;1154;77;6.7
TECNOLOGIA EM GESTÃO PÚBLICA;911;70;7.7
