Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;3542;221;6.2;2005
ARTE E MÍDIA;1097;22;2;2005
CIÊNCIA DA COMPUTAÇÃO;3026;298;9.8;2005
CIÊNCIAS;2281;148;6.5;2005
CIÊNCIAS CONTÁBEIS;498;33;6.6;2005
CIÊNCIAS ECONÔMICAS;2186;220;10.1;2005
CIÊNCIAS SOCIAIS;1479;98;6.6;2005
DESENHO INDUSTRIAL;1592;54;3.4;2005
DESIGN;186;12;6.5;2005
DIREITO;6796;28;0.4;2005
ENFERMAGEM;610;4;0.7;2005
ENGENHARIA AGRÍCOLA;907;174;19.2;2005
ENGENHARIA CIVIL;3450;566;16.4;2005
ENGENHARIA DE MATERIAIS;1767;269;15.2;2005
ENGENHARIA DE MINAS;724;123;17;2005
ENGENHARIA DE PRODUÇÃO;118;29;24.6;2005
ENGENHARIA ELÉTRICA;6349;786;12.4;2005
ENGENHARIA FLORESTAL;826;58;7;2005
ENGENHARIA MECÂNICA;2559;511;20;2005
ENGENHARIA QUÍMICA;1563;139;8.9;2005
FÍSICA;327;59;18;2005
GEOGRAFIA;2612;77;2.9;2005
HISTÓRIA;5191;222;4.3;2005
LETRAS;5009;262;5.2;2005
MATEMÁTICA;1103;136;12.3;2005
MEDICINA;4271;12;0.3;2005
MEDICINA VETERINÁRIA;3854;196;5.1;2005
METEOROLOGIA;422;94;22.3;2005
PEDAGOGIA;4249;181;4.3;2005
TECNOLOGIA QUÍMICA (COUROS E TANANTES);2;0;0;2005
