Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;5883;461;7.8
AGRONOMIA;2804;407;14.5
ARQUITETURA E URBANISMO;1364;72;5.3
ARTE E MÍDIA;1077;58;5.4
CIÊNCIA DA COMPUTAÇÃO;4678;925;19.8
CIÊNCIAS;870;27;3.1
CIÊNCIAS BIOLÓGICAS;6310;612;9.7
CIÊNCIAS CONTÁBEIS;1725;107;6.2
CIÊNCIAS ECONÔMICAS;1956;283;14.5
CIÊNCIAS SOCIAIS;2777;176;6.3
COMUNICAÇÃO SOCIAL;1693;30;1.8
DESIGN;2235;145;6.5
DIREITO;8079;24;0.3
ENFERMAGEM;10594;409;3.9
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1794;246;13.7
ENGENHARIA AGRÍCOLA;1375;230;16.7
ENGENHARIA AMBIENTAL;2730;498;18.2
ENGENHARIA CIVIL;5439;652;12
ENGENHARIA DE ALIMENTOS;3469;694;20
ENGENHARIA DE BIOSSISTEMAS;1404;251;17.9
ENGENHARIA DE MATERIAIS;1913;399;20.9
ENGENHARIA DE MINAS;1797;309;17.2
ENGENHARIA DE PETRÓLEO;2035;275;13.5
ENGENHARIA DE PRODUÇÃO;3456;360;10.4
ENGENHARIA ELÉTRICA;9023;1459;16.2
ENGENHARIA FLORESTAL;1768;121;6.8
ENGENHARIA MECÂNICA;3236;573;17.7
ENGENHARIA QUÍMICA;2281;205;9
ESTATÍSTICA;362;93;25.7
FARMÁCIA;4330;296;6.8
FILOSOFIA;552;139;25.2
FÍSICA;1256;334;26.6
FÍSICA;172;49;28.5
GEOGRAFIA;4634;302;6.5
HISTÓRIA;4527;408;9
INTERDISCIPLINAR EM EDUC. DO CAMPO;1373;53;3.9
LETRAS;4894;246;5
MATEMÁTICA;2595;434;16.7
MEDICINA;6909;59;0.9
MEDICINA VETERINÁRIA;4718;338;7.2
METEOROLOGIA;281;103;36.7
MÚSICA;1116;19;1.7
NUTRIÇÃO;4183;218;5.2
ODONTOLOGIA;3687;265;7.2
PEDAGOGIA;5598;165;2.9
PSICOLOGIA;2316;64;2.8
QUÍMICA;2154;342;15.9
SERVIÇO SOCIAL;1667;43;2.6
TECNOLOGIA EM AGROECOLOGIA;1474;96;6.5
TECNOLOGIA EM GESTÃO PÚBLICA;1018;114;11.2
