Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;5516;347;6.3;2014
AGRONOMIA;2818;511;18.1;2014
ARQUITETURA E URBANISMO;1523;103;6.8;2014
ARTE E MÍDIA;1195;101;8.5;2014
CIÊNCIA DA COMPUTAÇÃO;4814;1049;21.8;2014
CIÊNCIAS;355;9;2.5;2014
CIÊNCIAS BIOLÓGICAS;6608;596;9;2014
CIÊNCIAS CONTÁBEIS;1656;70;4.2;2014
CIÊNCIAS ECONÔMICAS;1732;225;13;2014
CIÊNCIAS SOCIAIS;2492;197;7.9;2014
COMUNICAÇÃO SOCIAL;1755;90;5.1;2014
DESIGN;1895;150;7.9;2014
DIREITO;8256;59;0.7;2014
ENFERMAGEM;8886;354;4;2014
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1813;332;18.3;2014
ENGENHARIA AGRÍCOLA;1283;214;16.7;2014
ENGENHARIA AMBIENTAL;2742;380;13.9;2014
ENGENHARIA CIVIL;6254;615;9.8;2014
ENGENHARIA DE ALIMENTOS;3754;676;18;2014
ENGENHARIA DE BIOSSISTEMAS;1313;197;15;2014
ENGENHARIA DE MATERIAIS;1849;370;20;2014
ENGENHARIA DE MINAS;1746;316;18.1;2014
ENGENHARIA DE PETRÓLEO;1846;232;12.6;2014
ENGENHARIA DE PRODUÇÃO;3835;453;11.8;2014
ENGENHARIA ELÉTRICA;9318;1435;15.4;2014
ENGENHARIA FLORESTAL;1677;140;8.3;2014
ENGENHARIA MECÂNICA;3192;480;15;2014
ENGENHARIA QUÍMICA;2253;213;9.5;2014
ESTATÍSTICA;303;89;29.4;2014
FARMÁCIA;4001;286;7.1;2014
FILOSOFIA;576;159;27.6;2014
FÍSICA;1419;357;25.2;2014
GEOGRAFIA;4377;339;7.7;2014
HISTÓRIA;4335;382;8.8;2014
INTERDISCIPLINAR EM EDUC. DO CAMPO;1201;69;5.7;2014
LETRAS;4661;233;5;2014
MATEMÁTICA;2725;535;19.6;2014
MEDICINA;6159;39;0.6;2014
MEDICINA VETERINÁRIA;4650;381;8.2;2014
METEOROLOGIA;340;124;36.5;2014
MÚSICA;1033;32;3.1;2014
NUTRIÇÃO;3696;233;6.3;2014
ODONTOLOGIA;3754;264;7;2014
PEDAGOGIA;5355;134;2.5;2014
PSICOLOGIA;2809;41;1.5;2014
QUÍMICA;2294;323;14.1;2014
SERVIÇO SOCIAL;1597;52;3.3;2014
TECNOLOGIA EM AGROECOLOGIA;1562;167;10.7;2014
TECNOLOGIA EM GESTÃO PÚBLICA;940;82;8.7;2014
