Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;4624;329;7.1;2017
AGRONOMIA;2606;343;13.2;2017
ARQUITETURA E URBANISMO;1673;64;3.8;2017
ARTE E MÍDIA;981;64;6.5;2017
CIÊNCIA DA COMPUTAÇÃO;6171;843;13.7;2017
CIÊNCIAS BIOLÓGICAS;5545;491;8.9;2017
CIÊNCIAS CONTÁBEIS;1699;112;6.6;2017
CIÊNCIAS ECONÔMICAS;1287;144;11.2;2017
CIÊNCIAS SOCIAIS;1791;105;5.9;2017
COMUNICAÇÃO SOCIAL;1524;58;3.8;2017
DESIGN;1570;136;8.7;2017
DIREITO;10550;40;0.4;2017
ENFERMAGEM;6873;257;3.7;2017
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1161;147;12.7;2017
ENGENHARIA AGRÍCOLA;1115;195;17.5;2017
ENGENHARIA AMBIENTAL;2316;339;14.6;2017
ENGENHARIA CIVIL;8412;750;8.9;2017
ENGENHARIA DE ALIMENTOS;2931;435;14.8;2017
ENGENHARIA DE BIOSSISTEMAS;1056;148;14;2017
ENGENHARIA DE MATERIAIS;1508;246;16.3;2017
ENGENHARIA DE MINAS;1471;274;18.6;2017
ENGENHARIA DE PETRÓLEO;1336;263;19.7;2017
ENGENHARIA DE PRODUÇÃO;3431;317;9.2;2017
ENGENHARIA ELÉTRICA;9698;1619;16.7;2017
ENGENHARIA FLORESTAL;1353;102;7.5;2017
ENGENHARIA MECÂNICA;3149;567;18;2017
ENGENHARIA QUÍMICA;2370;260;11;2017
ESTATÍSTICA;259;72;27.8;2017
FARMÁCIA;4365;273;6.3;2017
FILOSOFIA;449;77;17.1;2017
FÍSICA;2053;396;19.3;2017
GEOGRAFIA;3705;229;6.2;2017
HISTÓRIA;4192;245;5.8;2017
INTERDISCIPLINAR EM EDUC. DO CAMPO;852;43;5;2017
LETRAS;4718;227;4.8;2017
MATEMÁTICA;2943;591;20.1;2017
MEDICINA;6198;63;1;2017
MEDICINA VETERINÁRIA;4514;338;7.5;2017
METEOROLOGIA;348;113;32.5;2017
MÚSICA;1011;40;4;2017
NUTRIÇÃO;3377;174;5.2;2017
ODONTOLOGIA;3954;66;1.7;2017
PEDAGOGIA;4514;116;2.6;2017
PSICOLOGIA;2785;33;1.2;2017
QUÍMICA;2248;370;16.5;2017
SERVIÇO SOCIAL;1493;43;2.9;2017
TECNOLOGIA EM AGROECOLOGIA;700;54;7.7;2017
TECNOLOGIA EM GESTÃO PÚBLICA;974;79;8.1;2017
