Curso;Matrículas.07;Reprovações.07;Percentual.07
ADMINISTRAÇÃO;218;3760;5.8
AGRONOMIA;56;624;9
ARTE E MÍDIA;27;1009;2.7
CIÊNCIA DA COMPUTAÇÃO;280;3054;9.2
CIÊNCIAS;241;2486;9.7
CIÊNCIAS BIOLÓGICAS;163;1164;14
CIÊNCIAS CONTÁBEIS;145;3356;4.3
CIÊNCIAS ECONÔMICAS;126;2053;6.1
CIÊNCIAS SOCIAIS;79;1686;4.7
DESENHO INDUSTRIAL;67;1068;6.3
DESIGN;41;586;7
DIREITO;16;7498;0.2
ENFERMAGEM;20;2044;1
ENGENHARIA AGRÍCOLA;154;747;20.6
ENGENHARIA AMBIENTAL;11;227;4.8
ENGENHARIA CIVIL;534;3417;15.6
ENGENHARIA DE ALIMENTOS;30;251;12
ENGENHARIA DE MATERIAIS;204;1490;13.7
ENGENHARIA DE MINAS;185;827;22.4
ENGENHARIA DE PRODUÇÃO;81;820;9.9
ENGENHARIA ELÉTRICA;858;6182;13.9
ENGENHARIA FLORESTAL;123;1076;11.4
ENGENHARIA MECÂNICA;404;2630;15.4
ENGENHARIA QUÍMICA;113;1400;8.1
FARMÁCIA;10;270;3.7
FÍSICA;156;689;22.6
GEOGRAFIA;166;2274;7.3
HISTÓRIA;259;4569;5.7
LETRAS;252;5054;5
MATEMÁTICA;147;1235;11.9
MEDICINA;16;4528;0.4
MEDICINA VETERINÁRIA;233;3899;6
METEOROLOGIA;106;441;24
PEDAGOGIA;223;4203;5.3
QUÍMICA;120;684;17.5
