Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;5516;347;6.3
AGRONOMIA;2818;511;18.1
ARQUITETURA E URBANISMO;1523;103;6.8
ARTE E MÍDIA;1195;101;8.5
CIÊNCIA DA COMPUTAÇÃO;4814;1049;21.8
CIÊNCIAS;355;9;2.5
CIÊNCIAS BIOLÓGICAS;6608;596;9
CIÊNCIAS CONTÁBEIS;1656;70;4.2
CIÊNCIAS ECONÔMICAS;1732;225;13
CIÊNCIAS SOCIAIS;2492;197;7.9
COMUNICAÇÃO SOCIAL;1755;90;5.1
DESIGN;1895;150;7.9
DIREITO;8256;59;0.7
ENFERMAGEM;8886;354;4
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1813;332;18.3
ENGENHARIA AGRÍCOLA;1283;214;16.7
ENGENHARIA AMBIENTAL;2742;380;13.9
ENGENHARIA CIVIL;6254;615;9.8
ENGENHARIA DE ALIMENTOS;3754;676;18
ENGENHARIA DE BIOSSISTEMAS;1313;197;15
ENGENHARIA DE MATERIAIS;1849;370;20
ENGENHARIA DE MINAS;1746;316;18.1
ENGENHARIA DE PETRÓLEO;1846;232;12.6
ENGENHARIA DE PRODUÇÃO;3835;453;11.8
ENGENHARIA ELÉTRICA;9318;1435;15.4
ENGENHARIA FLORESTAL;1677;140;8.3
ENGENHARIA MECÂNICA;3192;480;15
ENGENHARIA QUÍMICA;2253;213;9.5
ESTATÍSTICA;303;89;29.4
FARMÁCIA;4001;286;7.1
FILOSOFIA;576;159;27.6
FÍSICA;1419;357;25.2
GEOGRAFIA;4377;339;7.7
HISTÓRIA;4335;382;8.8
INTERDISCIPLINAR EM EDUC. DO CAMPO;1201;69;5.7
LETRAS;4661;233;5
MATEMÁTICA;2725;535;19.6
MEDICINA;6159;39;0.6
MEDICINA VETERINÁRIA;4650;381;8.2
METEOROLOGIA;340;124;36.5
MÚSICA;1033;32;3.1
NUTRIÇÃO;3696;233;6.3
ODONTOLOGIA;3754;264;7
PEDAGOGIA;5355;134;2.5
PSICOLOGIA;2809;41;1.5
QUÍMICA;2294;323;14.1
SERVIÇO SOCIAL;1597;52;3.3
TECNOLOGIA EM AGROECOLOGIA;1562;167;10.7
TECNOLOGIA EM GESTÃO PÚBLICA;940;82;8.7
