Curso;Matrículas;Reprovações;Percentual
ADMINISTRAÇÃO;4139;251;6.1
ARTE E MÍDIA;1027;27;2.6
CIÊNCIA DA COMPUTAÇÃO;3067;363;11.8
CIÊNCIAS;1935;192;9.9
CIÊNCIAS ECONÔMICAS;2153;278;12.9
CIÊNCIAS SOCIAIS;1237;60;4.9
DESENHO INDUSTRIAL;1638;70;4.3
DESIGN;14;0;0
DIREITO;6738;14;0.2
ENGENHARIA AGRÍCOLA;919;170;18.5
ENGENHARIA CIVIL;4021;532;13.2
ENGENHARIA DE MATERIAIS;1699;219;12.9
ENGENHARIA DE MINAS;807;122;15.1
ENGENHARIA ELÉTRICA;6089;757;12.4
ENGENHARIA FLORESTAL;733;60;8.2
ENGENHARIA MECÂNICA;2575;473;18.4
ENGENHARIA QUÍMICA;1530;178;11.6
FÍSICA;287;62;21.6
GEOGRAFIA;2520;68;2.7
HISTÓRIA;5058;323;6.4
LETRAS;4957;291;5.9
MATEMÁTICA;1042;172;16.5
MEDICINA;4507;8;0.2
MEDICINA VETERINÁRIA;3453;290;8.4
METEOROLOGIA;451;71;15.7
PEDAGOGIA;4665;93;2
TECNOLOGIA QUÍMICA (COUROS E TANANTES);38;3;7.9
