Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;3789;174;4.6;2006
ARTE E MÍDIA;1034;54;5.2;2006
CIÊNCIA DA COMPUTAÇÃO;2847;243;8.5;2006
CIÊNCIAS;2365;180;7.6;2006
CIÊNCIAS BIOLÓGICAS;403;76;18.9;2006
CIÊNCIAS CONTÁBEIS;1871;104;5.6;2006
CIÊNCIAS ECONÔMICAS;2259;191;8.5;2006
CIÊNCIAS SOCIAIS;1554;79;5.1;2006
DESENHO INDUSTRIAL;1361;94;6.9;2006
DESIGN;381;30;7.9;2006
DIREITO;7450;19;0.3;2006
ENFERMAGEM;1234;7;0.6;2006
ENGENHARIA AGRÍCOLA;880;183;20.8;2006
ENGENHARIA CIVIL;3375;545;16.1;2006
ENGENHARIA DE MATERIAIS;1659;297;17.9;2006
ENGENHARIA DE MINAS;770;146;19;2006
ENGENHARIA DE PRODUÇÃO;476;53;11.1;2006
ENGENHARIA ELÉTRICA;6033;773;12.8;2006
ENGENHARIA FLORESTAL;890;93;10.4;2006
ENGENHARIA MECÂNICA;2537;515;20.3;2006
ENGENHARIA QUÍMICA;1407;122;8.7;2006
FÍSICA;395;93;23.5;2006
GEOGRAFIA;2364;65;2.7;2006
HISTÓRIA;5023;210;4.2;2006
LETRAS;4904;171;3.5;2006
MATEMÁTICA;1036;175;16.9;2006
MEDICINA;4390;18;0.4;2006
MEDICINA VETERINÁRIA;3712;196;5.3;2006
METEOROLOGIA;385;95;24.7;2006
PEDAGOGIA;4344;196;4.5;2006
QUÍMICA;208;50;24;2006
